experiment_id,comparison_group_id,git_commit,git_dirty,category,git_status_paths,git_patch_preserved
20260911T190640114112Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s42__01a091dd-6272-739a-8f67-866c40dee85c,formal-axis1-0.6b-bf16-full,68736982a5e5dfde9812b1bdf333573f1086d7dc,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260911T191010372777Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s123__01a091e0-97c4-7ba1-b597-4c60eb93b5da,formal-axis1-0.6b-bf16-full,68736982a5e5dfde9812b1bdf333573f1086d7dc,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260911T191312326772Z__qwen-qwen3-0-6b__full-qnone__ctx512__b1-ga1__rna__s2026__01a091e3-5e87-729c-bf2f-7f576b9a45fe,formal-axis1-0.6b-bf16-full,68736982a5e5dfde9812b1bdf333573f1086d7dc,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260911T192740759539Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a091f0-9ed7-76fc-937b-2c0f67b6a2bd,formal-axis1-0.6b-bf16-lora,2b54a3bb07b488c7c532ee5f6d7584b4e6876508,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260911T221111158558Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s123__01a09286-50b6-79c6-87bb-a79f0c53c08a,formal-axis1-0.6b-bf16-lora,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260911T221315568724Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s2026__01a09288-36b0-751a-a7c4-9e311dccf329,formal-axis1-0.6b-bf16-lora,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260911T221519615040Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a0928a-1b3f-76f4-8d07-348dc8d058e0,formal-axis1-0.6b-4bit-qlora,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260911T221731131287Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0928c-1cfb-75b7-b600-5fadccb13f6f,formal-axis1-0.6b-4bit-qlora,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260911T221944104849Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a0928e-2468-7e99-b122-1df85235deb2,formal-axis1-0.6b-4bit-qlora,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
20260911T222156750583Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s42__01a09290-2a8e-76cb-a897-bacd1d83ce03,formal-axis1-1.7b-bf16-lora,7b4f304a07c53e76e7396deefbead3b10b1572ff,True,dirty_dependency_files,yproject.toml | uv.lock,False
