[val] step 0 loss=2.4215
step 1/100 loss=2.0629 tokens=511 step_time=0.692s
step 2/100 loss=1.7539 tokens=511 step_time=0.708s
step 3/100 loss=1.1834 tokens=511 step_time=0.706s
step 4/100 loss=2.7540 tokens=340 step_time=0.463s
step 5/100 loss=1.8115 tokens=511 step_time=0.683s
step 6/100 loss=1.6758 tokens=511 step_time=0.692s
step 7/100 loss=1.7410 tokens=511 step_time=0.690s
step 8/100 loss=1.8389 tokens=511 step_time=0.690s
step 9/100 loss=2.1427 tokens=511 step_time=0.688s
step 10/100 loss=1.7962 tokens=511 step_time=0.716s
step 11/100 loss=1.4809 tokens=511 step_time=0.695s
step 12/100 loss=3.1001 tokens=511 step_time=0.678s
step 13/100 loss=3.7259 tokens=511 step_time=0.685s
step 14/100 loss=1.7768 tokens=511 step_time=0.698s
step 15/100 loss=1.9351 tokens=511 step_time=0.699s
step 16/100 loss=1.6875 tokens=511 step_time=0.694s
step 17/100 loss=1.2407 tokens=511 step_time=0.695s
step 18/100 loss=1.7144 tokens=511 step_time=0.697s
step 19/100 loss=2.3050 tokens=511 step_time=0.705s
step 20/100 loss=2.4800 tokens=282 step_time=0.649s
step 21/100 loss=1.9358 tokens=511 step_time=0.695s
step 22/100 loss=0.9539 tokens=511 step_time=0.691s
step 23/100 loss=3.2969 tokens=511 step_time=0.697s
step 24/100 loss=1.1822 tokens=511 step_time=0.707s
step 25/100 loss=2.3796 tokens=511 step_time=0.697s
step 26/100 loss=1.4421 tokens=440 step_time=0.791s
step 27/100 loss=0.8012 tokens=511 step_time=0.830s
step 28/100 loss=1.9867 tokens=511 step_time=0.693s
step 29/100 loss=1.4999 tokens=511 step_time=0.697s
step 30/100 loss=1.6094 tokens=511 step_time=0.683s
step 31/100 loss=1.6256 tokens=511 step_time=0.703s
step 32/100 loss=1.3832 tokens=511 step_time=0.680s
step 33/100 loss=3.1026 tokens=511 step_time=0.683s
step 34/100 loss=2.3231 tokens=511 step_time=0.694s
step 35/100 loss=1.9971 tokens=511 step_time=0.701s
step 36/100 loss=0.8866 tokens=511 step_time=0.679s
step 37/100 loss=2.0513 tokens=198 step_time=0.458s
step 38/100 loss=1.9354 tokens=511 step_time=0.694s
step 39/100 loss=1.3361 tokens=511 step_time=0.693s
step 40/100 loss=2.5297 tokens=474 step_time=0.688s
step 41/100 loss=2.0141 tokens=511 step_time=0.692s
step 42/100 loss=1.3955 tokens=511 step_time=0.689s
step 43/100 loss=2.3393 tokens=511 step_time=0.691s
step 44/100 loss=1.9806 tokens=349 step_time=0.573s
step 45/100 loss=3.2181 tokens=511 step_time=0.689s
step 46/100 loss=1.7667 tokens=511 step_time=0.704s
step 47/100 loss=3.3691 tokens=511 step_time=0.681s
step 48/100 loss=1.4071 tokens=511 step_time=0.685s
step 49/100 loss=1.8198 tokens=511 step_time=0.710s
step 50/100 loss=1.3185 tokens=511 step_time=0.706s
[val] step 50 loss=1.9522
step 51/100 loss=1.2575 tokens=511 step_time=0.701s
step 52/100 loss=2.2597 tokens=511 step_time=0.686s
step 53/100 loss=0.7210 tokens=511 step_time=0.699s
step 54/100 loss=1.0523 tokens=511 step_time=0.692s
step 55/100 loss=3.5362 tokens=511 step_time=0.694s
step 56/100 loss=2.4175 tokens=511 step_time=0.692s
step 57/100 loss=1.5400 tokens=511 step_time=0.701s
step 58/100 loss=1.3390 tokens=511 step_time=0.713s
step 59/100 loss=1.7560 tokens=511 step_time=0.706s
step 60/100 loss=1.9898 tokens=511 step_time=0.698s
step 61/100 loss=1.9775 tokens=511 step_time=0.690s
step 62/100 loss=1.8472 tokens=511 step_time=0.686s
step 63/100 loss=1.5775 tokens=511 step_time=0.685s
step 64/100 loss=2.1207 tokens=511 step_time=0.700s
step 65/100 loss=1.6382 tokens=511 step_time=0.693s
step 66/100 loss=1.6610 tokens=511 step_time=0.710s
step 67/100 loss=1.3984 tokens=511 step_time=0.696s
step 68/100 loss=1.4856 tokens=511 step_time=0.708s
step 69/100 loss=0.8041 tokens=511 step_time=0.707s
step 70/100 loss=2.0490 tokens=304 step_time=0.447s
step 71/100 loss=2.0672 tokens=511 step_time=0.696s
step 72/100 loss=2.3414 tokens=511 step_time=0.685s
step 73/100 loss=2.2151 tokens=511 step_time=0.701s
step 74/100 loss=3.1665 tokens=511 step_time=0.711s
step 75/100 loss=1.7457 tokens=511 step_time=0.706s
step 76/100 loss=2.1177 tokens=511 step_time=0.704s
step 77/100 loss=2.9378 tokens=511 step_time=0.692s
step 78/100 loss=2.6283 tokens=511 step_time=0.693s
step 79/100 loss=1.5598 tokens=511 step_time=0.683s
step 80/100 loss=2.4636 tokens=511 step_time=0.698s
step 81/100 loss=1.4876 tokens=511 step_time=0.694s
step 82/100 loss=3.1629 tokens=511 step_time=0.695s
step 83/100 loss=1.5339 tokens=511 step_time=0.695s
step 84/100 loss=2.1215 tokens=511 step_time=0.690s
step 85/100 loss=2.0112 tokens=511 step_time=0.702s
step 86/100 loss=1.4945 tokens=511 step_time=0.703s
step 87/100 loss=3.7409 tokens=511 step_time=0.689s
step 88/100 loss=1.3702 tokens=511 step_time=0.706s
step 89/100 loss=2.2723 tokens=511 step_time=0.694s
step 90/100 loss=1.8403 tokens=511 step_time=0.716s
step 91/100 loss=1.4817 tokens=511 step_time=0.689s
step 92/100 loss=2.2908 tokens=511 step_time=0.697s
step 93/100 loss=3.5782 tokens=511 step_time=0.708s
step 94/100 loss=1.9079 tokens=511 step_time=0.709s
step 95/100 loss=2.6008 tokens=511 step_time=0.701s
step 96/100 loss=1.7560 tokens=511 step_time=0.693s
step 97/100 loss=0.7162 tokens=511 step_time=0.713s
step 98/100 loss=1.8485 tokens=511 step_time=0.699s
step 99/100 loss=3.1397 tokens=511 step_time=0.694s
step 100/100 loss=2.5803 tokens=511 step_time=0.698s
[val] step 100 loss=1.9273
[train] done: 100 steps, final_loss=2.5803, tokens=49910, trainable=2.294M/95.482M
