[val] step 0 loss=2.4215
step 1/100 loss=2.0629 tokens=511 step_time=0.720s
step 2/100 loss=1.7578 tokens=511 step_time=0.701s
step 3/100 loss=1.1947 tokens=511 step_time=0.698s
step 4/100 loss=2.7593 tokens=340 step_time=0.462s
step 5/100 loss=1.8144 tokens=511 step_time=0.692s
step 6/100 loss=1.6827 tokens=511 step_time=0.686s
step 7/100 loss=1.7436 tokens=511 step_time=0.694s
step 8/100 loss=1.8355 tokens=511 step_time=0.691s
step 9/100 loss=2.1522 tokens=511 step_time=0.710s
step 10/100 loss=1.7996 tokens=511 step_time=0.696s
step 11/100 loss=1.4850 tokens=511 step_time=0.714s
step 12/100 loss=3.0884 tokens=511 step_time=0.707s
step 13/100 loss=3.7247 tokens=511 step_time=0.693s
step 14/100 loss=1.7752 tokens=511 step_time=0.702s
step 15/100 loss=1.9305 tokens=511 step_time=0.684s
step 16/100 loss=1.6997 tokens=511 step_time=0.705s
step 17/100 loss=1.2326 tokens=511 step_time=0.705s
step 18/100 loss=1.7136 tokens=511 step_time=0.698s
step 19/100 loss=2.2873 tokens=511 step_time=0.690s
step 20/100 loss=2.5038 tokens=282 step_time=0.363s
step 21/100 loss=1.9405 tokens=511 step_time=0.692s
step 22/100 loss=0.9587 tokens=511 step_time=0.708s
step 23/100 loss=3.3014 tokens=511 step_time=0.681s
step 24/100 loss=1.1901 tokens=511 step_time=0.705s
step 25/100 loss=2.3808 tokens=511 step_time=0.682s
step 26/100 loss=1.4301 tokens=440 step_time=0.752s
step 27/100 loss=0.8072 tokens=511 step_time=0.696s
step 28/100 loss=1.9867 tokens=511 step_time=0.705s
step 29/100 loss=1.4964 tokens=511 step_time=0.696s
step 30/100 loss=1.6015 tokens=511 step_time=0.686s
step 31/100 loss=1.6264 tokens=511 step_time=0.682s
step 32/100 loss=1.3811 tokens=511 step_time=0.695s
step 33/100 loss=3.1084 tokens=511 step_time=0.694s
step 34/100 loss=2.3307 tokens=511 step_time=0.692s
step 35/100 loss=1.9989 tokens=511 step_time=0.686s
step 36/100 loss=0.8813 tokens=511 step_time=0.680s
step 37/100 loss=2.0308 tokens=198 step_time=0.411s
step 38/100 loss=1.9315 tokens=511 step_time=0.702s
step 39/100 loss=1.3357 tokens=511 step_time=0.697s
step 40/100 loss=2.5229 tokens=474 step_time=0.723s
step 41/100 loss=2.0060 tokens=511 step_time=0.704s
step 42/100 loss=1.3853 tokens=511 step_time=0.702s
step 43/100 loss=2.3321 tokens=511 step_time=0.680s
step 44/100 loss=1.9919 tokens=349 step_time=0.460s
step 45/100 loss=3.2201 tokens=511 step_time=0.698s
step 46/100 loss=1.7553 tokens=511 step_time=0.697s
step 47/100 loss=3.3567 tokens=511 step_time=0.707s
step 48/100 loss=1.3968 tokens=511 step_time=0.689s
step 49/100 loss=1.8091 tokens=511 step_time=0.695s
step 50/100 loss=1.3194 tokens=511 step_time=0.683s
[val] step 50 loss=1.9507
step 51/100 loss=1.2600 tokens=511 step_time=0.689s
step 52/100 loss=2.2574 tokens=511 step_time=0.689s
step 53/100 loss=0.7134 tokens=511 step_time=0.689s
step 54/100 loss=1.0553 tokens=511 step_time=0.699s
step 55/100 loss=3.5181 tokens=511 step_time=0.704s
step 56/100 loss=2.4215 tokens=511 step_time=0.705s
step 57/100 loss=1.5407 tokens=511 step_time=0.693s
step 58/100 loss=1.3485 tokens=511 step_time=0.692s
step 59/100 loss=1.7640 tokens=511 step_time=0.692s
step 60/100 loss=1.9828 tokens=511 step_time=0.675s
step 61/100 loss=1.9726 tokens=511 step_time=0.698s
step 62/100 loss=1.8470 tokens=511 step_time=0.704s
step 63/100 loss=1.5832 tokens=511 step_time=0.709s
step 64/100 loss=2.1211 tokens=511 step_time=0.698s
step 65/100 loss=1.6435 tokens=511 step_time=0.688s
step 66/100 loss=1.6374 tokens=511 step_time=0.691s
step 67/100 loss=1.3959 tokens=511 step_time=0.705s
step 68/100 loss=1.4861 tokens=511 step_time=0.679s
step 69/100 loss=0.7961 tokens=511 step_time=0.682s
step 70/100 loss=2.0517 tokens=304 step_time=0.533s
step 71/100 loss=2.0573 tokens=511 step_time=0.700s
step 72/100 loss=2.3436 tokens=511 step_time=0.703s
step 73/100 loss=2.2101 tokens=511 step_time=0.690s
step 74/100 loss=3.1546 tokens=511 step_time=0.712s
step 75/100 loss=1.7486 tokens=511 step_time=0.699s
step 76/100 loss=2.1105 tokens=511 step_time=0.686s
step 77/100 loss=2.9384 tokens=511 step_time=0.693s
step 78/100 loss=2.6180 tokens=511 step_time=0.708s
step 79/100 loss=1.5554 tokens=511 step_time=0.699s
step 80/100 loss=2.4629 tokens=511 step_time=0.695s
step 81/100 loss=1.4889 tokens=511 step_time=0.693s
step 82/100 loss=3.1646 tokens=511 step_time=0.677s
step 83/100 loss=1.5338 tokens=511 step_time=0.687s
step 84/100 loss=2.1107 tokens=511 step_time=0.699s
step 85/100 loss=2.0232 tokens=511 step_time=0.699s
step 86/100 loss=1.5074 tokens=511 step_time=0.697s
step 87/100 loss=3.7304 tokens=511 step_time=0.697s
step 88/100 loss=1.3809 tokens=511 step_time=0.696s
step 89/100 loss=2.2786 tokens=511 step_time=0.693s
step 90/100 loss=1.8432 tokens=511 step_time=0.683s
step 91/100 loss=1.4815 tokens=511 step_time=0.700s
step 92/100 loss=2.3036 tokens=511 step_time=0.703s
step 93/100 loss=3.5747 tokens=511 step_time=0.680s
step 94/100 loss=1.9230 tokens=511 step_time=0.683s
step 95/100 loss=2.6078 tokens=511 step_time=0.692s
step 96/100 loss=1.7554 tokens=511 step_time=0.693s
step 97/100 loss=0.7115 tokens=511 step_time=0.700s
step 98/100 loss=1.8413 tokens=511 step_time=0.693s
step 99/100 loss=3.1385 tokens=511 step_time=0.696s
step 100/100 loss=2.5744 tokens=511 step_time=0.699s
[val] step 100 loss=1.9252
[train] done: 100 steps, final_loss=2.5744, tokens=49910, trainable=2.294M/95.482M
