[val] step 0 loss=2.4215
step 1/100 loss=2.0629 tokens=511 step_time=0.689s
step 2/100 loss=1.7571 tokens=511 step_time=0.693s
step 3/100 loss=1.1899 tokens=511 step_time=0.711s
step 4/100 loss=2.7682 tokens=340 step_time=0.462s
step 5/100 loss=1.8143 tokens=511 step_time=0.698s
step 6/100 loss=1.6846 tokens=511 step_time=0.707s
step 7/100 loss=1.7420 tokens=511 step_time=0.693s
step 8/100 loss=1.8453 tokens=511 step_time=0.694s
step 9/100 loss=2.1459 tokens=511 step_time=0.698s
step 10/100 loss=1.7981 tokens=511 step_time=0.700s
step 11/100 loss=1.4806 tokens=511 step_time=0.696s
step 12/100 loss=3.1011 tokens=511 step_time=0.702s
step 13/100 loss=3.7185 tokens=511 step_time=0.710s
step 14/100 loss=1.7721 tokens=511 step_time=0.692s
step 15/100 loss=1.9309 tokens=511 step_time=0.701s
step 16/100 loss=1.7101 tokens=511 step_time=0.701s
step 17/100 loss=1.2464 tokens=511 step_time=0.699s
step 18/100 loss=1.7149 tokens=511 step_time=0.693s
step 19/100 loss=2.3009 tokens=511 step_time=0.694s
step 20/100 loss=2.4501 tokens=282 step_time=0.372s
step 21/100 loss=1.9305 tokens=511 step_time=0.699s
step 22/100 loss=0.9526 tokens=511 step_time=0.707s
step 23/100 loss=3.3019 tokens=511 step_time=0.708s
step 24/100 loss=1.1833 tokens=511 step_time=0.696s
step 25/100 loss=2.3775 tokens=511 step_time=0.683s
step 26/100 loss=1.4325 tokens=440 step_time=0.907s
step 27/100 loss=0.8024 tokens=511 step_time=0.702s
step 28/100 loss=1.9812 tokens=511 step_time=0.705s
step 29/100 loss=1.4921 tokens=511 step_time=0.710s
step 30/100 loss=1.5985 tokens=511 step_time=0.685s
step 31/100 loss=1.6211 tokens=511 step_time=0.687s
step 32/100 loss=1.3896 tokens=511 step_time=0.688s
step 33/100 loss=3.0881 tokens=511 step_time=0.694s
step 34/100 loss=2.3223 tokens=511 step_time=0.702s
step 35/100 loss=2.0017 tokens=511 step_time=0.708s
step 36/100 loss=0.8876 tokens=511 step_time=0.692s
step 37/100 loss=2.0549 tokens=198 step_time=0.429s
step 38/100 loss=1.9336 tokens=511 step_time=0.686s
step 39/100 loss=1.3347 tokens=511 step_time=0.704s
step 40/100 loss=2.5171 tokens=474 step_time=0.705s
step 41/100 loss=2.0078 tokens=511 step_time=0.704s
step 42/100 loss=1.3924 tokens=511 step_time=0.690s
step 43/100 loss=2.3376 tokens=511 step_time=0.687s
step 44/100 loss=1.9747 tokens=349 step_time=0.474s
