[val] step 0 loss=2.3096
step 1/100 loss=1.9446 tokens=511 step_time=2.220s
step 2/100 loss=2.6857 tokens=511 step_time=1.187s
step 3/100 loss=3.2669 tokens=511 step_time=1.075s
step 4/100 loss=4.5769 tokens=340 step_time=0.880s
step 5/100 loss=4.8704 tokens=511 step_time=1.080s
step 6/100 loss=3.8084 tokens=511 step_time=1.090s
step 7/100 loss=3.6044 tokens=511 step_time=1.091s
step 8/100 loss=4.3453 tokens=511 step_time=1.085s
step 9/100 loss=6.3726 tokens=511 step_time=1.075s
step 10/100 loss=5.2539 tokens=511 step_time=1.098s
step 11/100 loss=4.2375 tokens=511 step_time=1.078s
step 12/100 loss=5.7523 tokens=511 step_time=1.085s
step 13/100 loss=6.5088 tokens=511 step_time=1.077s
step 14/100 loss=5.3029 tokens=511 step_time=1.077s
step 15/100 loss=5.3213 tokens=511 step_time=1.076s
step 16/100 loss=5.9081 tokens=511 step_time=1.074s
step 17/100 loss=4.4789 tokens=511 step_time=1.100s
step 18/100 loss=4.9862 tokens=511 step_time=1.072s
step 19/100 loss=5.5432 tokens=511 step_time=1.085s
step 20/100 loss=5.1666 tokens=282 step_time=0.788s
step 21/100 loss=5.6836 tokens=511 step_time=1.079s
step 22/100 loss=4.4368 tokens=511 step_time=1.081s
step 23/100 loss=6.1611 tokens=511 step_time=1.089s
step 24/100 loss=7.4248 tokens=511 step_time=1.080s
step 25/100 loss=6.2148 tokens=511 step_time=1.096s
step 26/100 loss=5.0417 tokens=440 step_time=1.004s
step 27/100 loss=6.4037 tokens=511 step_time=1.095s
step 28/100 loss=6.4448 tokens=511 step_time=1.074s
step 29/100 loss=5.3054 tokens=511 step_time=1.074s
step 30/100 loss=5.5320 tokens=511 step_time=1.077s
step 31/100 loss=5.2474 tokens=511 step_time=1.097s
step 32/100 loss=5.5338 tokens=511 step_time=1.085s
step 33/100 loss=6.2812 tokens=511 step_time=1.079s
step 34/100 loss=5.7963 tokens=511 step_time=1.087s
step 35/100 loss=5.1418 tokens=511 step_time=1.087s
step 36/100 loss=5.5821 tokens=511 step_time=1.075s
step 37/100 loss=4.8503 tokens=198 step_time=0.909s
step 38/100 loss=5.3599 tokens=511 step_time=1.075s
step 39/100 loss=4.8899 tokens=511 step_time=1.092s
step 40/100 loss=6.2650 tokens=474 step_time=1.178s
step 41/100 loss=5.0935 tokens=511 step_time=1.109s
step 42/100 loss=4.4462 tokens=511 step_time=1.082s
step 43/100 loss=5.9564 tokens=511 step_time=1.076s
step 44/100 loss=4.6896 tokens=349 step_time=0.885s
step 45/100 loss=5.8210 tokens=511 step_time=1.104s
step 46/100 loss=5.2098 tokens=511 step_time=1.141s
step 47/100 loss=6.8489 tokens=511 step_time=1.133s
step 48/100 loss=5.2499 tokens=511 step_time=1.128s
step 49/100 loss=4.7462 tokens=511 step_time=1.119s
step 50/100 loss=6.1054 tokens=511 step_time=1.109s
[val] step 50 loss=5.0453
step 51/100 loss=5.1902 tokens=511 step_time=14.927s
