[val] step 0 loss=2.3096
step 1/100 loss=1.9446 tokens=511 step_time=1.550s
step 2/100 loss=2.6862 tokens=511 step_time=1.070s
step 3/100 loss=3.2300 tokens=511 step_time=1.082s
step 4/100 loss=4.5758 tokens=340 step_time=0.860s
step 5/100 loss=4.8255 tokens=511 step_time=1.066s
step 6/100 loss=3.7307 tokens=511 step_time=1.133s
step 7/100 loss=3.5842 tokens=511 step_time=1.095s
step 8/100 loss=4.2557 tokens=511 step_time=1.065s
step 9/100 loss=6.6204 tokens=511 step_time=1.071s
step 10/100 loss=5.2577 tokens=511 step_time=1.084s
step 11/100 loss=4.2750 tokens=511 step_time=1.068s
step 12/100 loss=5.9974 tokens=511 step_time=1.070s
step 13/100 loss=6.6927 tokens=511 step_time=1.095s
step 14/100 loss=5.6215 tokens=511 step_time=1.081s
step 15/100 loss=5.7321 tokens=511 step_time=1.067s
step 16/100 loss=6.1616 tokens=511 step_time=1.064s
step 17/100 loss=4.7254 tokens=511 step_time=1.082s
step 18/100 loss=5.3615 tokens=511 step_time=1.073s
step 19/100 loss=5.6180 tokens=511 step_time=1.083s
step 20/100 loss=5.2515 tokens=282 step_time=0.782s
step 21/100 loss=5.7985 tokens=511 step_time=1.070s
step 22/100 loss=4.3931 tokens=511 step_time=1.090s
step 23/100 loss=6.5428 tokens=511 step_time=1.069s
step 24/100 loss=5.4855 tokens=511 step_time=1.073s
step 25/100 loss=6.1065 tokens=511 step_time=1.066s
step 26/100 loss=5.0930 tokens=440 step_time=1.002s
step 27/100 loss=5.3596 tokens=511 step_time=1.064s
step 28/100 loss=5.9844 tokens=511 step_time=1.111s
step 29/100 loss=5.2909 tokens=511 step_time=1.088s
step 30/100 loss=5.2183 tokens=511 step_time=1.074s
step 31/100 loss=4.8665 tokens=511 step_time=1.076s
step 32/100 loss=5.2184 tokens=511 step_time=1.082s
step 33/100 loss=6.0467 tokens=511 step_time=1.081s
step 34/100 loss=5.3382 tokens=511 step_time=1.082s
step 35/100 loss=4.9515 tokens=511 step_time=1.086s
step 36/100 loss=5.4712 tokens=511 step_time=1.077s
step 37/100 loss=4.5807 tokens=198 step_time=0.704s
step 38/100 loss=5.2475 tokens=511 step_time=1.083s
step 39/100 loss=4.3864 tokens=511 step_time=1.094s
step 40/100 loss=6.1779 tokens=474 step_time=1.099s
step 41/100 loss=5.0264 tokens=511 step_time=1.074s
step 42/100 loss=4.4891 tokens=511 step_time=1.062s
step 43/100 loss=5.7434 tokens=511 step_time=1.075s
step 44/100 loss=4.5605 tokens=349 step_time=1.012s
step 45/100 loss=5.8221 tokens=511 step_time=1.124s
step 46/100 loss=5.2937 tokens=511 step_time=1.121s
step 47/100 loss=6.6481 tokens=511 step_time=1.116s
step 48/100 loss=5.1067 tokens=511 step_time=1.127s
step 49/100 loss=4.7152 tokens=511 step_time=1.121s
step 50/100 loss=5.6894 tokens=511 step_time=1.133s
[val] step 50 loss=5.0409
step 51/100 loss=4.9007 tokens=511 step_time=18.875s
step 52/100 loss=4.9850 tokens=511 step_time=1.235s
step 53/100 loss=4.5481 tokens=511 step_time=1.090s
step 54/100 loss=3.7738 tokens=511 step_time=1.085s
step 55/100 loss=6.8108 tokens=511 step_time=1.082s
step 56/100 loss=4.8777 tokens=511 step_time=1.084s
step 57/100 loss=5.4822 tokens=511 step_time=1.087s
step 58/100 loss=4.5033 tokens=511 step_time=1.080s
step 59/100 loss=4.5431 tokens=511 step_time=1.074s
step 60/100 loss=4.7171 tokens=511 step_time=1.086s
step 61/100 loss=4.9245 tokens=511 step_time=1.080s
step 62/100 loss=4.4205 tokens=511 step_time=1.078s
step 63/100 loss=4.6738 tokens=511 step_time=1.095s
step 64/100 loss=5.2029 tokens=511 step_time=1.090s
step 65/100 loss=4.5392 tokens=511 step_time=1.075s
step 66/100 loss=4.3797 tokens=511 step_time=1.082s
step 67/100 loss=4.4823 tokens=511 step_time=1.102s
step 68/100 loss=4.7447 tokens=511 step_time=1.083s
step 69/100 loss=4.3644 tokens=511 step_time=1.080s
step 70/100 loss=5.3813 tokens=304 step_time=0.861s
step 71/100 loss=4.7710 tokens=511 step_time=1.112s
step 72/100 loss=5.4941 tokens=511 step_time=1.081s
step 73/100 loss=5.3058 tokens=511 step_time=1.085s
step 74/100 loss=5.6568 tokens=511 step_time=1.077s
step 75/100 loss=4.6304 tokens=511 step_time=1.083s
step 76/100 loss=5.0694 tokens=511 step_time=1.100s
step 77/100 loss=5.1445 tokens=511 step_time=1.100s
step 78/100 loss=5.2778 tokens=511 step_time=1.078s
step 79/100 loss=4.5929 tokens=511 step_time=1.067s
step 80/100 loss=4.8509 tokens=511 step_time=1.074s
step 81/100 loss=3.8083 tokens=511 step_time=1.068s
step 82/100 loss=5.2461 tokens=511 step_time=1.063s
step 83/100 loss=4.0978 tokens=511 step_time=1.073s
step 84/100 loss=5.0677 tokens=511 step_time=1.066s
step 85/100 loss=4.5012 tokens=511 step_time=1.117s
step 86/100 loss=4.0786 tokens=511 step_time=1.089s
step 87/100 loss=5.9675 tokens=511 step_time=1.098s
step 88/100 loss=4.5715 tokens=511 step_time=1.096s
step 89/100 loss=4.3303 tokens=511 step_time=1.098s
step 90/100 loss=4.1491 tokens=511 step_time=1.077s
step 91/100 loss=3.7182 tokens=511 step_time=1.110s
step 92/100 loss=4.5579 tokens=511 step_time=1.138s
step 93/100 loss=5.5565 tokens=511 step_time=1.127s
step 94/100 loss=4.7867 tokens=511 step_time=1.131s
step 95/100 loss=4.7210 tokens=511 step_time=1.128s
step 96/100 loss=4.5459 tokens=511 step_time=1.173s
step 97/100 loss=4.4950 tokens=511 step_time=1.117s
step 98/100 loss=5.1472 tokens=511 step_time=1.094s
step 99/100 loss=5.5005 tokens=511 step_time=1.107s
step 100/100 loss=4.7891 tokens=511 step_time=1.097s
[val] step 100 loss=4.4069
[train] done: 100 steps, final_loss=4.7891, tokens=49910, trainable=596.050M/596.050M
