[val] step 0 loss=2.3096
step 1/100 loss=1.9446 tokens=511 step_time=1.620s
step 2/100 loss=2.6851 tokens=511 step_time=1.102s
step 3/100 loss=3.2993 tokens=511 step_time=1.090s
step 4/100 loss=4.5771 tokens=340 step_time=0.869s
step 5/100 loss=4.8872 tokens=511 step_time=1.075s
step 6/100 loss=3.8457 tokens=511 step_time=1.086s
step 7/100 loss=3.6236 tokens=511 step_time=1.104s
step 8/100 loss=4.2571 tokens=511 step_time=1.070s
step 9/100 loss=6.0916 tokens=511 step_time=1.074s
step 10/100 loss=4.9311 tokens=511 step_time=1.109s
step 11/100 loss=4.2899 tokens=511 step_time=1.068s
step 12/100 loss=5.8051 tokens=511 step_time=1.076s
step 13/100 loss=6.6205 tokens=511 step_time=1.072s
step 14/100 loss=5.4027 tokens=511 step_time=1.074s
step 15/100 loss=5.4460 tokens=511 step_time=1.091s
step 16/100 loss=5.9252 tokens=511 step_time=1.079s
step 17/100 loss=4.5546 tokens=511 step_time=1.097s
step 18/100 loss=5.0238 tokens=511 step_time=1.096s
step 19/100 loss=5.6437 tokens=511 step_time=1.089s
step 20/100 loss=5.2343 tokens=282 step_time=0.790s
step 21/100 loss=5.6907 tokens=511 step_time=1.087s
step 22/100 loss=4.5372 tokens=511 step_time=1.090s
step 23/100 loss=6.0387 tokens=511 step_time=1.096s
step 24/100 loss=6.5595 tokens=511 step_time=1.093s
step 25/100 loss=5.7074 tokens=511 step_time=1.088s
step 26/100 loss=4.8745 tokens=440 step_time=1.018s
step 27/100 loss=6.4091 tokens=511 step_time=1.094s
step 28/100 loss=6.0966 tokens=511 step_time=1.076s
step 29/100 loss=5.5239 tokens=511 step_time=1.106s
step 30/100 loss=5.5199 tokens=511 step_time=1.110s
step 31/100 loss=5.1439 tokens=511 step_time=1.091s
step 32/100 loss=5.2069 tokens=511 step_time=1.086s
step 33/100 loss=6.1627 tokens=511 step_time=1.085s
step 34/100 loss=5.6751 tokens=511 step_time=1.085s
step 35/100 loss=5.0181 tokens=511 step_time=1.080s
step 36/100 loss=5.6552 tokens=511 step_time=1.085s
step 37/100 loss=4.4431 tokens=198 step_time=0.714s
step 38/100 loss=5.1740 tokens=511 step_time=1.079s
step 39/100 loss=5.0176 tokens=511 step_time=1.095s
step 40/100 loss=5.8246 tokens=474 step_time=1.103s
step 41/100 loss=4.6490 tokens=511 step_time=1.116s
step 42/100 loss=4.5465 tokens=511 step_time=1.074s
step 43/100 loss=5.8969 tokens=511 step_time=1.080s
step 44/100 loss=4.7841 tokens=349 step_time=0.882s
step 45/100 loss=5.8783 tokens=511 step_time=1.075s
step 46/100 loss=6.9864 tokens=511 step_time=1.070s
step 47/100 loss=7.2971 tokens=511 step_time=1.080s
step 48/100 loss=5.0811 tokens=511 step_time=1.081s
step 49/100 loss=5.1755 tokens=511 step_time=1.079s
step 50/100 loss=6.0157 tokens=511 step_time=1.076s
[val] step 50 loss=5.1312
step 51/100 loss=4.7306 tokens=511 step_time=5.874s
step 52/100 loss=5.0738 tokens=511 step_time=1.292s
step 53/100 loss=5.0133 tokens=511 step_time=1.089s
step 54/100 loss=3.8091 tokens=511 step_time=1.086s
step 55/100 loss=6.9287 tokens=511 step_time=1.075s
step 56/100 loss=5.0629 tokens=511 step_time=1.072s
step 57/100 loss=5.2943 tokens=511 step_time=1.070s
step 58/100 loss=4.4069 tokens=511 step_time=1.083s
step 59/100 loss=4.6275 tokens=511 step_time=1.071s
step 60/100 loss=4.4434 tokens=511 step_time=1.078s
step 61/100 loss=5.0091 tokens=511 step_time=1.094s
step 62/100 loss=4.2521 tokens=511 step_time=1.084s
step 63/100 loss=4.8024 tokens=511 step_time=1.081s
step 64/100 loss=5.3418 tokens=511 step_time=1.095s
step 65/100 loss=4.7348 tokens=511 step_time=1.094s
step 66/100 loss=4.7926 tokens=511 step_time=1.079s
step 67/100 loss=4.6780 tokens=511 step_time=1.076s
step 68/100 loss=4.5610 tokens=511 step_time=1.077s
step 69/100 loss=4.2280 tokens=511 step_time=1.072s
step 70/100 loss=5.6408 tokens=304 step_time=0.814s
step 71/100 loss=4.9065 tokens=511 step_time=1.077s
step 72/100 loss=5.6226 tokens=511 step_time=1.079s
step 73/100 loss=5.3843 tokens=511 step_time=1.078s
step 74/100 loss=5.7506 tokens=511 step_time=1.081s
step 75/100 loss=4.6639 tokens=511 step_time=1.079s
step 76/100 loss=5.1782 tokens=511 step_time=1.092s
step 77/100 loss=5.3159 tokens=511 step_time=1.085s
step 78/100 loss=5.4849 tokens=511 step_time=1.140s
step 79/100 loss=4.4462 tokens=511 step_time=1.108s
step 80/100 loss=4.7160 tokens=511 step_time=1.104s
step 81/100 loss=3.9300 tokens=511 step_time=1.082s
step 82/100 loss=5.4367 tokens=511 step_time=1.078s
step 83/100 loss=4.4786 tokens=511 step_time=1.071s
step 84/100 loss=5.1212 tokens=511 step_time=1.077s
step 85/100 loss=4.7644 tokens=511 step_time=1.075s
step 86/100 loss=4.2789 tokens=511 step_time=1.077s
step 87/100 loss=6.0269 tokens=511 step_time=1.090s
step 88/100 loss=5.0482 tokens=511 step_time=1.074s
step 89/100 loss=4.3263 tokens=511 step_time=1.083s
step 90/100 loss=4.6165 tokens=511 step_time=1.082s
step 91/100 loss=3.8067 tokens=511 step_time=1.090s
step 92/100 loss=4.6436 tokens=511 step_time=1.089s
step 93/100 loss=5.7998 tokens=511 step_time=1.078s
step 94/100 loss=4.8078 tokens=511 step_time=1.073s
step 95/100 loss=4.6874 tokens=511 step_time=1.091s
step 96/100 loss=4.7229 tokens=511 step_time=1.074s
step 97/100 loss=4.0871 tokens=511 step_time=1.078s
step 98/100 loss=5.2047 tokens=511 step_time=1.091s
step 99/100 loss=5.6884 tokens=511 step_time=1.085s
step 100/100 loss=4.8158 tokens=511 step_time=1.081s
[val] step 100 loss=4.3829
[train] done: 100 steps, final_loss=4.8158, tokens=49910, trainable=596.050M/596.050M
