[val] step 0 loss=2.3096
step 1/100 loss=1.9446 tokens=511 step_time=0.626s
step 2/100 loss=1.4880 tokens=511 step_time=0.608s
step 3/100 loss=1.2055 tokens=511 step_time=0.607s
step 4/100 loss=2.6053 tokens=340 step_time=0.425s
step 5/100 loss=1.6377 tokens=511 step_time=0.607s
step 6/100 loss=1.6292 tokens=511 step_time=0.620s
step 7/100 loss=1.6285 tokens=511 step_time=0.621s
step 8/100 loss=1.6902 tokens=511 step_time=0.626s
step 9/100 loss=1.9784 tokens=511 step_time=0.608s
step 10/100 loss=1.6463 tokens=511 step_time=0.605s
step 11/100 loss=1.4032 tokens=511 step_time=0.610s
step 12/100 loss=2.8866 tokens=511 step_time=0.623s
step 13/100 loss=3.6084 tokens=511 step_time=0.619s
step 14/100 loss=1.6643 tokens=511 step_time=0.608s
step 15/100 loss=1.7794 tokens=511 step_time=0.608s
step 16/100 loss=1.4604 tokens=511 step_time=0.608s
step 17/100 loss=1.1536 tokens=511 step_time=0.608s
step 18/100 loss=1.6304 tokens=511 step_time=0.607s
step 19/100 loss=2.0069 tokens=511 step_time=0.619s
step 20/100 loss=2.2309 tokens=282 step_time=0.358s
step 21/100 loss=1.7725 tokens=511 step_time=0.615s
step 22/100 loss=0.8670 tokens=511 step_time=0.609s
step 23/100 loss=3.1413 tokens=511 step_time=0.609s
step 24/100 loss=1.0885 tokens=511 step_time=0.609s
step 25/100 loss=2.2592 tokens=511 step_time=0.610s
step 26/100 loss=1.3576 tokens=440 step_time=1.044s
step 27/100 loss=0.7714 tokens=511 step_time=0.626s
step 28/100 loss=1.8514 tokens=511 step_time=0.606s
step 29/100 loss=1.3902 tokens=511 step_time=0.613s
step 30/100 loss=1.5049 tokens=511 step_time=0.613s
step 31/100 loss=1.5067 tokens=511 step_time=0.610s
step 32/100 loss=1.2872 tokens=511 step_time=0.620s
step 33/100 loss=2.9795 tokens=511 step_time=0.619s
step 34/100 loss=2.1337 tokens=511 step_time=0.609s
step 35/100 loss=1.9188 tokens=511 step_time=0.614s
step 36/100 loss=0.8492 tokens=511 step_time=0.614s
step 37/100 loss=1.8585 tokens=198 step_time=0.357s
step 38/100 loss=1.8252 tokens=511 step_time=0.607s
step 39/100 loss=1.2346 tokens=511 step_time=0.602s
step 40/100 loss=2.3720 tokens=474 step_time=0.630s
step 41/100 loss=1.8712 tokens=511 step_time=0.620s
step 42/100 loss=1.3130 tokens=511 step_time=0.618s
step 43/100 loss=2.2035 tokens=511 step_time=0.618s
step 44/100 loss=1.8955 tokens=349 step_time=0.451s
step 45/100 loss=3.0723 tokens=511 step_time=0.624s
step 46/100 loss=1.5619 tokens=511 step_time=0.611s
step 47/100 loss=3.2282 tokens=511 step_time=0.616s
step 48/100 loss=1.2963 tokens=511 step_time=0.613s
step 49/100 loss=1.6667 tokens=511 step_time=0.623s
step 50/100 loss=1.2253 tokens=511 step_time=0.618s
[val] step 50 loss=1.8399
step 51/100 loss=1.1811 tokens=511 step_time=0.634s
step 52/100 loss=2.1938 tokens=511 step_time=0.627s
step 53/100 loss=0.6812 tokens=511 step_time=0.621s
step 54/100 loss=0.9683 tokens=511 step_time=0.619s
step 55/100 loss=3.3803 tokens=511 step_time=0.628s
step 56/100 loss=2.3088 tokens=511 step_time=0.629s
step 57/100 loss=1.4372 tokens=511 step_time=0.628s
step 58/100 loss=1.2347 tokens=511 step_time=0.618s
step 59/100 loss=1.6382 tokens=511 step_time=0.619s
step 60/100 loss=1.9111 tokens=511 step_time=0.623s
step 61/100 loss=1.8647 tokens=511 step_time=0.631s
step 62/100 loss=1.7982 tokens=511 step_time=0.618s
step 63/100 loss=1.4635 tokens=511 step_time=0.632s
step 64/100 loss=2.0375 tokens=511 step_time=0.615s
step 65/100 loss=1.5140 tokens=511 step_time=0.618s
step 66/100 loss=1.5236 tokens=511 step_time=0.619s
step 67/100 loss=1.2677 tokens=511 step_time=0.630s
step 68/100 loss=1.3837 tokens=511 step_time=0.632s
step 69/100 loss=0.7322 tokens=511 step_time=0.626s
step 70/100 loss=1.8918 tokens=304 step_time=0.548s
step 71/100 loss=1.9249 tokens=511 step_time=0.620s
step 72/100 loss=2.1811 tokens=511 step_time=0.631s
step 73/100 loss=2.1076 tokens=511 step_time=0.624s
step 74/100 loss=3.0241 tokens=511 step_time=0.634s
step 75/100 loss=1.6402 tokens=511 step_time=0.630s
step 76/100 loss=1.9569 tokens=511 step_time=0.630s
step 77/100 loss=2.8028 tokens=511 step_time=0.619s
step 78/100 loss=2.5088 tokens=511 step_time=0.615s
step 79/100 loss=1.4325 tokens=511 step_time=0.620s
step 80/100 loss=2.3640 tokens=511 step_time=0.629s
step 81/100 loss=1.3760 tokens=511 step_time=0.625s
step 82/100 loss=3.1017 tokens=511 step_time=0.622s
step 83/100 loss=1.5303 tokens=511 step_time=0.615s
step 84/100 loss=1.9836 tokens=511 step_time=0.624s
step 85/100 loss=1.9206 tokens=511 step_time=0.623s
step 86/100 loss=1.3334 tokens=511 step_time=0.615s
step 87/100 loss=3.6255 tokens=511 step_time=0.623s
step 88/100 loss=1.2854 tokens=511 step_time=0.629s
step 89/100 loss=2.1850 tokens=511 step_time=0.625s
step 90/100 loss=1.7680 tokens=511 step_time=0.620s
step 91/100 loss=1.3899 tokens=511 step_time=0.624s
step 92/100 loss=2.1351 tokens=511 step_time=0.619s
step 93/100 loss=3.4716 tokens=511 step_time=0.627s
step 94/100 loss=1.7752 tokens=511 step_time=0.616s
step 95/100 loss=2.5125 tokens=511 step_time=0.621s
