[val] step 0 loss=2.3096
step 1/100 loss=1.9446 tokens=511 step_time=0.631s
step 2/100 loss=1.4929 tokens=511 step_time=0.622s
step 3/100 loss=1.2069 tokens=511 step_time=0.619s
step 4/100 loss=2.6078 tokens=340 step_time=0.428s
step 5/100 loss=1.6396 tokens=511 step_time=0.611s
step 6/100 loss=1.6253 tokens=511 step_time=0.614s
step 7/100 loss=1.6196 tokens=511 step_time=0.611s
step 8/100 loss=1.6957 tokens=511 step_time=0.622s
step 9/100 loss=1.9747 tokens=511 step_time=0.623s
step 10/100 loss=1.6450 tokens=511 step_time=0.622s
step 11/100 loss=1.4092 tokens=511 step_time=0.611s
step 12/100 loss=2.8922 tokens=511 step_time=0.608s
step 13/100 loss=3.5975 tokens=511 step_time=0.609s
step 14/100 loss=1.6605 tokens=511 step_time=0.613s
step 15/100 loss=1.7774 tokens=511 step_time=0.614s
step 16/100 loss=1.4660 tokens=511 step_time=0.626s
step 17/100 loss=1.1472 tokens=511 step_time=0.617s
step 18/100 loss=1.6288 tokens=511 step_time=0.607s
step 19/100 loss=2.0123 tokens=511 step_time=0.614s
step 20/100 loss=2.2417 tokens=282 step_time=0.351s
step 21/100 loss=1.7843 tokens=511 step_time=0.619s
step 22/100 loss=0.8595 tokens=511 step_time=0.620s
step 23/100 loss=3.1337 tokens=511 step_time=0.620s
step 24/100 loss=1.0861 tokens=511 step_time=0.610s
step 25/100 loss=2.2756 tokens=511 step_time=0.612s
step 26/100 loss=1.3787 tokens=440 step_time=1.002s
step 27/100 loss=0.7659 tokens=511 step_time=0.625s
step 28/100 loss=1.8556 tokens=511 step_time=0.612s
step 29/100 loss=1.4016 tokens=511 step_time=0.618s
step 30/100 loss=1.5118 tokens=511 step_time=0.604s
step 31/100 loss=1.5021 tokens=511 step_time=0.606s
step 32/100 loss=1.2801 tokens=511 step_time=0.612s
step 33/100 loss=2.9716 tokens=511 step_time=0.621s
step 34/100 loss=2.1250 tokens=511 step_time=0.620s
step 35/100 loss=1.9123 tokens=511 step_time=0.620s
step 36/100 loss=0.8517 tokens=511 step_time=0.609s
step 37/100 loss=1.8661 tokens=198 step_time=0.354s
step 38/100 loss=1.8332 tokens=511 step_time=0.607s
step 39/100 loss=1.2501 tokens=511 step_time=0.618s
step 40/100 loss=2.3802 tokens=474 step_time=0.622s
step 41/100 loss=1.8728 tokens=511 step_time=0.628s
step 42/100 loss=1.3220 tokens=511 step_time=0.621s
step 43/100 loss=2.2186 tokens=511 step_time=0.619s
step 44/100 loss=1.8937 tokens=349 step_time=0.554s
step 45/100 loss=3.0747 tokens=511 step_time=0.628s
step 46/100 loss=1.5685 tokens=511 step_time=0.625s
step 47/100 loss=3.2224 tokens=511 step_time=0.626s
step 48/100 loss=1.3040 tokens=511 step_time=0.629s
step 49/100 loss=1.6621 tokens=511 step_time=0.625s
step 50/100 loss=1.2382 tokens=511 step_time=0.616s
[val] step 50 loss=1.8383
step 51/100 loss=1.1919 tokens=511 step_time=0.645s
step 52/100 loss=2.1861 tokens=511 step_time=0.650s
step 53/100 loss=0.6790 tokens=511 step_time=0.652s
step 54/100 loss=0.9658 tokens=511 step_time=0.645s
step 55/100 loss=3.3998 tokens=511 step_time=0.637s
step 56/100 loss=2.2953 tokens=511 step_time=0.630s
step 57/100 loss=1.4281 tokens=511 step_time=0.629s
step 58/100 loss=1.2315 tokens=511 step_time=0.631s
step 59/100 loss=1.6423 tokens=511 step_time=0.637s
step 60/100 loss=1.9078 tokens=511 step_time=0.626s
step 61/100 loss=1.8631 tokens=511 step_time=0.628s
step 62/100 loss=1.8000 tokens=511 step_time=0.632s
step 63/100 loss=1.4523 tokens=511 step_time=0.628s
step 64/100 loss=2.0422 tokens=511 step_time=0.634s
step 65/100 loss=1.5200 tokens=511 step_time=0.630s
step 66/100 loss=1.5291 tokens=511 step_time=0.628s
step 67/100 loss=1.2619 tokens=511 step_time=0.630s
step 68/100 loss=1.3791 tokens=511 step_time=0.631s
step 69/100 loss=0.7288 tokens=511 step_time=0.632s
step 70/100 loss=1.9078 tokens=304 step_time=0.528s
step 71/100 loss=1.9212 tokens=511 step_time=0.627s
step 72/100 loss=2.1920 tokens=511 step_time=0.640s
step 73/100 loss=2.1258 tokens=511 step_time=0.643s
step 74/100 loss=3.0083 tokens=511 step_time=0.634s
step 75/100 loss=1.6456 tokens=511 step_time=0.645s
step 76/100 loss=1.9465 tokens=511 step_time=0.633s
step 77/100 loss=2.7935 tokens=511 step_time=0.635s
step 78/100 loss=2.5047 tokens=511 step_time=0.641s
step 79/100 loss=1.4316 tokens=511 step_time=0.638s
step 80/100 loss=2.3505 tokens=511 step_time=0.632s
step 81/100 loss=1.3661 tokens=511 step_time=0.640s
step 82/100 loss=3.0958 tokens=511 step_time=0.644s
step 83/100 loss=1.5142 tokens=511 step_time=0.635s
step 84/100 loss=1.9904 tokens=511 step_time=0.641s
step 85/100 loss=1.9049 tokens=511 step_time=0.636s
step 86/100 loss=1.3315 tokens=511 step_time=0.639s
step 87/100 loss=3.6128 tokens=511 step_time=0.633s
step 88/100 loss=1.2658 tokens=511 step_time=0.640s
step 89/100 loss=2.1714 tokens=511 step_time=0.648s
step 90/100 loss=1.7491 tokens=511 step_time=0.646s
step 91/100 loss=1.3882 tokens=511 step_time=0.639s
step 92/100 loss=2.1293 tokens=511 step_time=0.635s
step 93/100 loss=3.4726 tokens=511 step_time=0.631s
step 94/100 loss=1.7643 tokens=511 step_time=0.637s
step 95/100 loss=2.4914 tokens=511 step_time=0.646s
step 96/100 loss=1.6368 tokens=511 step_time=0.638s
step 97/100 loss=0.6710 tokens=511 step_time=0.635s
step 98/100 loss=1.7537 tokens=511 step_time=0.638s
step 99/100 loss=3.0136 tokens=511 step_time=0.634s
step 100/100 loss=2.4984 tokens=511 step_time=0.644s
[val] step 100 loss=1.8124
[train] done: 100 steps, final_loss=2.4984, tokens=49910, trainable=2.294M/598.344M
