[val] step 0 loss=2.3438
step 1/100 loss=1.9787 tokens=511 step_time=1.728s
step 2/100 loss=1.4275 tokens=511 step_time=1.753s
step 3/100 loss=1.1937 tokens=511 step_time=1.712s
step 4/100 loss=2.9001 tokens=340 step_time=1.378s
step 5/100 loss=1.5535 tokens=511 step_time=1.706s
step 6/100 loss=1.4668 tokens=511 step_time=1.699s
step 7/100 loss=1.4087 tokens=511 step_time=1.704s
step 8/100 loss=1.7164 tokens=511 step_time=1.716s
step 9/100 loss=1.7494 tokens=511 step_time=1.698s
step 10/100 loss=1.4553 tokens=511 step_time=1.704s
step 11/100 loss=1.3322 tokens=511 step_time=1.691s
step 12/100 loss=2.6697 tokens=511 step_time=1.706s
step 13/100 loss=3.3988 tokens=511 step_time=1.716s
step 14/100 loss=1.4934 tokens=511 step_time=1.704s
step 15/100 loss=1.6033 tokens=511 step_time=1.714s
step 16/100 loss=1.2491 tokens=511 step_time=1.710s
step 17/100 loss=0.9993 tokens=511 step_time=1.707s
step 18/100 loss=1.4295 tokens=511 step_time=1.712s
step 19/100 loss=1.7187 tokens=511 step_time=1.703s
step 20/100 loss=1.9327 tokens=282 step_time=0.948s
step 21/100 loss=1.5088 tokens=511 step_time=1.690s
step 22/100 loss=0.8210 tokens=511 step_time=1.715s
step 23/100 loss=2.9814 tokens=511 step_time=1.692s
step 24/100 loss=0.9309 tokens=511 step_time=1.689s
step 25/100 loss=1.9682 tokens=511 step_time=1.717s
step 26/100 loss=1.2170 tokens=440 step_time=1.594s
step 27/100 loss=0.6700 tokens=511 step_time=1.732s
step 28/100 loss=1.6163 tokens=511 step_time=1.691s
step 29/100 loss=1.2589 tokens=511 step_time=1.710s
step 30/100 loss=1.3906 tokens=511 step_time=1.704s
step 31/100 loss=1.3312 tokens=511 step_time=1.702s
step 32/100 loss=1.1710 tokens=511 step_time=1.707s
step 33/100 loss=2.6911 tokens=511 step_time=1.693s
step 34/100 loss=1.9938 tokens=511 step_time=1.716s
step 35/100 loss=1.6703 tokens=511 step_time=1.704s
step 36/100 loss=0.7162 tokens=511 step_time=1.712s
step 37/100 loss=1.6134 tokens=198 step_time=0.778s
step 38/100 loss=1.5621 tokens=511 step_time=1.695s
step 39/100 loss=1.0979 tokens=511 step_time=1.719s
step 40/100 loss=2.1206 tokens=474 step_time=1.623s
step 41/100 loss=1.7499 tokens=511 step_time=1.723s
step 42/100 loss=1.2432 tokens=511 step_time=1.709s
step 43/100 loss=1.9436 tokens=511 step_time=1.695s
step 44/100 loss=1.7031 tokens=349 step_time=1.334s
step 45/100 loss=2.8391 tokens=511 step_time=1.719s
step 46/100 loss=1.3175 tokens=511 step_time=1.696s
step 47/100 loss=2.7775 tokens=511 step_time=1.713s
step 48/100 loss=1.0894 tokens=511 step_time=1.710s
step 49/100 loss=1.4264 tokens=511 step_time=1.702s
