[val] step 0 loss=2.3438
step 1/100 loss=1.9787 tokens=511 step_time=1.696s
step 2/100 loss=1.4290 tokens=511 step_time=1.668s
step 3/100 loss=1.1888 tokens=511 step_time=1.668s
step 4/100 loss=2.9016 tokens=340 step_time=1.439s
step 5/100 loss=1.5483 tokens=511 step_time=1.680s
step 6/100 loss=1.4643 tokens=511 step_time=1.663s
step 7/100 loss=1.4041 tokens=511 step_time=1.679s
step 8/100 loss=1.7152 tokens=511 step_time=1.662s
step 9/100 loss=1.7546 tokens=511 step_time=1.716s
step 10/100 loss=1.4565 tokens=511 step_time=1.674s
step 11/100 loss=1.3327 tokens=511 step_time=1.689s
step 12/100 loss=2.6830 tokens=511 step_time=1.686s
step 13/100 loss=3.4038 tokens=511 step_time=1.676s
step 14/100 loss=1.5011 tokens=511 step_time=1.681s
step 15/100 loss=1.5976 tokens=511 step_time=1.671s
step 16/100 loss=1.2498 tokens=511 step_time=1.702s
step 17/100 loss=1.0004 tokens=511 step_time=1.681s
step 18/100 loss=1.4340 tokens=511 step_time=1.678s
step 19/100 loss=1.7237 tokens=511 step_time=1.697s
step 20/100 loss=1.9140 tokens=282 step_time=0.958s
step 21/100 loss=1.5019 tokens=511 step_time=1.707s
step 22/100 loss=0.8161 tokens=511 step_time=1.683s
step 23/100 loss=2.9971 tokens=511 step_time=1.672s
step 24/100 loss=0.9335 tokens=511 step_time=1.684s
step 25/100 loss=1.9632 tokens=511 step_time=1.676s
step 26/100 loss=1.2182 tokens=440 step_time=1.621s
step 27/100 loss=0.6673 tokens=511 step_time=1.708s
step 28/100 loss=1.6137 tokens=511 step_time=1.684s
step 29/100 loss=1.2633 tokens=511 step_time=1.717s
step 30/100 loss=1.4013 tokens=511 step_time=1.684s
step 31/100 loss=1.3303 tokens=511 step_time=1.704s
step 32/100 loss=1.1675 tokens=511 step_time=1.677s
step 33/100 loss=2.6979 tokens=511 step_time=1.697s
step 34/100 loss=1.9922 tokens=511 step_time=1.692s
step 35/100 loss=1.6704 tokens=511 step_time=1.681s
step 36/100 loss=0.7197 tokens=511 step_time=1.689s
step 37/100 loss=1.6216 tokens=198 step_time=0.835s
step 38/100 loss=1.5658 tokens=511 step_time=1.691s
step 39/100 loss=1.0971 tokens=511 step_time=1.699s
step 40/100 loss=2.1160 tokens=474 step_time=1.629s
step 41/100 loss=1.7451 tokens=511 step_time=1.704s
step 42/100 loss=1.2392 tokens=511 step_time=1.709s
step 43/100 loss=1.9367 tokens=511 step_time=1.694s
step 44/100 loss=1.7071 tokens=349 step_time=1.333s
step 45/100 loss=2.8351 tokens=511 step_time=1.725s
step 46/100 loss=1.3179 tokens=511 step_time=1.697s
step 47/100 loss=2.7657 tokens=511 step_time=1.693s
step 48/100 loss=1.0945 tokens=511 step_time=1.716s
step 49/100 loss=1.4284 tokens=511 step_time=1.699s
step 50/100 loss=1.0648 tokens=511 step_time=1.697s
[val] step 50 loss=1.6503
step 51/100 loss=1.0198 tokens=511 step_time=1.773s
step 52/100 loss=2.0479 tokens=511 step_time=1.722s
step 53/100 loss=0.6368 tokens=511 step_time=1.695s
step 54/100 loss=0.8919 tokens=511 step_time=1.736s
step 55/100 loss=3.0645 tokens=511 step_time=1.706s
step 56/100 loss=2.0140 tokens=511 step_time=1.720s
step 57/100 loss=1.1841 tokens=511 step_time=1.718s
step 58/100 loss=1.1815 tokens=511 step_time=1.727s
step 59/100 loss=1.4987 tokens=511 step_time=1.692s
step 60/100 loss=1.7669 tokens=511 step_time=1.687s
step 61/100 loss=1.7524 tokens=511 step_time=1.702s
step 62/100 loss=1.7195 tokens=511 step_time=1.693s
step 63/100 loss=1.2888 tokens=511 step_time=1.699s
step 64/100 loss=1.8315 tokens=511 step_time=1.698s
step 65/100 loss=1.2495 tokens=511 step_time=1.694s
step 66/100 loss=1.4062 tokens=511 step_time=1.709s
step 67/100 loss=1.1393 tokens=511 step_time=1.692s
step 68/100 loss=1.1202 tokens=511 step_time=1.713s
step 69/100 loss=0.6377 tokens=511 step_time=1.689s
step 70/100 loss=1.5400 tokens=304 step_time=1.037s
step 71/100 loss=1.7182 tokens=511 step_time=1.723s
step 72/100 loss=1.9109 tokens=511 step_time=1.803s
step 73/100 loss=1.9419 tokens=511 step_time=1.794s
step 74/100 loss=2.6693 tokens=511 step_time=1.774s
step 75/100 loss=1.4931 tokens=511 step_time=1.699s
step 76/100 loss=1.6788 tokens=511 step_time=1.709s
step 77/100 loss=2.5966 tokens=511 step_time=1.737s
step 78/100 loss=2.3372 tokens=511 step_time=1.702s
step 79/100 loss=1.2354 tokens=511 step_time=1.693s
step 80/100 loss=2.1866 tokens=511 step_time=1.721s
step 81/100 loss=1.2353 tokens=511 step_time=1.699s
step 82/100 loss=2.8160 tokens=511 step_time=1.700s
step 83/100 loss=1.3287 tokens=511 step_time=1.689s
step 84/100 loss=1.8257 tokens=511 step_time=1.698s
step 85/100 loss=1.7345 tokens=511 step_time=1.705s
step 86/100 loss=1.1622 tokens=511 step_time=1.682s
step 87/100 loss=3.3372 tokens=511 step_time=1.711s
step 88/100 loss=0.9789 tokens=511 step_time=1.684s
step 89/100 loss=2.0655 tokens=511 step_time=1.698s
step 90/100 loss=1.6709 tokens=511 step_time=1.699s
step 91/100 loss=1.2674 tokens=511 step_time=1.708s
step 92/100 loss=1.7816 tokens=511 step_time=1.704s
step 93/100 loss=3.2230 tokens=511 step_time=1.691s
step 94/100 loss=1.4806 tokens=511 step_time=1.703s
step 95/100 loss=2.3311 tokens=511 step_time=1.695s
step 96/100 loss=1.4419 tokens=511 step_time=1.705s
step 97/100 loss=0.5942 tokens=511 step_time=1.706s
step 98/100 loss=1.5617 tokens=511 step_time=1.697s
step 99/100 loss=2.6707 tokens=511 step_time=1.701s
step 100/100 loss=2.2872 tokens=511 step_time=1.684s
[val] step 100 loss=1.6264
[train] done: 100 steps, final_loss=2.2872, tokens=49910, trainable=3.211M/272.156M
