[val] step 0 loss=2.3438
step 1/100 loss=1.9787 tokens=511 step_time=1.699s
step 2/100 loss=1.4295 tokens=511 step_time=1.672s
step 3/100 loss=1.1928 tokens=511 step_time=1.675s
step 4/100 loss=2.9151 tokens=340 step_time=1.356s
step 5/100 loss=1.5525 tokens=511 step_time=1.676s
step 6/100 loss=1.4700 tokens=511 step_time=1.683s
step 7/100 loss=1.4099 tokens=511 step_time=1.664s
step 8/100 loss=1.7152 tokens=511 step_time=1.688s
step 9/100 loss=1.7448 tokens=511 step_time=1.686s
step 10/100 loss=1.4560 tokens=511 step_time=1.693s
step 11/100 loss=1.3286 tokens=511 step_time=1.682s
step 12/100 loss=2.6729 tokens=511 step_time=1.686s
step 13/100 loss=3.4076 tokens=511 step_time=1.687s
step 14/100 loss=1.4983 tokens=511 step_time=1.691s
step 15/100 loss=1.6872 tokens=511 step_time=1.697s
step 16/100 loss=1.3126 tokens=511 step_time=1.675s
step 17/100 loss=1.0708 tokens=511 step_time=1.676s
step 18/100 loss=1.4736 tokens=511 step_time=1.708s
step 19/100 loss=1.7802 tokens=511 step_time=1.713s
step 20/100 loss=1.9767 tokens=282 step_time=0.942s
step 21/100 loss=1.5508 tokens=511 step_time=1.696s
step 22/100 loss=0.8444 tokens=511 step_time=1.693s
step 23/100 loss=3.0246 tokens=511 step_time=1.711s
step 24/100 loss=0.9457 tokens=511 step_time=1.734s
step 25/100 loss=1.9927 tokens=511 step_time=1.696s
step 26/100 loss=1.2400 tokens=440 step_time=1.553s
step 27/100 loss=0.6982 tokens=511 step_time=1.751s
step 28/100 loss=1.6408 tokens=511 step_time=1.710s
step 29/100 loss=1.2951 tokens=511 step_time=1.698s
step 30/100 loss=1.4213 tokens=511 step_time=1.707s
step 31/100 loss=1.3783 tokens=511 step_time=1.701s
step 32/100 loss=1.2098 tokens=511 step_time=1.700s
step 33/100 loss=2.7448 tokens=511 step_time=1.711s
step 34/100 loss=2.0264 tokens=511 step_time=1.704s
step 35/100 loss=1.6924 tokens=511 step_time=1.709s
step 36/100 loss=0.7469 tokens=511 step_time=1.722s
step 37/100 loss=1.6869 tokens=198 step_time=0.825s
step 38/100 loss=1.5733 tokens=511 step_time=1.703s
step 39/100 loss=1.1274 tokens=511 step_time=1.713s
step 40/100 loss=2.1521 tokens=474 step_time=1.643s
step 41/100 loss=1.7804 tokens=511 step_time=1.708s
step 42/100 loss=1.2619 tokens=511 step_time=1.700s
step 43/100 loss=1.9701 tokens=511 step_time=1.714s
step 44/100 loss=1.7442 tokens=349 step_time=1.354s
step 45/100 loss=2.8687 tokens=511 step_time=1.692s
step 46/100 loss=1.3217 tokens=511 step_time=1.712s
step 47/100 loss=2.7957 tokens=511 step_time=1.705s
step 48/100 loss=1.1230 tokens=511 step_time=1.701s
step 49/100 loss=1.4432 tokens=511 step_time=1.704s
step 50/100 loss=1.0999 tokens=511 step_time=1.697s
[val] step 50 loss=1.6729
step 51/100 loss=1.0494 tokens=511 step_time=1.728s
step 52/100 loss=2.0776 tokens=511 step_time=1.726s
step 53/100 loss=0.6658 tokens=511 step_time=1.691s
step 54/100 loss=0.9140 tokens=511 step_time=1.715s
step 55/100 loss=3.0826 tokens=511 step_time=1.707s
step 56/100 loss=2.0447 tokens=511 step_time=1.697s
step 57/100 loss=1.2115 tokens=511 step_time=1.698s
step 58/100 loss=1.2051 tokens=511 step_time=1.689s
step 59/100 loss=1.5226 tokens=511 step_time=1.726s
step 60/100 loss=1.7914 tokens=511 step_time=1.696s
step 61/100 loss=1.7878 tokens=511 step_time=1.711s
step 62/100 loss=1.7484 tokens=511 step_time=1.700s
step 63/100 loss=1.3120 tokens=511 step_time=1.701s
step 64/100 loss=1.8589 tokens=511 step_time=1.713s
step 65/100 loss=1.2668 tokens=511 step_time=1.707s
step 66/100 loss=1.4244 tokens=511 step_time=1.694s
step 67/100 loss=1.1493 tokens=511 step_time=1.682s
step 68/100 loss=1.1386 tokens=511 step_time=1.696s
step 69/100 loss=0.6715 tokens=511 step_time=1.717s
step 70/100 loss=1.5690 tokens=304 step_time=1.073s
step 71/100 loss=1.7417 tokens=511 step_time=1.737s
step 72/100 loss=1.9307 tokens=511 step_time=1.711s
step 73/100 loss=1.9578 tokens=511 step_time=1.701s
step 74/100 loss=2.7093 tokens=511 step_time=1.701s
step 75/100 loss=1.5119 tokens=511 step_time=1.703s
step 76/100 loss=1.6965 tokens=511 step_time=1.690s
step 77/100 loss=2.6331 tokens=511 step_time=1.701s
step 78/100 loss=2.3526 tokens=511 step_time=1.727s
step 79/100 loss=1.2638 tokens=511 step_time=1.709s
step 80/100 loss=2.1982 tokens=511 step_time=1.703s
step 81/100 loss=1.2604 tokens=511 step_time=1.704s
step 82/100 loss=2.8266 tokens=511 step_time=1.696s
step 83/100 loss=1.3585 tokens=511 step_time=1.709s
step 84/100 loss=1.8318 tokens=511 step_time=1.711s
step 85/100 loss=1.7604 tokens=511 step_time=1.712s
step 86/100 loss=1.1821 tokens=511 step_time=1.689s
step 87/100 loss=3.3686 tokens=511 step_time=1.719s
step 88/100 loss=1.0103 tokens=511 step_time=1.701s
step 89/100 loss=2.0818 tokens=511 step_time=1.688s
step 90/100 loss=1.6899 tokens=511 step_time=1.704s
step 91/100 loss=1.3073 tokens=511 step_time=1.693s
step 92/100 loss=1.8123 tokens=511 step_time=1.705s
step 93/100 loss=3.2313 tokens=511 step_time=1.697s
step 94/100 loss=1.5004 tokens=511 step_time=1.716s
step 95/100 loss=2.3457 tokens=511 step_time=1.696s
step 96/100 loss=1.4589 tokens=511 step_time=1.694s
step 97/100 loss=0.6159 tokens=511 step_time=1.711s
step 98/100 loss=1.5726 tokens=511 step_time=1.701s
step 99/100 loss=2.6839 tokens=511 step_time=1.696s
step 100/100 loss=2.3084 tokens=511 step_time=1.690s
[val] step 100 loss=1.6468
[train] done: 100 steps, final_loss=2.3084, tokens=49910, trainable=3.211M/272.156M
