[val] step 0 loss=2.3893
step 1/100 loss=2.0131 tokens=511 step_time=1.387s
step 2/100 loss=1.3430 tokens=511 step_time=1.359s
step 3/100 loss=1.3391 tokens=511 step_time=1.368s
step 4/100 loss=2.9572 tokens=340 step_time=0.988s
step 5/100 loss=1.5040 tokens=511 step_time=1.378s
step 6/100 loss=1.4797 tokens=511 step_time=1.375s
step 7/100 loss=1.4324 tokens=511 step_time=1.377s
step 8/100 loss=1.5877 tokens=511 step_time=1.363s
step 9/100 loss=1.6467 tokens=511 step_time=1.374s
step 10/100 loss=1.3922 tokens=511 step_time=1.384s
step 11/100 loss=1.2920 tokens=511 step_time=1.377s
step 12/100 loss=2.6047 tokens=511 step_time=1.376s
step 13/100 loss=3.3287 tokens=511 step_time=1.372s
step 14/100 loss=1.4077 tokens=511 step_time=1.371s
step 15/100 loss=1.5036 tokens=511 step_time=1.369s
step 16/100 loss=1.1288 tokens=511 step_time=1.379s
step 17/100 loss=0.9770 tokens=511 step_time=1.370s
step 18/100 loss=1.3691 tokens=511 step_time=1.373s
step 19/100 loss=1.6077 tokens=511 step_time=1.383s
step 20/100 loss=1.8940 tokens=282 step_time=0.834s
step 21/100 loss=1.4445 tokens=511 step_time=1.385s
step 22/100 loss=0.7658 tokens=511 step_time=1.388s
step 23/100 loss=2.9199 tokens=511 step_time=1.388s
step 24/100 loss=0.8835 tokens=511 step_time=1.374s
step 25/100 loss=1.7878 tokens=511 step_time=1.382s
step 26/100 loss=1.1498 tokens=440 step_time=1.266s
step 27/100 loss=0.6358 tokens=511 step_time=1.395s
step 28/100 loss=1.5701 tokens=511 step_time=1.397s
step 29/100 loss=1.1642 tokens=511 step_time=1.392s
step 30/100 loss=1.3663 tokens=511 step_time=1.402s
step 31/100 loss=1.2478 tokens=511 step_time=1.405s
step 32/100 loss=1.0979 tokens=511 step_time=1.393s
step 33/100 loss=2.6197 tokens=511 step_time=1.395s
step 34/100 loss=1.9129 tokens=511 step_time=1.392s
step 35/100 loss=1.6162 tokens=511 step_time=1.385s
step 36/100 loss=0.6967 tokens=511 step_time=1.389s
step 37/100 loss=1.5796 tokens=198 step_time=0.673s
step 38/100 loss=1.4876 tokens=511 step_time=1.389s
step 39/100 loss=1.0569 tokens=511 step_time=1.388s
step 40/100 loss=2.0782 tokens=474 step_time=1.436s
