[val] step 0 loss=2.3096
step 1/100 loss=1.9446 tokens=511 step_time=1.578s
step 2/100 loss=2.6896 tokens=511 step_time=1.075s
step 3/100 loss=3.3117 tokens=511 step_time=1.076s
step 4/100 loss=4.5567 tokens=340 step_time=0.861s
step 5/100 loss=4.8752 tokens=511 step_time=1.065s
step 6/100 loss=3.9646 tokens=511 step_time=1.071s
step 7/100 loss=3.8357 tokens=511 step_time=1.080s
step 8/100 loss=4.1943 tokens=511 step_time=1.090s
step 9/100 loss=6.0928 tokens=511 step_time=1.066s
step 10/100 loss=4.9444 tokens=511 step_time=1.081s
step 11/100 loss=4.0986 tokens=511 step_time=1.072s
step 12/100 loss=6.0851 tokens=511 step_time=1.074s
step 13/100 loss=6.3544 tokens=511 step_time=1.079s
step 14/100 loss=5.5053 tokens=511 step_time=1.069s
step 15/100 loss=5.4955 tokens=511 step_time=1.071s
step 16/100 loss=5.8965 tokens=511 step_time=1.069s
step 17/100 loss=4.8019 tokens=511 step_time=1.079s
step 18/100 loss=4.9310 tokens=511 step_time=1.084s
step 19/100 loss=5.4466 tokens=511 step_time=1.070s
step 20/100 loss=5.2421 tokens=282 step_time=0.770s
step 21/100 loss=5.4982 tokens=511 step_time=1.082s
step 22/100 loss=4.1331 tokens=511 step_time=1.086s
step 23/100 loss=6.2298 tokens=511 step_time=1.065s
step 24/100 loss=5.8812 tokens=511 step_time=1.076s
step 25/100 loss=5.3585 tokens=511 step_time=1.085s
step 26/100 loss=4.8741 tokens=440 step_time=1.004s
step 27/100 loss=5.1564 tokens=511 step_time=1.073s
step 28/100 loss=5.8161 tokens=511 step_time=1.068s
step 29/100 loss=5.2781 tokens=511 step_time=1.079s
step 30/100 loss=5.0498 tokens=511 step_time=1.068s
step 31/100 loss=4.8610 tokens=511 step_time=1.068s
step 32/100 loss=5.0674 tokens=511 step_time=1.065s
step 33/100 loss=5.8830 tokens=511 step_time=1.068s
step 34/100 loss=5.3246 tokens=511 step_time=1.065s
step 35/100 loss=4.8726 tokens=511 step_time=1.070s
step 36/100 loss=5.5913 tokens=511 step_time=1.096s
step 37/100 loss=5.3652 tokens=198 step_time=0.720s
step 38/100 loss=5.1063 tokens=511 step_time=1.071s
step 39/100 loss=4.6150 tokens=511 step_time=1.066s
step 40/100 loss=6.0388 tokens=474 step_time=1.142s
step 41/100 loss=4.5204 tokens=511 step_time=1.098s
step 42/100 loss=4.4581 tokens=511 step_time=1.087s
step 43/100 loss=5.9985 tokens=511 step_time=1.068s
step 44/100 loss=4.4467 tokens=349 step_time=0.894s
step 45/100 loss=5.8591 tokens=511 step_time=1.094s
step 46/100 loss=4.9564 tokens=511 step_time=1.102s
step 47/100 loss=6.6750 tokens=511 step_time=1.098s
step 48/100 loss=5.0768 tokens=511 step_time=1.102s
step 49/100 loss=4.8393 tokens=511 step_time=1.115s
step 50/100 loss=6.4679 tokens=511 step_time=1.109s
[val] step 50 loss=5.0368
step 51/100 loss=4.6410 tokens=511 step_time=27.456s
step 52/100 loss=5.1397 tokens=511 step_time=1.114s
step 53/100 loss=4.4164 tokens=511 step_time=1.077s
step 54/100 loss=3.6088 tokens=511 step_time=1.083s
step 55/100 loss=6.7420 tokens=511 step_time=1.086s
step 56/100 loss=4.7787 tokens=511 step_time=1.077s
step 57/100 loss=5.5346 tokens=511 step_time=1.086s
step 58/100 loss=4.3022 tokens=511 step_time=1.088s
step 59/100 loss=4.6140 tokens=511 step_time=1.079s
step 60/100 loss=4.7057 tokens=511 step_time=1.084s
step 61/100 loss=4.8831 tokens=511 step_time=1.096s
step 62/100 loss=4.2910 tokens=511 step_time=1.074s
step 63/100 loss=4.5822 tokens=511 step_time=1.080s
step 64/100 loss=5.0407 tokens=511 step_time=1.079s
step 65/100 loss=4.2209 tokens=511 step_time=1.086s
step 66/100 loss=4.5562 tokens=511 step_time=1.073s
step 67/100 loss=4.7180 tokens=511 step_time=1.074s
step 68/100 loss=4.5534 tokens=511 step_time=1.088s
step 69/100 loss=4.5420 tokens=511 step_time=1.098s
step 70/100 loss=5.2747 tokens=304 step_time=0.857s
step 71/100 loss=4.5413 tokens=511 step_time=1.083s
step 72/100 loss=5.5397 tokens=511 step_time=1.090s
step 73/100 loss=4.8495 tokens=511 step_time=1.072s
step 74/100 loss=5.7320 tokens=511 step_time=1.082s
step 75/100 loss=4.5131 tokens=511 step_time=1.085s
step 76/100 loss=4.8646 tokens=511 step_time=1.081s
step 77/100 loss=5.2290 tokens=511 step_time=1.098s
step 78/100 loss=5.3042 tokens=511 step_time=1.070s
step 79/100 loss=4.4794 tokens=511 step_time=1.078s
step 80/100 loss=4.7123 tokens=511 step_time=1.092s
step 81/100 loss=3.6682 tokens=511 step_time=1.083s
step 82/100 loss=5.3595 tokens=511 step_time=1.078s
step 83/100 loss=4.3581 tokens=511 step_time=1.090s
step 84/100 loss=5.1596 tokens=511 step_time=1.085s
step 85/100 loss=4.7277 tokens=511 step_time=1.075s
step 86/100 loss=4.1425 tokens=511 step_time=1.092s
step 87/100 loss=6.1097 tokens=511 step_time=1.095s
step 88/100 loss=4.5507 tokens=511 step_time=1.075s
step 89/100 loss=4.5188 tokens=511 step_time=1.092s
step 90/100 loss=4.3335 tokens=511 step_time=1.125s
step 91/100 loss=3.8034 tokens=511 step_time=1.099s
step 92/100 loss=4.6569 tokens=511 step_time=1.094s
step 93/100 loss=6.3143 tokens=511 step_time=1.078s
step 94/100 loss=4.5638 tokens=511 step_time=1.091s
step 95/100 loss=4.9354 tokens=511 step_time=1.088s
step 96/100 loss=4.6051 tokens=511 step_time=1.077s
step 97/100 loss=4.8925 tokens=511 step_time=1.090s
step 98/100 loss=5.0063 tokens=511 step_time=1.089s
step 99/100 loss=5.6334 tokens=511 step_time=1.074s
step 100/100 loss=4.7905 tokens=511 step_time=1.071s
[val] step 100 loss=4.4968
[train] done: 100 steps, final_loss=4.7905, tokens=49910, trainable=596.050M/596.050M
