[val] step 0 loss=2.3096
step 1/100 loss=1.9446 tokens=511 step_time=1.758s
step 2/100 loss=2.6859 tokens=511 step_time=1.099s
step 3/100 loss=3.2814 tokens=511 step_time=1.080s
step 4/100 loss=4.5847 tokens=340 step_time=0.880s
step 5/100 loss=4.8859 tokens=511 step_time=1.080s
step 6/100 loss=3.8401 tokens=511 step_time=1.084s
step 7/100 loss=3.6164 tokens=511 step_time=1.091s
step 8/100 loss=4.1937 tokens=511 step_time=1.080s
step 9/100 loss=6.0957 tokens=511 step_time=1.070s
step 10/100 loss=5.4749 tokens=511 step_time=1.075s
step 11/100 loss=4.4845 tokens=511 step_time=1.079s
step 12/100 loss=5.8764 tokens=511 step_time=1.097s
step 13/100 loss=6.4595 tokens=511 step_time=1.078s
step 14/100 loss=5.4938 tokens=511 step_time=1.083s
step 15/100 loss=5.5188 tokens=511 step_time=1.084s
step 16/100 loss=6.0050 tokens=511 step_time=1.069s
step 17/100 loss=4.6335 tokens=511 step_time=1.071s
step 18/100 loss=5.1929 tokens=511 step_time=1.080s
step 19/100 loss=5.6784 tokens=511 step_time=1.069s
step 20/100 loss=5.2604 tokens=282 step_time=0.764s
step 21/100 loss=5.5296 tokens=511 step_time=1.077s
step 22/100 loss=4.4322 tokens=511 step_time=1.082s
step 23/100 loss=6.0809 tokens=511 step_time=1.081s
step 24/100 loss=10.4133 tokens=511 step_time=1.068s
step 25/100 loss=6.1780 tokens=511 step_time=1.069s
step 26/100 loss=5.3441 tokens=440 step_time=0.990s
step 27/100 loss=6.2519 tokens=511 step_time=1.077s
step 28/100 loss=6.2245 tokens=511 step_time=1.128s
step 29/100 loss=5.5989 tokens=511 step_time=1.075s
step 30/100 loss=5.7901 tokens=511 step_time=1.080s
step 31/100 loss=5.2843 tokens=511 step_time=1.083s
step 32/100 loss=5.4814 tokens=511 step_time=1.086s
step 33/100 loss=6.2153 tokens=511 step_time=1.102s
step 34/100 loss=5.5990 tokens=511 step_time=1.099s
step 35/100 loss=5.1587 tokens=511 step_time=1.071s
step 36/100 loss=5.9077 tokens=511 step_time=1.086s
step 37/100 loss=4.9129 tokens=198 step_time=0.723s
step 38/100 loss=5.3636 tokens=511 step_time=1.122s
step 39/100 loss=5.0072 tokens=511 step_time=1.100s
step 40/100 loss=6.1455 tokens=474 step_time=1.104s
step 41/100 loss=5.3362 tokens=511 step_time=1.088s
step 42/100 loss=4.5712 tokens=511 step_time=1.091s
step 43/100 loss=6.0447 tokens=511 step_time=1.085s
step 44/100 loss=4.5972 tokens=349 step_time=0.880s
step 45/100 loss=6.1045 tokens=511 step_time=1.078s
step 46/100 loss=5.2719 tokens=511 step_time=1.115s
step 47/100 loss=6.7401 tokens=511 step_time=1.077s
step 48/100 loss=5.2468 tokens=511 step_time=1.084s
step 49/100 loss=5.0485 tokens=511 step_time=1.079s
step 50/100 loss=6.5536 tokens=511 step_time=1.077s
[val] step 50 loss=5.1756
step 51/100 loss=4.9164 tokens=511 step_time=3.254s
step 52/100 loss=5.1017 tokens=511 step_time=1.076s
step 53/100 loss=4.9933 tokens=511 step_time=1.073s
step 54/100 loss=3.9121 tokens=511 step_time=1.088s
step 55/100 loss=7.0141 tokens=511 step_time=1.074s
step 56/100 loss=4.7738 tokens=511 step_time=1.071s
step 57/100 loss=5.3235 tokens=511 step_time=1.079s
step 58/100 loss=4.5012 tokens=511 step_time=1.080s
step 59/100 loss=4.6170 tokens=511 step_time=1.071s
step 60/100 loss=4.5343 tokens=511 step_time=1.074s
step 61/100 loss=5.1645 tokens=511 step_time=1.072s
step 62/100 loss=4.3104 tokens=511 step_time=1.084s
step 63/100 loss=4.9113 tokens=511 step_time=1.067s
step 64/100 loss=5.1164 tokens=511 step_time=1.069s
step 65/100 loss=4.4095 tokens=511 step_time=1.070s
step 66/100 loss=4.3612 tokens=511 step_time=1.087s
step 67/100 loss=4.6196 tokens=511 step_time=1.075s
step 68/100 loss=5.0196 tokens=511 step_time=1.077s
step 69/100 loss=4.1996 tokens=511 step_time=1.105s
step 70/100 loss=5.6663 tokens=304 step_time=0.844s
step 71/100 loss=4.9331 tokens=511 step_time=1.078s
step 72/100 loss=5.5722 tokens=511 step_time=1.083s
step 73/100 loss=5.2062 tokens=511 step_time=1.078s
step 74/100 loss=5.7244 tokens=511 step_time=1.072s
step 75/100 loss=4.5609 tokens=511 step_time=1.078s
step 76/100 loss=4.9531 tokens=511 step_time=1.082s
step 77/100 loss=5.1729 tokens=511 step_time=1.110s
step 78/100 loss=5.3769 tokens=511 step_time=1.108s
step 79/100 loss=4.4820 tokens=511 step_time=1.077s
step 80/100 loss=4.7803 tokens=511 step_time=1.104s
step 81/100 loss=3.7231 tokens=511 step_time=1.086s
step 82/100 loss=5.2908 tokens=511 step_time=1.075s
step 83/100 loss=4.0383 tokens=511 step_time=1.100s
step 84/100 loss=4.9234 tokens=511 step_time=1.090s
step 85/100 loss=4.6604 tokens=511 step_time=1.089s
step 86/100 loss=4.1180 tokens=511 step_time=1.076s
step 87/100 loss=5.8220 tokens=511 step_time=1.072s
step 88/100 loss=4.6775 tokens=511 step_time=1.083s
step 89/100 loss=4.2781 tokens=511 step_time=1.081s
step 90/100 loss=4.2934 tokens=511 step_time=1.070s
step 91/100 loss=3.7347 tokens=511 step_time=1.089s
step 92/100 loss=4.4986 tokens=511 step_time=1.104s
step 93/100 loss=5.5595 tokens=511 step_time=1.068s
step 94/100 loss=4.4747 tokens=511 step_time=1.080s
step 95/100 loss=4.6616 tokens=511 step_time=1.081s
step 96/100 loss=4.7834 tokens=511 step_time=1.069s
step 97/100 loss=4.4630 tokens=511 step_time=1.071s
step 98/100 loss=4.9159 tokens=511 step_time=1.090s
step 99/100 loss=5.5418 tokens=511 step_time=1.078s
step 100/100 loss=4.7888 tokens=511 step_time=1.076s
[val] step 100 loss=4.2736
[train] done: 100 steps, final_loss=4.7888, tokens=49910, trainable=596.050M/596.050M
