[val] step 0 loss=2.3096
step 1/100 loss=1.9446 tokens=511 step_time=1.758s
step 2/100 loss=2.6882 tokens=511 step_time=1.126s
step 3/100 loss=3.3740 tokens=511 step_time=1.082s
step 4/100 loss=4.5923 tokens=340 step_time=0.876s
step 5/100 loss=4.7843 tokens=511 step_time=1.100s
step 6/100 loss=3.9669 tokens=511 step_time=1.094s
step 7/100 loss=3.9579 tokens=511 step_time=1.089s
step 8/100 loss=4.7785 tokens=511 step_time=1.070s
step 9/100 loss=7.2535 tokens=511 step_time=1.076s
step 10/100 loss=5.1184 tokens=511 step_time=1.065s
step 11/100 loss=4.3043 tokens=511 step_time=1.074s
step 12/100 loss=5.8045 tokens=511 step_time=1.083s
step 13/100 loss=6.8941 tokens=511 step_time=1.107s
step 14/100 loss=5.5389 tokens=511 step_time=1.079s
step 15/100 loss=5.7759 tokens=511 step_time=1.086s
step 16/100 loss=6.2074 tokens=511 step_time=1.075s
step 17/100 loss=4.8628 tokens=511 step_time=1.079s
step 18/100 loss=5.2941 tokens=511 step_time=1.076s
step 19/100 loss=5.9443 tokens=511 step_time=1.074s
step 20/100 loss=5.6189 tokens=282 step_time=0.784s
step 21/100 loss=5.9380 tokens=511 step_time=1.099s
step 22/100 loss=5.0258 tokens=511 step_time=1.070s
step 23/100 loss=6.3001 tokens=511 step_time=1.075s
step 24/100 loss=9.2278 tokens=511 step_time=1.072s
step 25/100 loss=6.5280 tokens=511 step_time=1.087s
step 26/100 loss=5.7024 tokens=440 step_time=1.016s
step 27/100 loss=6.8814 tokens=511 step_time=1.100s
step 28/100 loss=6.9377 tokens=511 step_time=1.090s
step 29/100 loss=5.8574 tokens=511 step_time=1.073s
step 30/100 loss=6.0640 tokens=511 step_time=1.077s
step 31/100 loss=5.6068 tokens=511 step_time=1.076s
step 32/100 loss=5.9842 tokens=511 step_time=1.090s
step 33/100 loss=6.7293 tokens=511 step_time=1.076s
step 34/100 loss=6.3060 tokens=511 step_time=1.077s
step 35/100 loss=5.1753 tokens=511 step_time=1.087s
step 36/100 loss=5.9093 tokens=511 step_time=1.102s
step 37/100 loss=5.4964 tokens=198 step_time=0.694s
step 38/100 loss=5.3954 tokens=511 step_time=1.074s
step 39/100 loss=5.0940 tokens=511 step_time=1.082s
step 40/100 loss=6.1273 tokens=474 step_time=1.169s
step 41/100 loss=5.4674 tokens=511 step_time=1.106s
step 42/100 loss=4.7183 tokens=511 step_time=1.067s
