[val] step 0 loss=2.3096
step 1/100 loss=1.9446 tokens=511 step_time=0.616s
step 2/100 loss=1.4929 tokens=511 step_time=0.610s
step 3/100 loss=1.2069 tokens=511 step_time=0.613s
step 4/100 loss=2.6078 tokens=340 step_time=0.428s
step 5/100 loss=1.6396 tokens=511 step_time=0.614s
step 6/100 loss=1.6253 tokens=511 step_time=0.619s
step 7/100 loss=1.6196 tokens=511 step_time=0.613s
step 8/100 loss=1.6957 tokens=511 step_time=0.611s
step 9/100 loss=1.9747 tokens=511 step_time=0.606s
step 10/100 loss=1.6450 tokens=511 step_time=0.616s
step 11/100 loss=1.4092 tokens=511 step_time=0.614s
step 12/100 loss=2.8922 tokens=511 step_time=0.624s
step 13/100 loss=3.5975 tokens=511 step_time=0.614s
step 14/100 loss=1.6605 tokens=511 step_time=0.617s
step 15/100 loss=1.7774 tokens=511 step_time=0.612s
step 16/100 loss=1.4660 tokens=511 step_time=0.614s
step 17/100 loss=1.1472 tokens=511 step_time=0.612s
step 18/100 loss=1.6288 tokens=511 step_time=0.616s
step 19/100 loss=2.0123 tokens=511 step_time=0.621s
step 20/100 loss=2.2417 tokens=282 step_time=0.361s
step 21/100 loss=1.7843 tokens=511 step_time=0.613s
step 22/100 loss=0.8595 tokens=511 step_time=0.619s
step 23/100 loss=3.1337 tokens=511 step_time=0.604s
step 24/100 loss=1.0861 tokens=511 step_time=0.614s
step 25/100 loss=2.2756 tokens=511 step_time=0.623s
step 26/100 loss=1.3787 tokens=440 step_time=0.727s
step 27/100 loss=0.7659 tokens=511 step_time=0.612s
step 28/100 loss=1.8556 tokens=511 step_time=0.608s
step 29/100 loss=1.4016 tokens=511 step_time=0.611s
step 30/100 loss=1.5118 tokens=511 step_time=0.615s
step 31/100 loss=1.5021 tokens=511 step_time=0.604s
step 32/100 loss=1.2801 tokens=511 step_time=0.607s
step 33/100 loss=2.9716 tokens=511 step_time=0.627s
step 34/100 loss=2.1250 tokens=511 step_time=0.620s
step 35/100 loss=1.9123 tokens=511 step_time=0.619s
step 36/100 loss=0.8517 tokens=511 step_time=0.609s
step 37/100 loss=1.8661 tokens=198 step_time=0.397s
step 38/100 loss=1.8332 tokens=511 step_time=0.610s
step 39/100 loss=1.2501 tokens=511 step_time=0.612s
step 40/100 loss=2.3802 tokens=474 step_time=0.614s
step 41/100 loss=1.8728 tokens=511 step_time=0.608s
step 42/100 loss=1.3220 tokens=511 step_time=0.609s
step 43/100 loss=2.2186 tokens=511 step_time=0.604s
step 44/100 loss=1.8937 tokens=349 step_time=0.627s
step 45/100 loss=3.0747 tokens=511 step_time=0.625s
step 46/100 loss=1.5685 tokens=511 step_time=0.625s
step 47/100 loss=3.2224 tokens=511 step_time=0.634s
step 48/100 loss=1.3040 tokens=511 step_time=0.624s
step 49/100 loss=1.6621 tokens=511 step_time=0.612s
step 50/100 loss=1.2382 tokens=511 step_time=0.607s
[val] step 50 loss=1.8383
step 51/100 loss=1.1919 tokens=511 step_time=0.611s
step 52/100 loss=2.1861 tokens=511 step_time=0.609s
step 53/100 loss=0.6790 tokens=511 step_time=0.616s
step 54/100 loss=0.9658 tokens=511 step_time=0.624s
step 55/100 loss=3.3998 tokens=511 step_time=0.609s
step 56/100 loss=2.2953 tokens=511 step_time=0.623s
step 57/100 loss=1.4281 tokens=511 step_time=0.615s
step 58/100 loss=1.2315 tokens=511 step_time=0.613s
step 59/100 loss=1.6423 tokens=511 step_time=0.626s
step 60/100 loss=1.9078 tokens=511 step_time=0.619s
step 61/100 loss=1.8631 tokens=511 step_time=0.617s
