[val] step 0 loss=2.3096
step 1/100 loss=1.9446 tokens=511 step_time=1.712s
step 2/100 loss=2.6883 tokens=511 step_time=1.120s
step 3/100 loss=3.2605 tokens=511 step_time=1.100s
step 4/100 loss=4.5652 tokens=340 step_time=0.876s
step 5/100 loss=4.8413 tokens=511 step_time=1.084s
step 6/100 loss=3.5603 tokens=511 step_time=1.091s
step 7/100 loss=3.6672 tokens=511 step_time=1.072s
step 8/100 loss=4.0887 tokens=511 step_time=1.069s
step 9/100 loss=5.8165 tokens=511 step_time=1.066s
step 10/100 loss=4.6099 tokens=511 step_time=1.072s
step 11/100 loss=3.8989 tokens=511 step_time=1.105s
step 12/100 loss=6.1980 tokens=511 step_time=1.077s
step 13/100 loss=6.2480 tokens=511 step_time=1.078s
step 14/100 loss=6.0775 tokens=511 step_time=1.074s
step 15/100 loss=6.0221 tokens=511 step_time=1.087s
step 16/100 loss=6.0689 tokens=511 step_time=1.076s
step 17/100 loss=4.7702 tokens=511 step_time=1.067s
step 18/100 loss=5.1729 tokens=511 step_time=1.082s
step 19/100 loss=5.9524 tokens=511 step_time=1.073s
step 20/100 loss=5.3325 tokens=282 step_time=0.773s
step 21/100 loss=5.5560 tokens=511 step_time=1.070s
step 22/100 loss=4.6630 tokens=511 step_time=1.096s
step 23/100 loss=6.1632 tokens=511 step_time=1.067s
step 24/100 loss=7.2763 tokens=511 step_time=1.077s
step 25/100 loss=5.9709 tokens=511 step_time=1.074s
step 26/100 loss=5.0893 tokens=440 step_time=1.017s
step 27/100 loss=7.1415 tokens=511 step_time=1.096s
step 28/100 loss=6.2519 tokens=511 step_time=1.161s
step 29/100 loss=5.3887 tokens=511 step_time=1.078s
step 30/100 loss=5.6917 tokens=511 step_time=1.084s
step 31/100 loss=5.1854 tokens=511 step_time=1.066s
step 32/100 loss=5.2483 tokens=511 step_time=1.069s
step 33/100 loss=6.3443 tokens=511 step_time=1.068s
step 34/100 loss=5.4411 tokens=511 step_time=1.092s
step 35/100 loss=4.9922 tokens=511 step_time=1.068s
step 36/100 loss=5.3687 tokens=511 step_time=1.084s
step 37/100 loss=5.0866 tokens=198 step_time=0.700s
