[val] step 0 loss=2.3096
step 1/100 loss=1.9446 tokens=511 step_time=1.625s
step 2/100 loss=2.6896 tokens=511 step_time=1.071s
step 3/100 loss=3.2703 tokens=511 step_time=1.065s
step 4/100 loss=4.5863 tokens=340 step_time=0.862s
step 5/100 loss=4.8648 tokens=511 step_time=1.086s
step 6/100 loss=3.6717 tokens=511 step_time=1.076s
step 7/100 loss=3.5800 tokens=511 step_time=1.067s
step 8/100 loss=4.1394 tokens=511 step_time=1.070s
step 9/100 loss=6.0467 tokens=511 step_time=1.079s
step 10/100 loss=5.5563 tokens=511 step_time=1.100s
step 11/100 loss=4.5062 tokens=511 step_time=1.073s
step 12/100 loss=6.2329 tokens=511 step_time=1.075s
step 13/100 loss=6.7036 tokens=511 step_time=1.087s
step 14/100 loss=5.6435 tokens=511 step_time=1.073s
step 15/100 loss=5.7280 tokens=511 step_time=1.091s
step 16/100 loss=6.3371 tokens=511 step_time=1.087s
step 17/100 loss=5.0085 tokens=511 step_time=1.094s
step 18/100 loss=5.4522 tokens=511 step_time=1.084s
step 19/100 loss=5.7503 tokens=511 step_time=1.068s
step 20/100 loss=5.5014 tokens=282 step_time=0.776s
step 21/100 loss=5.7214 tokens=511 step_time=1.097s
step 22/100 loss=4.9246 tokens=511 step_time=1.089s
step 23/100 loss=6.2672 tokens=511 step_time=1.067s
step 24/100 loss=6.6637 tokens=511 step_time=1.073s
step 25/100 loss=6.3531 tokens=511 step_time=1.080s
step 26/100 loss=4.9535 tokens=440 step_time=1.000s
step 27/100 loss=6.7807 tokens=511 step_time=1.086s
step 28/100 loss=6.1239 tokens=511 step_time=1.085s
step 29/100 loss=5.4133 tokens=511 step_time=1.091s
step 30/100 loss=5.4453 tokens=511 step_time=1.075s
step 31/100 loss=5.0249 tokens=511 step_time=1.081s
step 32/100 loss=5.2491 tokens=511 step_time=1.077s
step 33/100 loss=6.1576 tokens=511 step_time=1.067s
step 34/100 loss=5.5043 tokens=511 step_time=1.066s
step 35/100 loss=4.8981 tokens=511 step_time=1.073s
step 36/100 loss=7.0341 tokens=511 step_time=1.070s
step 37/100 loss=9.2545 tokens=198 step_time=0.709s
step 38/100 loss=7.7364 tokens=511 step_time=1.079s
step 39/100 loss=11.8614 tokens=511 step_time=1.079s
step 40/100 loss=8.8932 tokens=474 step_time=1.114s
step 41/100 loss=8.5383 tokens=511 step_time=1.078s
step 42/100 loss=7.6757 tokens=511 step_time=1.066s
step 43/100 loss=8.4400 tokens=511 step_time=1.094s
step 44/100 loss=7.7876 tokens=349 step_time=0.879s
step 45/100 loss=8.1130 tokens=511 step_time=1.068s
step 46/100 loss=8.1087 tokens=511 step_time=1.065s
step 47/100 loss=8.4534 tokens=511 step_time=1.081s
step 48/100 loss=8.2156 tokens=511 step_time=1.089s
step 49/100 loss=7.9546 tokens=511 step_time=1.071s
step 50/100 loss=9.0692 tokens=511 step_time=1.099s
[val] step 50 loss=7.8927
step 51/100 loss=8.2545 tokens=511 step_time=4.744s
step 52/100 loss=7.6302 tokens=511 step_time=1.365s
step 53/100 loss=8.3513 tokens=511 step_time=1.161s
step 54/100 loss=15.5482 tokens=511 step_time=1.158s
step 55/100 loss=8.6524 tokens=511 step_time=1.156s
step 56/100 loss=7.5599 tokens=511 step_time=1.138s
step 57/100 loss=7.9138 tokens=511 step_time=1.139s
step 58/100 loss=7.8096 tokens=511 step_time=1.095s
step 59/100 loss=7.7668 tokens=511 step_time=1.073s
step 60/100 loss=7.5708 tokens=511 step_time=1.094s
step 61/100 loss=7.8766 tokens=511 step_time=1.070s
step 62/100 loss=7.4043 tokens=511 step_time=1.087s
step 63/100 loss=7.9795 tokens=511 step_time=1.086s
step 64/100 loss=8.0672 tokens=511 step_time=1.081s
step 65/100 loss=7.5867 tokens=511 step_time=1.082s
step 66/100 loss=7.7762 tokens=511 step_time=1.075s
step 67/100 loss=7.8432 tokens=511 step_time=1.072s
step 68/100 loss=7.8524 tokens=511 step_time=1.073s
step 69/100 loss=8.5825 tokens=511 step_time=1.075s
step 70/100 loss=8.2893 tokens=304 step_time=0.838s
step 71/100 loss=7.7040 tokens=511 step_time=1.081s
step 72/100 loss=7.6333 tokens=511 step_time=1.074s
step 73/100 loss=7.8965 tokens=511 step_time=1.083s
step 74/100 loss=7.9640 tokens=511 step_time=1.086s
step 75/100 loss=7.6542 tokens=511 step_time=1.085s
step 76/100 loss=7.6061 tokens=511 step_time=1.092s
step 77/100 loss=7.9961 tokens=511 step_time=1.095s
step 78/100 loss=7.9270 tokens=511 step_time=1.082s
step 79/100 loss=7.7297 tokens=511 step_time=1.075s
step 80/100 loss=7.7582 tokens=511 step_time=1.082s
step 81/100 loss=7.1955 tokens=511 step_time=1.088s
step 82/100 loss=7.4180 tokens=511 step_time=1.073s
step 83/100 loss=7.6653 tokens=511 step_time=1.078s
step 84/100 loss=7.3837 tokens=511 step_time=1.080s
step 85/100 loss=8.0082 tokens=511 step_time=1.087s
step 86/100 loss=7.7399 tokens=511 step_time=1.075s
step 87/100 loss=7.9266 tokens=511 step_time=1.084s
step 88/100 loss=7.6056 tokens=511 step_time=1.083s
step 89/100 loss=6.9818 tokens=511 step_time=1.073s
step 90/100 loss=7.4925 tokens=511 step_time=1.079s
step 91/100 loss=7.0776 tokens=511 step_time=1.085s
step 92/100 loss=7.1533 tokens=511 step_time=1.088s
step 93/100 loss=8.2828 tokens=511 step_time=1.075s
step 94/100 loss=7.6537 tokens=511 step_time=1.079s
step 95/100 loss=7.1836 tokens=511 step_time=1.087s
step 96/100 loss=7.1314 tokens=511 step_time=1.089s
step 97/100 loss=8.4202 tokens=511 step_time=1.116s
step 98/100 loss=7.8839 tokens=511 step_time=1.092s
step 99/100 loss=7.6291 tokens=511 step_time=1.092s
step 100/100 loss=7.4430 tokens=511 step_time=1.081s
[val] step 100 loss=7.2374
[train] done: 100 steps, final_loss=7.4430, tokens=49910, trainable=596.050M/596.050M
