[val] step 0 loss=2.3096
step 1/100 loss=1.9446 tokens=511 step_time=1.627s
step 2/100 loss=2.6867 tokens=511 step_time=1.071s
step 3/100 loss=3.2583 tokens=511 step_time=1.069s
step 4/100 loss=4.5524 tokens=340 step_time=0.875s
step 5/100 loss=4.9252 tokens=511 step_time=1.095s
step 6/100 loss=3.8449 tokens=511 step_time=1.080s
step 7/100 loss=4.2131 tokens=511 step_time=1.083s
step 8/100 loss=4.3073 tokens=511 step_time=1.063s
step 9/100 loss=5.7178 tokens=511 step_time=1.072s
step 10/100 loss=4.8057 tokens=511 step_time=1.072s
step 11/100 loss=4.6930 tokens=511 step_time=1.063s
step 12/100 loss=6.4229 tokens=511 step_time=1.078s
step 13/100 loss=6.3302 tokens=511 step_time=1.066s
step 14/100 loss=5.8995 tokens=511 step_time=1.092s
step 15/100 loss=5.6120 tokens=511 step_time=1.070s
step 16/100 loss=6.0353 tokens=511 step_time=1.104s
step 17/100 loss=4.6794 tokens=511 step_time=1.079s
step 18/100 loss=5.2395 tokens=511 step_time=1.066s
step 19/100 loss=5.7164 tokens=511 step_time=1.090s
step 20/100 loss=5.3757 tokens=282 step_time=0.780s
step 21/100 loss=5.5661 tokens=511 step_time=1.072s
step 22/100 loss=4.5214 tokens=511 step_time=1.074s
step 23/100 loss=6.2131 tokens=511 step_time=1.093s
step 24/100 loss=5.9335 tokens=511 step_time=1.073s
step 25/100 loss=5.5304 tokens=511 step_time=1.076s
step 26/100 loss=5.0471 tokens=440 step_time=1.002s
step 27/100 loss=5.5244 tokens=511 step_time=1.081s
step 28/100 loss=6.0739 tokens=511 step_time=1.069s
step 29/100 loss=5.0596 tokens=511 step_time=1.072s
step 30/100 loss=5.0058 tokens=511 step_time=1.088s
step 31/100 loss=4.7257 tokens=511 step_time=1.084s
step 32/100 loss=5.0881 tokens=511 step_time=1.100s
step 33/100 loss=6.0714 tokens=511 step_time=1.080s
step 34/100 loss=4.9890 tokens=511 step_time=1.075s
step 35/100 loss=4.8409 tokens=511 step_time=1.077s
step 36/100 loss=5.8123 tokens=511 step_time=1.068s
step 37/100 loss=4.8676 tokens=198 step_time=0.707s
step 38/100 loss=4.9369 tokens=511 step_time=1.073s
step 39/100 loss=4.7947 tokens=511 step_time=1.065s
step 40/100 loss=5.9962 tokens=474 step_time=1.082s
step 41/100 loss=4.7818 tokens=511 step_time=1.086s
step 42/100 loss=4.1907 tokens=511 step_time=1.082s
step 43/100 loss=5.7775 tokens=511 step_time=1.073s
step 44/100 loss=4.5785 tokens=349 step_time=0.969s
step 45/100 loss=5.7196 tokens=511 step_time=1.077s
step 46/100 loss=4.9478 tokens=511 step_time=1.098s
step 47/100 loss=6.6972 tokens=511 step_time=1.103s
step 48/100 loss=5.0292 tokens=511 step_time=1.069s
step 49/100 loss=4.7839 tokens=511 step_time=1.087s
step 50/100 loss=6.2003 tokens=511 step_time=1.084s
[val] step 50 loss=4.9376
step 51/100 loss=4.8904 tokens=511 step_time=3.211s
step 52/100 loss=4.9398 tokens=511 step_time=1.073s
step 53/100 loss=4.5122 tokens=511 step_time=1.077s
step 54/100 loss=3.5524 tokens=511 step_time=1.086s
step 55/100 loss=6.5699 tokens=511 step_time=1.081s
step 56/100 loss=4.7920 tokens=511 step_time=1.113s
step 57/100 loss=5.1824 tokens=511 step_time=1.084s
step 58/100 loss=4.5451 tokens=511 step_time=1.132s
step 59/100 loss=4.7434 tokens=511 step_time=1.083s
step 60/100 loss=4.5551 tokens=511 step_time=1.076s
step 61/100 loss=4.7136 tokens=511 step_time=1.073s
step 62/100 loss=4.2675 tokens=511 step_time=1.070s
step 63/100 loss=4.5689 tokens=511 step_time=1.081s
