[val] step 0 loss=2.2935
step 1/300 loss=1.9586 tokens=511 step_time=3.690s
step 2/300 loss=1.3817 tokens=511 step_time=3.659s
step 3/300 loss=1.4102 tokens=511 step_time=3.657s
step 4/300 loss=2.8458 tokens=340 step_time=2.644s
step 5/300 loss=1.4392 tokens=511 step_time=3.705s
step 6/300 loss=1.4820 tokens=511 step_time=3.686s
step 7/300 loss=1.3974 tokens=511 step_time=3.663s
step 8/300 loss=1.6382 tokens=511 step_time=3.652s
step 9/300 loss=1.6159 tokens=511 step_time=3.658s
step 10/300 loss=1.2984 tokens=511 step_time=3.651s
step 11/300 loss=1.2781 tokens=511 step_time=3.665s
step 12/300 loss=2.4201 tokens=511 step_time=3.666s
step 13/300 loss=3.2589 tokens=511 step_time=3.666s
step 14/300 loss=1.3338 tokens=511 step_time=3.669s
step 15/300 loss=1.3784 tokens=511 step_time=3.669s
step 16/300 loss=1.0711 tokens=511 step_time=3.678s
step 17/300 loss=0.9485 tokens=511 step_time=3.684s
step 18/300 loss=1.2500 tokens=511 step_time=3.679s
step 19/300 loss=1.5091 tokens=511 step_time=3.665s
step 20/300 loss=1.8618 tokens=282 step_time=2.284s
step 21/300 loss=1.3300 tokens=511 step_time=3.845s
step 22/300 loss=0.7235 tokens=511 step_time=3.684s
step 23/300 loss=2.8880 tokens=511 step_time=3.690s
step 24/300 loss=0.7993 tokens=511 step_time=3.691s
step 25/300 loss=1.7513 tokens=511 step_time=3.712s
step 26/300 loss=1.1969 tokens=440 step_time=3.448s
step 27/300 loss=0.6176 tokens=511 step_time=3.726s
step 28/300 loss=1.4507 tokens=511 step_time=3.684s
step 29/300 loss=1.1630 tokens=511 step_time=3.691s
step 30/300 loss=1.2710 tokens=511 step_time=3.672s
step 31/300 loss=1.1822 tokens=511 step_time=3.672s
step 32/300 loss=1.0320 tokens=511 step_time=3.656s
step 33/300 loss=2.5007 tokens=511 step_time=3.660s
step 34/300 loss=1.7977 tokens=511 step_time=3.685s
step 35/300 loss=1.4985 tokens=511 step_time=3.673s
step 36/300 loss=0.6883 tokens=511 step_time=3.678s
step 37/300 loss=1.4483 tokens=198 step_time=1.649s
step 38/300 loss=1.4197 tokens=511 step_time=3.854s
step 39/300 loss=1.0092 tokens=511 step_time=3.681s
step 40/300 loss=1.9960 tokens=474 step_time=3.518s
step 41/300 loss=1.6963 tokens=511 step_time=3.746s
step 42/300 loss=1.1580 tokens=511 step_time=3.695s
step 43/300 loss=1.7243 tokens=511 step_time=3.708s
step 44/300 loss=1.4516 tokens=349 step_time=2.618s
step 45/300 loss=2.6164 tokens=511 step_time=3.691s
step 46/300 loss=1.1419 tokens=511 step_time=3.667s
step 47/300 loss=2.6466 tokens=511 step_time=3.658s
step 48/300 loss=0.9548 tokens=511 step_time=3.666s
step 49/300 loss=1.2222 tokens=511 step_time=3.659s
step 50/300 loss=0.9444 tokens=511 step_time=3.669s
[val] step 50 loss=1.5089
step 51/300 loss=0.9431 tokens=511 step_time=3.709s
step 52/300 loss=1.9584 tokens=511 step_time=3.702s
step 53/300 loss=0.5926 tokens=511 step_time=3.731s
step 54/300 loss=0.7794 tokens=511 step_time=3.683s
step 55/300 loss=2.8540 tokens=511 step_time=3.684s
step 56/300 loss=1.9043 tokens=511 step_time=3.722s
step 57/300 loss=1.0862 tokens=511 step_time=3.689s
step 58/300 loss=1.0361 tokens=511 step_time=3.680s
step 59/300 loss=1.3852 tokens=511 step_time=3.669s
step 60/300 loss=1.6329 tokens=511 step_time=3.653s
step 61/300 loss=1.6141 tokens=511 step_time=3.637s
step 62/300 loss=1.6096 tokens=511 step_time=3.605s
step 63/300 loss=1.1852 tokens=511 step_time=3.605s
step 64/300 loss=1.7101 tokens=511 step_time=3.586s
step 65/300 loss=1.1188 tokens=511 step_time=3.676s
step 66/300 loss=1.2442 tokens=511 step_time=3.647s
step 67/300 loss=1.0324 tokens=511 step_time=3.665s
step 68/300 loss=0.9503 tokens=511 step_time=3.644s
step 69/300 loss=0.5346 tokens=511 step_time=3.608s
step 70/300 loss=1.3717 tokens=304 step_time=2.648s
step 71/300 loss=1.4874 tokens=511 step_time=3.831s
step 72/300 loss=1.7188 tokens=511 step_time=3.700s
step 73/300 loss=1.7846 tokens=511 step_time=3.676s
step 74/300 loss=2.5216 tokens=511 step_time=3.595s
step 75/300 loss=1.2798 tokens=511 step_time=3.571s
step 76/300 loss=1.4480 tokens=511 step_time=3.578s
step 77/300 loss=2.3262 tokens=511 step_time=3.602s
step 78/300 loss=2.0495 tokens=511 step_time=3.568s
step 79/300 loss=1.0913 tokens=511 step_time=3.572s
step 80/300 loss=2.0367 tokens=511 step_time=3.573s
step 81/300 loss=1.1026 tokens=511 step_time=3.578s
step 82/300 loss=2.5721 tokens=511 step_time=3.569s
step 83/300 loss=1.1434 tokens=511 step_time=3.541s
step 84/300 loss=1.6289 tokens=511 step_time=3.546s
step 85/300 loss=1.6123 tokens=511 step_time=3.544s
step 86/300 loss=0.9756 tokens=511 step_time=3.611s
step 87/300 loss=3.0864 tokens=511 step_time=3.593s
step 88/300 loss=0.7886 tokens=511 step_time=3.557s
step 89/300 loss=1.8919 tokens=511 step_time=3.568s
step 90/300 loss=1.5519 tokens=511 step_time=3.569s
step 91/300 loss=1.2069 tokens=511 step_time=3.620s
step 92/300 loss=1.5940 tokens=511 step_time=3.557s
step 93/300 loss=2.9785 tokens=511 step_time=3.555s
step 94/300 loss=1.2869 tokens=511 step_time=3.539s
step 95/300 loss=2.1264 tokens=511 step_time=3.558s
step 96/300 loss=1.2147 tokens=511 step_time=3.554s
step 97/300 loss=0.5163 tokens=511 step_time=3.558s
step 98/300 loss=1.4189 tokens=511 step_time=3.544s
step 99/300 loss=2.4090 tokens=511 step_time=3.541s
step 100/300 loss=2.1631 tokens=511 step_time=3.576s
[val] step 100 loss=1.4712
step 101/300 loss=1.3526 tokens=511 step_time=3.607s
step 102/300 loss=0.9005 tokens=511 step_time=3.582s
step 103/300 loss=0.9066 tokens=511 step_time=3.576s
step 104/300 loss=0.5990 tokens=511 step_time=3.549s
step 105/300 loss=0.9290 tokens=511 step_time=3.526s
step 106/300 loss=1.1883 tokens=511 step_time=3.553s
step 107/300 loss=2.9548 tokens=511 step_time=3.587s
step 108/300 loss=1.1727 tokens=511 step_time=3.551s
