[val] step 0 loss=2.2935
step 1/300 loss=1.9586 tokens=511 step_time=3.729s
step 2/300 loss=1.3829 tokens=511 step_time=3.688s
step 3/300 loss=1.4129 tokens=511 step_time=3.682s
step 4/300 loss=2.8489 tokens=340 step_time=2.668s
step 5/300 loss=1.4385 tokens=511 step_time=3.835s
step 6/300 loss=1.4835 tokens=511 step_time=3.696s
step 7/300 loss=1.3941 tokens=511 step_time=3.686s
step 8/300 loss=1.6403 tokens=511 step_time=3.667s
step 9/300 loss=1.6101 tokens=511 step_time=3.657s
step 10/300 loss=1.3032 tokens=511 step_time=3.657s
step 11/300 loss=1.2780 tokens=511 step_time=3.676s
step 12/300 loss=2.4260 tokens=511 step_time=3.784s
step 13/300 loss=3.2614 tokens=511 step_time=3.713s
step 14/300 loss=1.3311 tokens=511 step_time=3.711s
step 15/300 loss=1.3795 tokens=511 step_time=3.698s
step 16/300 loss=1.0676 tokens=511 step_time=3.841s
step 17/300 loss=0.9466 tokens=511 step_time=3.911s
step 18/300 loss=1.2543 tokens=511 step_time=3.754s
step 19/300 loss=1.5123 tokens=511 step_time=3.700s
step 20/300 loss=1.8643 tokens=282 step_time=2.202s
step 21/300 loss=1.3347 tokens=511 step_time=3.863s
step 22/300 loss=0.7235 tokens=511 step_time=3.746s
