[val] step 0 loss=2.3096
step 1/100 loss=1.9446 tokens=511 step_time=1.785s
step 2/100 loss=2.6850 tokens=511 step_time=1.060s
step 3/100 loss=3.2811 tokens=511 step_time=1.093s
step 4/100 loss=4.5711 tokens=340 step_time=0.909s
step 5/100 loss=4.8569 tokens=511 step_time=1.085s
step 6/100 loss=3.7052 tokens=511 step_time=1.081s
step 7/100 loss=3.5703 tokens=511 step_time=1.089s
step 8/100 loss=4.0200 tokens=511 step_time=1.090s
step 9/100 loss=6.0226 tokens=511 step_time=1.076s
step 10/100 loss=4.9058 tokens=511 step_time=1.087s
step 11/100 loss=4.1115 tokens=511 step_time=1.069s
step 12/100 loss=5.8893 tokens=511 step_time=1.069s
step 13/100 loss=6.6922 tokens=511 step_time=1.063s
step 14/100 loss=5.4621 tokens=511 step_time=1.078s
step 15/100 loss=5.6169 tokens=511 step_time=1.076s
step 16/100 loss=5.9611 tokens=511 step_time=1.068s
step 17/100 loss=4.6028 tokens=511 step_time=1.080s
step 18/100 loss=5.3123 tokens=511 step_time=1.086s
step 19/100 loss=5.6711 tokens=511 step_time=1.077s
step 20/100 loss=5.4257 tokens=282 step_time=0.773s
step 21/100 loss=5.6414 tokens=511 step_time=1.105s
step 22/100 loss=5.1159 tokens=511 step_time=1.086s
step 23/100 loss=6.1575 tokens=511 step_time=1.087s
step 24/100 loss=6.8296 tokens=511 step_time=1.065s
step 25/100 loss=6.5095 tokens=511 step_time=1.079s
step 26/100 loss=5.4443 tokens=440 step_time=0.998s
step 27/100 loss=6.5803 tokens=511 step_time=1.089s
step 28/100 loss=6.1628 tokens=511 step_time=1.101s
step 29/100 loss=5.6222 tokens=511 step_time=1.097s
step 30/100 loss=5.4879 tokens=511 step_time=1.076s
step 31/100 loss=5.2790 tokens=511 step_time=1.070s
step 32/100 loss=5.3679 tokens=511 step_time=1.071s
step 33/100 loss=6.2976 tokens=511 step_time=1.080s
step 34/100 loss=5.7055 tokens=511 step_time=1.073s
step 35/100 loss=5.0646 tokens=511 step_time=1.068s
step 36/100 loss=5.5952 tokens=511 step_time=1.082s
step 37/100 loss=4.9328 tokens=198 step_time=0.714s
step 38/100 loss=5.0260 tokens=511 step_time=1.086s
step 39/100 loss=4.6624 tokens=511 step_time=1.075s
step 40/100 loss=6.0812 tokens=474 step_time=1.120s
step 41/100 loss=4.6939 tokens=511 step_time=1.133s
step 42/100 loss=4.5738 tokens=511 step_time=1.083s
step 43/100 loss=5.6695 tokens=511 step_time=1.081s
step 44/100 loss=4.5277 tokens=349 step_time=0.894s
step 45/100 loss=5.6562 tokens=511 step_time=1.087s
step 46/100 loss=5.1826 tokens=511 step_time=1.072s
step 47/100 loss=6.7077 tokens=511 step_time=1.074s
step 48/100 loss=5.0328 tokens=511 step_time=1.079s
step 49/100 loss=4.9069 tokens=511 step_time=1.067s
step 50/100 loss=6.0232 tokens=511 step_time=1.066s
[val] step 50 loss=5.0670
step 51/100 loss=4.9190 tokens=511 step_time=2.729s
step 52/100 loss=5.2761 tokens=511 step_time=1.074s
step 53/100 loss=4.7052 tokens=511 step_time=1.081s
step 54/100 loss=3.8275 tokens=511 step_time=1.068s
step 55/100 loss=6.8627 tokens=511 step_time=1.069s
step 56/100 loss=4.8640 tokens=511 step_time=1.064s
step 57/100 loss=5.3311 tokens=511 step_time=1.087s
step 58/100 loss=4.6040 tokens=511 step_time=1.086s
step 59/100 loss=4.5160 tokens=511 step_time=1.069s
step 60/100 loss=4.3864 tokens=511 step_time=1.070s
step 61/100 loss=4.6348 tokens=511 step_time=1.077s
step 62/100 loss=4.2157 tokens=511 step_time=1.080s
step 63/100 loss=4.9835 tokens=511 step_time=1.072s
step 64/100 loss=4.8598 tokens=511 step_time=1.089s
step 65/100 loss=4.2396 tokens=511 step_time=1.082s
step 66/100 loss=4.3716 tokens=511 step_time=1.068s
step 67/100 loss=4.5811 tokens=511 step_time=1.070s
step 68/100 loss=5.0305 tokens=511 step_time=1.070s
step 69/100 loss=4.2906 tokens=511 step_time=1.074s
step 70/100 loss=5.6352 tokens=304 step_time=1.001s
step 71/100 loss=4.9607 tokens=511 step_time=1.087s
step 72/100 loss=5.3694 tokens=511 step_time=1.079s
step 73/100 loss=5.2552 tokens=511 step_time=1.093s
step 74/100 loss=5.6992 tokens=511 step_time=1.082s
step 75/100 loss=4.5799 tokens=511 step_time=1.070s
step 76/100 loss=5.0301 tokens=511 step_time=1.088s
step 77/100 loss=5.0920 tokens=511 step_time=1.101s
step 78/100 loss=5.3891 tokens=511 step_time=1.079s
step 79/100 loss=4.6100 tokens=511 step_time=1.082s
step 80/100 loss=5.0118 tokens=511 step_time=1.072s
step 81/100 loss=3.7297 tokens=511 step_time=1.066s
step 82/100 loss=5.3638 tokens=511 step_time=1.068s
step 83/100 loss=4.2980 tokens=511 step_time=1.086s
step 84/100 loss=5.0591 tokens=511 step_time=1.088s
step 85/100 loss=4.7604 tokens=511 step_time=1.074s
step 86/100 loss=4.1377 tokens=511 step_time=1.150s
step 87/100 loss=5.9533 tokens=511 step_time=1.154s
step 88/100 loss=4.3424 tokens=511 step_time=1.141s
step 89/100 loss=4.2847 tokens=511 step_time=1.126s
step 90/100 loss=4.2304 tokens=511 step_time=1.098s
step 91/100 loss=3.7163 tokens=511 step_time=1.100s
step 92/100 loss=4.6890 tokens=511 step_time=1.098s
step 93/100 loss=5.6634 tokens=511 step_time=1.106s
step 94/100 loss=4.4270 tokens=511 step_time=1.101s
step 95/100 loss=4.6461 tokens=511 step_time=1.098s
step 96/100 loss=4.6487 tokens=511 step_time=1.095s
step 97/100 loss=4.2539 tokens=511 step_time=1.096s
step 98/100 loss=4.6835 tokens=511 step_time=1.094s
step 99/100 loss=5.5563 tokens=511 step_time=1.113s
step 100/100 loss=4.8063 tokens=511 step_time=1.138s
[val] step 100 loss=4.2872
[train] done: 100 steps, final_loss=4.8063, tokens=49910, trainable=596.050M/596.050M
