[val] step 0 loss=2.3096
step 1/100 loss=1.9446 tokens=511 step_time=1.596s
step 2/100 loss=2.6888 tokens=511 step_time=1.140s
step 3/100 loss=3.2422 tokens=511 step_time=1.090s
step 4/100 loss=4.5723 tokens=340 step_time=0.894s
step 5/100 loss=4.8788 tokens=511 step_time=1.080s
step 6/100 loss=3.6985 tokens=511 step_time=1.083s
step 7/100 loss=3.6130 tokens=511 step_time=1.090s
step 8/100 loss=4.2494 tokens=511 step_time=1.076s
step 9/100 loss=6.0614 tokens=511 step_time=1.106s
step 10/100 loss=5.6026 tokens=511 step_time=1.084s
step 11/100 loss=4.5359 tokens=511 step_time=1.081s
step 12/100 loss=6.1800 tokens=511 step_time=1.087s
step 13/100 loss=6.3999 tokens=511 step_time=1.086s
step 14/100 loss=5.5933 tokens=511 step_time=1.102s
step 15/100 loss=5.6144 tokens=511 step_time=1.088s
step 16/100 loss=6.1801 tokens=511 step_time=1.087s
step 17/100 loss=4.7427 tokens=511 step_time=1.088s
step 18/100 loss=5.3941 tokens=511 step_time=1.102s
step 19/100 loss=5.8209 tokens=511 step_time=1.095s
step 20/100 loss=5.3390 tokens=282 step_time=0.791s
step 21/100 loss=5.7873 tokens=511 step_time=1.104s
step 22/100 loss=4.8201 tokens=511 step_time=1.089s
step 23/100 loss=6.5497 tokens=511 step_time=1.078s
step 24/100 loss=5.1102 tokens=511 step_time=1.082s
step 25/100 loss=5.5975 tokens=511 step_time=1.082s
step 26/100 loss=4.8748 tokens=440 step_time=1.023s
step 27/100 loss=6.0006 tokens=511 step_time=1.116s
step 28/100 loss=5.9968 tokens=511 step_time=1.091s
step 29/100 loss=5.0203 tokens=511 step_time=1.090s
step 30/100 loss=5.1513 tokens=511 step_time=1.087s
step 31/100 loss=5.1277 tokens=511 step_time=1.097s
step 32/100 loss=5.0683 tokens=511 step_time=1.093s
step 33/100 loss=6.1017 tokens=511 step_time=1.083s
step 34/100 loss=5.4203 tokens=511 step_time=1.086s
step 35/100 loss=4.7917 tokens=511 step_time=1.081s
step 36/100 loss=6.1323 tokens=511 step_time=1.074s
step 37/100 loss=4.8513 tokens=198 step_time=0.728s
step 38/100 loss=5.3824 tokens=511 step_time=1.110s
step 39/100 loss=5.0088 tokens=511 step_time=1.150s
step 40/100 loss=5.9610 tokens=474 step_time=1.145s
step 41/100 loss=4.8710 tokens=511 step_time=1.106s
step 42/100 loss=4.5486 tokens=511 step_time=1.087s
step 43/100 loss=6.1014 tokens=511 step_time=1.093s
step 44/100 loss=4.6153 tokens=349 step_time=0.922s
step 45/100 loss=5.7558 tokens=511 step_time=1.081s
step 46/100 loss=5.3728 tokens=511 step_time=1.125s
step 47/100 loss=6.7360 tokens=511 step_time=1.095s
step 48/100 loss=5.1560 tokens=511 step_time=1.081s
step 49/100 loss=4.9356 tokens=511 step_time=1.083s
step 50/100 loss=5.6128 tokens=511 step_time=1.088s
[val] step 50 loss=4.9704
step 51/100 loss=4.5734 tokens=511 step_time=3.612s
step 52/100 loss=5.2062 tokens=511 step_time=1.087s
step 53/100 loss=4.2816 tokens=511 step_time=1.085s
step 54/100 loss=3.7184 tokens=511 step_time=1.107s
step 55/100 loss=6.8249 tokens=511 step_time=1.088s
step 56/100 loss=4.9853 tokens=511 step_time=1.083s
step 57/100 loss=5.2907 tokens=511 step_time=1.081s
step 58/100 loss=4.3779 tokens=511 step_time=1.100s
step 59/100 loss=4.6542 tokens=511 step_time=1.105s
step 60/100 loss=4.6657 tokens=511 step_time=1.089s
step 61/100 loss=4.7670 tokens=511 step_time=1.079s
step 62/100 loss=4.3721 tokens=511 step_time=1.082s
step 63/100 loss=5.1923 tokens=511 step_time=1.077s
step 64/100 loss=5.8528 tokens=511 step_time=1.091s
