[val] step 0 loss=2.3096
step 1/100 loss=1.9446 tokens=511 step_time=1.688s
step 2/100 loss=2.6883 tokens=511 step_time=1.089s
step 3/100 loss=3.2744 tokens=511 step_time=1.079s
step 4/100 loss=4.5701 tokens=340 step_time=0.874s
step 5/100 loss=4.9074 tokens=511 step_time=1.074s
step 6/100 loss=3.8208 tokens=511 step_time=1.064s
step 7/100 loss=3.8425 tokens=511 step_time=1.083s
step 8/100 loss=6.6758 tokens=511 step_time=1.072s
step 9/100 loss=13.9264 tokens=511 step_time=1.060s
step 10/100 loss=11.6737 tokens=511 step_time=1.073s
step 11/100 loss=8.5061 tokens=511 step_time=1.083s
step 12/100 loss=8.9935 tokens=511 step_time=1.084s
step 13/100 loss=8.7203 tokens=511 step_time=1.082s
step 14/100 loss=8.7245 tokens=511 step_time=1.087s
step 15/100 loss=8.2293 tokens=511 step_time=1.083s
step 16/100 loss=8.8027 tokens=511 step_time=1.089s
step 17/100 loss=7.8752 tokens=511 step_time=1.068s
step 18/100 loss=7.5758 tokens=511 step_time=1.083s
step 19/100 loss=7.7718 tokens=511 step_time=1.078s
step 20/100 loss=8.0074 tokens=282 step_time=0.777s
step 21/100 loss=8.2347 tokens=511 step_time=1.069s
step 22/100 loss=9.2837 tokens=511 step_time=1.076s
step 23/100 loss=7.9542 tokens=511 step_time=1.081s
step 24/100 loss=8.8499 tokens=511 step_time=1.063s
step 25/100 loss=8.0567 tokens=511 step_time=1.074s
step 26/100 loss=7.7304 tokens=440 step_time=1.118s
step 27/100 loss=8.3560 tokens=511 step_time=1.114s
step 28/100 loss=8.0003 tokens=511 step_time=1.071s
step 29/100 loss=7.5843 tokens=511 step_time=1.096s
step 30/100 loss=7.7545 tokens=511 step_time=1.090s
step 31/100 loss=7.6094 tokens=511 step_time=1.066s
step 32/100 loss=8.2281 tokens=511 step_time=1.073s
step 33/100 loss=7.9106 tokens=511 step_time=1.084s
step 34/100 loss=8.3526 tokens=511 step_time=1.082s
step 35/100 loss=7.2857 tokens=511 step_time=1.069s
step 36/100 loss=7.6743 tokens=511 step_time=1.071s
step 37/100 loss=7.6866 tokens=198 step_time=0.712s
step 38/100 loss=7.7847 tokens=511 step_time=1.079s
step 39/100 loss=7.6747 tokens=511 step_time=1.070s
step 40/100 loss=7.8688 tokens=474 step_time=1.101s
step 41/100 loss=7.9276 tokens=511 step_time=1.085s
step 42/100 loss=7.1517 tokens=511 step_time=1.063s
step 43/100 loss=7.8120 tokens=511 step_time=1.099s
step 44/100 loss=7.5215 tokens=349 step_time=0.877s
step 45/100 loss=7.3996 tokens=511 step_time=1.078s
step 46/100 loss=7.7100 tokens=511 step_time=1.079s
step 47/100 loss=8.2433 tokens=511 step_time=1.075s
step 48/100 loss=7.4138 tokens=511 step_time=1.112s
step 49/100 loss=7.4188 tokens=511 step_time=1.102s
step 50/100 loss=8.4933 tokens=511 step_time=1.070s
[val] step 50 loss=7.4587
step 51/100 loss=7.7146 tokens=511 step_time=2.416s
step 52/100 loss=7.3612 tokens=511 step_time=1.118s
step 53/100 loss=7.9947 tokens=511 step_time=1.080s
step 54/100 loss=7.0495 tokens=511 step_time=1.104s
step 55/100 loss=8.3200 tokens=511 step_time=1.088s
step 56/100 loss=7.1371 tokens=511 step_time=1.086s
step 57/100 loss=7.3485 tokens=511 step_time=1.074s
step 58/100 loss=7.4777 tokens=511 step_time=1.084s
step 59/100 loss=7.3040 tokens=511 step_time=1.092s
step 60/100 loss=7.1936 tokens=511 step_time=1.091s
step 61/100 loss=7.3477 tokens=511 step_time=1.076s
step 62/100 loss=7.0647 tokens=511 step_time=1.075s
step 63/100 loss=7.4734 tokens=511 step_time=1.078s
step 64/100 loss=7.5237 tokens=511 step_time=1.076s
step 65/100 loss=7.2015 tokens=511 step_time=1.078s
step 66/100 loss=7.1406 tokens=511 step_time=1.087s
step 67/100 loss=7.2303 tokens=511 step_time=1.078s
step 68/100 loss=7.5055 tokens=511 step_time=1.074s
step 69/100 loss=8.0852 tokens=511 step_time=1.081s
step 70/100 loss=8.0331 tokens=304 step_time=0.848s
step 71/100 loss=6.9114 tokens=511 step_time=1.069s
step 72/100 loss=7.1981 tokens=511 step_time=1.071s
step 73/100 loss=7.2457 tokens=511 step_time=1.090s
step 74/100 loss=7.5025 tokens=511 step_time=1.087s
step 75/100 loss=7.2229 tokens=511 step_time=1.071s
step 76/100 loss=7.1085 tokens=511 step_time=1.071s
step 77/100 loss=7.6926 tokens=511 step_time=1.082s
step 78/100 loss=7.5170 tokens=511 step_time=1.068s
step 79/100 loss=7.4395 tokens=511 step_time=1.071s
step 80/100 loss=7.3956 tokens=511 step_time=1.069s
step 81/100 loss=8.9163 tokens=511 step_time=1.074s
step 82/100 loss=10.4773 tokens=511 step_time=1.081s
step 83/100 loss=9.4474 tokens=511 step_time=1.075s
step 84/100 loss=7.7899 tokens=511 step_time=1.086s
step 85/100 loss=8.5334 tokens=511 step_time=1.086s
step 86/100 loss=8.2812 tokens=511 step_time=1.073s
step 87/100 loss=8.2116 tokens=511 step_time=1.076s
step 88/100 loss=7.8646 tokens=511 step_time=1.090s
step 89/100 loss=7.3791 tokens=511 step_time=1.069s
step 90/100 loss=7.8419 tokens=511 step_time=1.073s
step 91/100 loss=7.3060 tokens=511 step_time=1.084s
step 92/100 loss=7.5604 tokens=511 step_time=1.079s
step 93/100 loss=8.5809 tokens=511 step_time=1.071s
step 94/100 loss=8.1028 tokens=511 step_time=1.078s
step 95/100 loss=7.5596 tokens=511 step_time=1.098s
step 96/100 loss=7.4533 tokens=511 step_time=1.082s
step 97/100 loss=8.3409 tokens=511 step_time=1.086s
step 98/100 loss=8.0585 tokens=511 step_time=1.069s
step 99/100 loss=7.8850 tokens=511 step_time=1.087s
step 100/100 loss=7.8047 tokens=511 step_time=1.088s
[val] step 100 loss=7.7007
[train] done: 100 steps, final_loss=7.8047, tokens=49910, trainable=596.050M/596.050M
