[val] step 0 loss=2.3096
step 1/100 loss=1.9446 tokens=511 step_time=1.412s
step 2/100 loss=2.6896 tokens=511 step_time=1.093s
step 3/100 loss=3.2951 tokens=511 step_time=1.069s
step 4/100 loss=4.5689 tokens=340 step_time=0.863s
step 5/100 loss=4.8719 tokens=511 step_time=1.081s
step 6/100 loss=3.7116 tokens=511 step_time=1.078s
step 7/100 loss=3.6053 tokens=511 step_time=1.093s
step 8/100 loss=4.1179 tokens=511 step_time=1.076s
step 9/100 loss=5.8833 tokens=511 step_time=1.092s
step 10/100 loss=5.1145 tokens=511 step_time=1.090s
step 11/100 loss=4.6893 tokens=511 step_time=1.082s
step 12/100 loss=6.1363 tokens=511 step_time=1.076s
step 13/100 loss=6.2298 tokens=511 step_time=1.071s
step 14/100 loss=5.8454 tokens=511 step_time=1.081s
step 15/100 loss=5.8249 tokens=511 step_time=1.066s
step 16/100 loss=6.0639 tokens=511 step_time=1.066s
step 17/100 loss=4.6536 tokens=511 step_time=1.081s
step 18/100 loss=5.3138 tokens=511 step_time=1.067s
step 19/100 loss=5.7590 tokens=511 step_time=1.075s
step 20/100 loss=5.3936 tokens=282 step_time=0.785s
step 21/100 loss=5.4952 tokens=511 step_time=1.073s
step 22/100 loss=4.5420 tokens=511 step_time=1.095s
step 23/100 loss=6.5419 tokens=511 step_time=1.071s
step 24/100 loss=5.7751 tokens=511 step_time=1.074s
step 25/100 loss=5.9605 tokens=511 step_time=1.087s
step 26/100 loss=5.0316 tokens=440 step_time=1.017s
step 27/100 loss=6.2005 tokens=511 step_time=1.068s
step 28/100 loss=5.9364 tokens=511 step_time=1.089s
step 29/100 loss=5.1619 tokens=511 step_time=1.081s
step 30/100 loss=5.2211 tokens=511 step_time=1.080s
step 31/100 loss=4.9594 tokens=511 step_time=1.072s
step 32/100 loss=5.0203 tokens=511 step_time=1.081s
step 33/100 loss=6.0462 tokens=511 step_time=1.074s
step 34/100 loss=5.2065 tokens=511 step_time=1.066s
step 35/100 loss=4.9366 tokens=511 step_time=1.069s
step 36/100 loss=5.2300 tokens=511 step_time=1.089s
step 37/100 loss=4.8942 tokens=198 step_time=0.720s
step 38/100 loss=5.0179 tokens=511 step_time=1.079s
step 39/100 loss=4.9095 tokens=511 step_time=1.082s
step 40/100 loss=5.6738 tokens=474 step_time=1.101s
step 41/100 loss=4.4585 tokens=511 step_time=1.067s
step 42/100 loss=4.2772 tokens=511 step_time=1.072s
step 43/100 loss=5.6748 tokens=511 step_time=1.088s
step 44/100 loss=4.4413 tokens=349 step_time=1.039s
step 45/100 loss=5.7843 tokens=511 step_time=1.080s
step 46/100 loss=4.9989 tokens=511 step_time=1.069s
step 47/100 loss=6.7207 tokens=511 step_time=1.080s
step 48/100 loss=5.0065 tokens=511 step_time=1.087s
step 49/100 loss=4.6442 tokens=511 step_time=1.077s
step 50/100 loss=5.5375 tokens=511 step_time=1.080s
[val] step 50 loss=4.8237
step 51/100 loss=4.4655 tokens=511 step_time=3.067s
step 52/100 loss=5.1910 tokens=511 step_time=1.079s
step 53/100 loss=4.0884 tokens=511 step_time=1.079s
step 54/100 loss=3.6571 tokens=511 step_time=1.072s
step 55/100 loss=6.5391 tokens=511 step_time=1.073s
step 56/100 loss=4.6183 tokens=511 step_time=1.079s
step 57/100 loss=5.5763 tokens=511 step_time=1.086s
step 58/100 loss=4.5407 tokens=511 step_time=1.071s
step 59/100 loss=4.6637 tokens=511 step_time=1.086s
step 60/100 loss=4.5367 tokens=511 step_time=1.083s
step 61/100 loss=5.0708 tokens=511 step_time=1.087s
step 62/100 loss=4.2995 tokens=511 step_time=1.074s
step 63/100 loss=4.6985 tokens=511 step_time=1.075s
step 64/100 loss=5.2224 tokens=511 step_time=1.083s
step 65/100 loss=4.2560 tokens=511 step_time=1.076s
step 66/100 loss=4.5382 tokens=511 step_time=1.073s
step 67/100 loss=4.4488 tokens=511 step_time=1.077s
step 68/100 loss=4.6404 tokens=511 step_time=1.075s
step 69/100 loss=4.1313 tokens=511 step_time=1.075s
step 70/100 loss=5.5453 tokens=304 step_time=0.828s
step 71/100 loss=4.7601 tokens=511 step_time=1.070s
step 72/100 loss=5.3845 tokens=511 step_time=1.090s
step 73/100 loss=5.0971 tokens=511 step_time=1.070s
step 74/100 loss=5.9576 tokens=511 step_time=1.079s
step 75/100 loss=4.6047 tokens=511 step_time=1.086s
step 76/100 loss=4.8038 tokens=511 step_time=1.097s
step 77/100 loss=5.2376 tokens=511 step_time=1.098s
step 78/100 loss=5.3669 tokens=511 step_time=1.086s
step 79/100 loss=4.4980 tokens=511 step_time=1.088s
step 80/100 loss=4.7433 tokens=511 step_time=1.077s
step 81/100 loss=3.6072 tokens=511 step_time=1.073s
step 82/100 loss=5.3120 tokens=511 step_time=1.068s
step 83/100 loss=4.1503 tokens=511 step_time=1.078s
step 84/100 loss=4.9362 tokens=511 step_time=1.073s
step 85/100 loss=4.7420 tokens=511 step_time=1.072s
step 86/100 loss=4.2421 tokens=511 step_time=1.082s
step 87/100 loss=6.0002 tokens=511 step_time=1.081s
step 88/100 loss=4.6768 tokens=511 step_time=1.071s
