[val] step 0 loss=2.3096
step 1/100 loss=1.9446 tokens=511 step_time=1.656s
step 2/100 loss=2.6855 tokens=511 step_time=1.103s
step 3/100 loss=3.2773 tokens=511 step_time=1.069s
step 4/100 loss=4.5667 tokens=340 step_time=0.875s
step 5/100 loss=4.8892 tokens=511 step_time=1.083s
step 6/100 loss=3.9549 tokens=511 step_time=1.073s
step 7/100 loss=4.0240 tokens=511 step_time=1.085s
step 8/100 loss=5.0269 tokens=511 step_time=1.089s
step 9/100 loss=7.0643 tokens=511 step_time=1.075s
step 10/100 loss=5.6754 tokens=511 step_time=1.068s
step 11/100 loss=4.5855 tokens=511 step_time=1.083s
step 12/100 loss=6.1844 tokens=511 step_time=1.085s
step 13/100 loss=6.5224 tokens=511 step_time=1.097s
step 14/100 loss=5.4993 tokens=511 step_time=1.108s
step 15/100 loss=5.6354 tokens=511 step_time=1.068s
step 16/100 loss=6.2282 tokens=511 step_time=1.082s
step 17/100 loss=4.8778 tokens=511 step_time=1.069s
step 18/100 loss=5.1437 tokens=511 step_time=1.073s
step 19/100 loss=5.7749 tokens=511 step_time=1.082s
step 20/100 loss=5.6196 tokens=282 step_time=0.791s
step 21/100 loss=5.7834 tokens=511 step_time=1.072s
step 22/100 loss=4.6149 tokens=511 step_time=1.092s
step 23/100 loss=6.1147 tokens=511 step_time=1.087s
step 24/100 loss=7.5036 tokens=511 step_time=1.075s
step 25/100 loss=5.9741 tokens=511 step_time=1.070s
step 26/100 loss=5.2795 tokens=440 step_time=1.001s
step 27/100 loss=6.7134 tokens=511 step_time=1.157s
step 28/100 loss=6.2036 tokens=511 step_time=1.095s
step 29/100 loss=5.6842 tokens=511 step_time=1.101s
step 30/100 loss=5.5092 tokens=511 step_time=1.076s
step 31/100 loss=5.0316 tokens=511 step_time=1.073s
step 32/100 loss=5.4431 tokens=511 step_time=1.069s
step 33/100 loss=6.1794 tokens=511 step_time=1.075s
step 34/100 loss=5.5488 tokens=511 step_time=1.080s
step 35/100 loss=5.0771 tokens=511 step_time=1.084s
step 36/100 loss=5.8058 tokens=511 step_time=1.065s
step 37/100 loss=5.0480 tokens=198 step_time=0.715s
step 38/100 loss=4.9754 tokens=511 step_time=1.151s
step 39/100 loss=4.6009 tokens=511 step_time=1.141s
step 40/100 loss=6.4075 tokens=474 step_time=1.161s
step 41/100 loss=5.2520 tokens=511 step_time=1.181s
step 42/100 loss=4.5570 tokens=511 step_time=1.130s
step 43/100 loss=5.9607 tokens=511 step_time=1.117s
step 44/100 loss=5.0436 tokens=349 step_time=0.940s
step 45/100 loss=5.9563 tokens=511 step_time=1.145s
step 46/100 loss=5.1835 tokens=511 step_time=1.161s
step 47/100 loss=6.6179 tokens=511 step_time=1.109s
step 48/100 loss=5.2186 tokens=511 step_time=1.078s
step 49/100 loss=4.8176 tokens=511 step_time=1.083s
step 50/100 loss=6.4185 tokens=511 step_time=1.074s
[val] step 50 loss=5.1317
step 51/100 loss=4.7648 tokens=511 step_time=6.427s
step 52/100 loss=5.1446 tokens=511 step_time=1.597s
step 53/100 loss=5.1330 tokens=511 step_time=1.082s
step 54/100 loss=3.6967 tokens=511 step_time=1.091s
step 55/100 loss=6.8111 tokens=511 step_time=1.096s
step 56/100 loss=4.9981 tokens=511 step_time=1.079s
step 57/100 loss=5.3164 tokens=511 step_time=1.074s
step 58/100 loss=4.3320 tokens=511 step_time=1.090s
step 59/100 loss=4.6828 tokens=511 step_time=1.074s
step 60/100 loss=4.5627 tokens=511 step_time=1.082s
step 61/100 loss=5.2110 tokens=511 step_time=1.087s
step 62/100 loss=4.0826 tokens=511 step_time=1.094s
step 63/100 loss=4.3849 tokens=511 step_time=1.077s
step 64/100 loss=4.9485 tokens=511 step_time=1.091s
step 65/100 loss=4.3434 tokens=511 step_time=1.079s
step 66/100 loss=4.2438 tokens=511 step_time=1.089s
step 67/100 loss=4.7222 tokens=511 step_time=1.078s
step 68/100 loss=5.0123 tokens=511 step_time=1.075s
step 69/100 loss=4.5504 tokens=511 step_time=1.082s
step 70/100 loss=5.5242 tokens=304 step_time=0.871s
step 71/100 loss=4.8977 tokens=511 step_time=1.076s
step 72/100 loss=5.5582 tokens=511 step_time=1.083s
step 73/100 loss=5.0906 tokens=511 step_time=1.088s
step 74/100 loss=5.9041 tokens=511 step_time=1.076s
step 75/100 loss=4.4694 tokens=511 step_time=1.084s
step 76/100 loss=4.9809 tokens=511 step_time=1.089s
step 77/100 loss=5.3456 tokens=511 step_time=1.085s
step 78/100 loss=5.4029 tokens=511 step_time=1.088s
step 79/100 loss=4.3785 tokens=511 step_time=1.085s
step 80/100 loss=4.8496 tokens=511 step_time=1.089s
step 81/100 loss=3.7986 tokens=511 step_time=1.088s
step 82/100 loss=5.2866 tokens=511 step_time=1.076s
step 83/100 loss=4.4643 tokens=511 step_time=1.072s
step 84/100 loss=5.1796 tokens=511 step_time=1.092s
step 85/100 loss=4.8071 tokens=511 step_time=1.081s
step 86/100 loss=4.4710 tokens=511 step_time=1.077s
step 87/100 loss=6.1405 tokens=511 step_time=1.084s
step 88/100 loss=4.3499 tokens=511 step_time=1.086s
step 89/100 loss=4.5122 tokens=511 step_time=1.076s
step 90/100 loss=4.5239 tokens=511 step_time=1.083s
step 91/100 loss=3.8615 tokens=511 step_time=1.075s
step 92/100 loss=4.7810 tokens=511 step_time=1.083s
step 93/100 loss=5.9062 tokens=511 step_time=1.080s
step 94/100 loss=4.5748 tokens=511 step_time=1.088s
step 95/100 loss=4.6812 tokens=511 step_time=1.093s
step 96/100 loss=4.6873 tokens=511 step_time=1.084s
step 97/100 loss=4.5956 tokens=511 step_time=1.081s
step 98/100 loss=4.9406 tokens=511 step_time=1.082s
step 99/100 loss=5.9256 tokens=511 step_time=1.087s
step 100/100 loss=4.8618 tokens=511 step_time=1.078s
[val] step 100 loss=4.5838
[train] done: 100 steps, final_loss=4.8618, tokens=49910, trainable=596.050M/596.050M
