[val] step 0 loss=2.3096
step 1/100 loss=1.9446 tokens=511 step_time=1.720s
step 2/100 loss=2.6897 tokens=511 step_time=1.087s
step 3/100 loss=3.2782 tokens=511 step_time=1.071s
step 4/100 loss=4.5571 tokens=340 step_time=0.865s
step 5/100 loss=4.8669 tokens=511 step_time=1.074s
step 6/100 loss=4.1045 tokens=511 step_time=1.074s
step 7/100 loss=4.2529 tokens=511 step_time=1.075s
step 8/100 loss=4.4219 tokens=511 step_time=1.079s
step 9/100 loss=6.9094 tokens=511 step_time=1.091s
step 10/100 loss=5.5027 tokens=511 step_time=1.074s
step 11/100 loss=4.1280 tokens=511 step_time=1.071s
step 12/100 loss=5.8860 tokens=511 step_time=1.086s
step 13/100 loss=7.6210 tokens=511 step_time=1.094s
step 14/100 loss=5.9539 tokens=511 step_time=1.076s
step 15/100 loss=5.9607 tokens=511 step_time=1.069s
step 16/100 loss=6.5272 tokens=511 step_time=1.085s
step 17/100 loss=5.2725 tokens=511 step_time=1.068s
step 18/100 loss=5.6766 tokens=511 step_time=1.072s
step 19/100 loss=6.0914 tokens=511 step_time=1.075s
step 20/100 loss=5.5255 tokens=282 step_time=0.775s
step 21/100 loss=5.8805 tokens=511 step_time=1.076s
step 22/100 loss=5.2614 tokens=511 step_time=1.073s
step 23/100 loss=9.9791 tokens=511 step_time=1.070s
step 24/100 loss=9.0110 tokens=511 step_time=1.097s
step 25/100 loss=8.3386 tokens=511 step_time=1.112s
step 26/100 loss=9.9624 tokens=440 step_time=1.003s
step 27/100 loss=8.3133 tokens=511 step_time=1.092s
step 28/100 loss=8.2120 tokens=511 step_time=1.086s
step 29/100 loss=7.8119 tokens=511 step_time=1.093s
step 30/100 loss=7.9902 tokens=511 step_time=1.086s
step 31/100 loss=7.6405 tokens=511 step_time=1.084s
step 32/100 loss=8.1494 tokens=511 step_time=1.087s
step 33/100 loss=7.9416 tokens=511 step_time=1.073s
step 34/100 loss=8.2781 tokens=511 step_time=1.069s
step 35/100 loss=7.0823 tokens=511 step_time=1.105s
step 36/100 loss=7.5867 tokens=511 step_time=1.085s
step 37/100 loss=7.1059 tokens=198 step_time=0.714s
step 38/100 loss=7.2795 tokens=511 step_time=1.075s
step 39/100 loss=7.0935 tokens=511 step_time=1.082s
step 40/100 loss=7.2998 tokens=474 step_time=1.172s
step 41/100 loss=9.1251 tokens=511 step_time=1.293s
step 42/100 loss=7.0415 tokens=511 step_time=1.101s
step 43/100 loss=7.8624 tokens=511 step_time=1.087s
step 44/100 loss=7.3318 tokens=349 step_time=0.887s
step 45/100 loss=7.1920 tokens=511 step_time=1.123s
step 46/100 loss=7.6395 tokens=511 step_time=1.093s
step 47/100 loss=8.2781 tokens=511 step_time=1.081s
step 48/100 loss=7.5792 tokens=511 step_time=1.081s
step 49/100 loss=7.2156 tokens=511 step_time=1.078s
step 50/100 loss=8.5561 tokens=511 step_time=1.088s
[val] step 50 loss=7.2809
step 51/100 loss=7.6292 tokens=511 step_time=18.685s
step 52/100 loss=7.1428 tokens=511 step_time=1.115s
step 53/100 loss=8.0811 tokens=511 step_time=1.084s
step 54/100 loss=6.7748 tokens=511 step_time=1.086s
step 55/100 loss=8.0450 tokens=511 step_time=1.099s
step 56/100 loss=6.7140 tokens=511 step_time=1.100s
step 57/100 loss=7.1412 tokens=511 step_time=1.085s
step 58/100 loss=7.1207 tokens=511 step_time=1.082s
step 59/100 loss=7.0853 tokens=511 step_time=1.089s
step 60/100 loss=6.7640 tokens=511 step_time=1.124s
step 61/100 loss=7.1115 tokens=511 step_time=1.085s
step 62/100 loss=6.6632 tokens=511 step_time=1.076s
step 63/100 loss=6.9673 tokens=511 step_time=1.090s
step 64/100 loss=7.2474 tokens=511 step_time=1.085s
step 65/100 loss=6.8451 tokens=511 step_time=1.076s
step 66/100 loss=6.7977 tokens=511 step_time=1.092s
step 67/100 loss=6.7587 tokens=511 step_time=1.087s
step 68/100 loss=7.0700 tokens=511 step_time=1.081s
step 69/100 loss=7.8149 tokens=511 step_time=1.079s
step 70/100 loss=7.4337 tokens=304 step_time=0.854s
step 71/100 loss=6.6151 tokens=511 step_time=1.095s
step 72/100 loss=6.9812 tokens=511 step_time=1.107s
step 73/100 loss=6.9436 tokens=511 step_time=1.086s
step 74/100 loss=7.1771 tokens=511 step_time=1.091s
step 75/100 loss=6.8075 tokens=511 step_time=1.076s
step 76/100 loss=6.7265 tokens=511 step_time=1.072s
step 77/100 loss=7.2096 tokens=511 step_time=1.091s
step 78/100 loss=7.1784 tokens=511 step_time=1.079s
step 79/100 loss=6.9857 tokens=511 step_time=1.124s
step 80/100 loss=7.0299 tokens=511 step_time=1.070s
step 81/100 loss=6.3506 tokens=511 step_time=1.091s
step 82/100 loss=6.6672 tokens=511 step_time=1.087s
step 83/100 loss=6.9742 tokens=511 step_time=1.077s
step 84/100 loss=6.6416 tokens=511 step_time=1.078s
step 85/100 loss=7.2497 tokens=511 step_time=1.088s
step 86/100 loss=6.9855 tokens=511 step_time=1.094s
step 87/100 loss=7.2316 tokens=511 step_time=1.073s
step 88/100 loss=6.8898 tokens=511 step_time=1.076s
step 89/100 loss=6.1399 tokens=511 step_time=1.088s
step 90/100 loss=6.6030 tokens=511 step_time=1.080s
step 91/100 loss=6.0041 tokens=511 step_time=1.073s
step 92/100 loss=6.4544 tokens=511 step_time=1.087s
step 93/100 loss=7.6089 tokens=511 step_time=1.114s
step 94/100 loss=6.6939 tokens=511 step_time=1.077s
step 95/100 loss=6.2909 tokens=511 step_time=1.084s
step 96/100 loss=6.4350 tokens=511 step_time=1.093s
step 97/100 loss=7.5614 tokens=511 step_time=1.089s
step 98/100 loss=7.0823 tokens=511 step_time=1.071s
step 99/100 loss=7.0443 tokens=511 step_time=1.071s
step 100/100 loss=6.5166 tokens=511 step_time=1.081s
[val] step 100 loss=6.4230
[train] done: 100 steps, final_loss=6.5166, tokens=49910, trainable=596.050M/596.050M
