[val] step 0 loss=2.3096
step 1/100 loss=1.9446 tokens=511 step_time=0.628s
step 2/100 loss=1.4901 tokens=511 step_time=0.613s
step 3/100 loss=1.2098 tokens=511 step_time=0.612s
step 4/100 loss=2.6074 tokens=340 step_time=0.429s
step 5/100 loss=1.6386 tokens=511 step_time=0.608s
step 6/100 loss=1.6326 tokens=511 step_time=0.620s
step 7/100 loss=1.6196 tokens=511 step_time=0.603s
step 8/100 loss=1.6978 tokens=511 step_time=0.615s
step 9/100 loss=1.9752 tokens=511 step_time=0.621s
step 10/100 loss=1.6425 tokens=511 step_time=0.603s
step 11/100 loss=1.4080 tokens=511 step_time=0.612s
step 12/100 loss=2.8944 tokens=511 step_time=0.601s
step 13/100 loss=3.5981 tokens=511 step_time=0.619s
step 14/100 loss=1.6793 tokens=511 step_time=0.618s
step 15/100 loss=1.7749 tokens=511 step_time=0.619s
step 16/100 loss=1.4720 tokens=511 step_time=0.606s
step 17/100 loss=1.1490 tokens=511 step_time=0.606s
step 18/100 loss=1.6274 tokens=511 step_time=0.609s
step 19/100 loss=2.0107 tokens=511 step_time=0.617s
step 20/100 loss=2.2246 tokens=282 step_time=0.347s
step 21/100 loss=1.7681 tokens=511 step_time=0.619s
step 22/100 loss=0.8653 tokens=511 step_time=0.619s
step 23/100 loss=3.1387 tokens=511 step_time=0.613s
step 24/100 loss=1.0827 tokens=511 step_time=0.609s
step 25/100 loss=2.2593 tokens=511 step_time=0.613s
step 26/100 loss=1.3638 tokens=440 step_time=1.131s
step 27/100 loss=0.7678 tokens=511 step_time=0.623s
step 28/100 loss=1.8526 tokens=511 step_time=0.609s
step 29/100 loss=1.3999 tokens=511 step_time=0.607s
step 30/100 loss=1.5141 tokens=511 step_time=0.608s
step 31/100 loss=1.5047 tokens=511 step_time=0.606s
step 32/100 loss=1.2867 tokens=511 step_time=0.613s
step 33/100 loss=2.9796 tokens=511 step_time=0.621s
step 34/100 loss=2.1264 tokens=511 step_time=0.622s
step 35/100 loss=1.9156 tokens=511 step_time=0.608s
step 36/100 loss=0.8463 tokens=511 step_time=0.602s
step 37/100 loss=1.8541 tokens=198 step_time=0.414s
step 38/100 loss=1.8212 tokens=511 step_time=0.610s
step 39/100 loss=1.2397 tokens=511 step_time=0.617s
step 40/100 loss=2.3689 tokens=474 step_time=0.612s
step 41/100 loss=1.8627 tokens=511 step_time=0.626s
step 42/100 loss=1.3133 tokens=511 step_time=0.616s
step 43/100 loss=2.1945 tokens=511 step_time=0.625s
step 44/100 loss=1.8870 tokens=349 step_time=0.497s
step 45/100 loss=3.0750 tokens=511 step_time=0.609s
step 46/100 loss=1.5604 tokens=511 step_time=0.627s
step 47/100 loss=3.2344 tokens=511 step_time=0.619s
step 48/100 loss=1.2914 tokens=511 step_time=0.609s
step 49/100 loss=1.6578 tokens=511 step_time=0.611s
