[val] step 0 loss=2.3893
step 1/100 loss=2.0131 tokens=511 step_time=1.349s
step 2/100 loss=1.3427 tokens=511 step_time=1.326s
step 3/100 loss=1.3475 tokens=511 step_time=1.327s
step 4/100 loss=2.9667 tokens=340 step_time=0.972s
step 5/100 loss=1.5078 tokens=511 step_time=1.334s
step 6/100 loss=1.4858 tokens=511 step_time=1.329s
step 7/100 loss=1.4312 tokens=511 step_time=1.315s
step 8/100 loss=1.5943 tokens=511 step_time=1.329s
step 9/100 loss=1.6470 tokens=511 step_time=1.320s
step 10/100 loss=1.3951 tokens=511 step_time=1.318s
step 11/100 loss=1.2907 tokens=511 step_time=1.321s
step 12/100 loss=2.6091 tokens=511 step_time=1.325s
step 13/100 loss=3.3245 tokens=511 step_time=1.325s
step 14/100 loss=1.4071 tokens=511 step_time=1.331s
step 15/100 loss=1.4988 tokens=511 step_time=1.344s
step 16/100 loss=1.1209 tokens=511 step_time=1.331s
step 17/100 loss=0.9799 tokens=511 step_time=1.327s
step 18/100 loss=1.3713 tokens=511 step_time=1.328s
step 19/100 loss=1.6124 tokens=511 step_time=1.331s
step 20/100 loss=1.8931 tokens=282 step_time=0.800s
step 21/100 loss=1.4439 tokens=511 step_time=1.362s
step 22/100 loss=0.7834 tokens=511 step_time=1.351s
step 23/100 loss=2.9281 tokens=511 step_time=1.357s
step 24/100 loss=0.8856 tokens=511 step_time=1.359s
step 25/100 loss=1.7928 tokens=511 step_time=1.350s
step 26/100 loss=1.1498 tokens=440 step_time=1.220s
step 27/100 loss=0.6294 tokens=511 step_time=1.382s
step 28/100 loss=1.5735 tokens=511 step_time=1.378s
step 29/100 loss=1.1702 tokens=511 step_time=1.407s
step 30/100 loss=1.3643 tokens=511 step_time=1.376s
step 31/100 loss=1.2505 tokens=511 step_time=1.371s
step 32/100 loss=1.0978 tokens=511 step_time=1.365s
step 33/100 loss=2.6133 tokens=511 step_time=1.393s
step 34/100 loss=1.9258 tokens=511 step_time=1.372s
step 35/100 loss=1.6107 tokens=511 step_time=1.378s
step 36/100 loss=0.6931 tokens=511 step_time=1.387s
step 37/100 loss=1.5825 tokens=198 step_time=0.672s
step 38/100 loss=1.4869 tokens=511 step_time=1.421s
step 39/100 loss=1.0686 tokens=511 step_time=1.430s
step 40/100 loss=2.0824 tokens=474 step_time=1.415s
step 41/100 loss=1.7127 tokens=511 step_time=1.459s
step 42/100 loss=1.1828 tokens=511 step_time=1.434s
step 43/100 loss=1.8493 tokens=511 step_time=1.401s
step 44/100 loss=1.5854 tokens=349 step_time=1.035s
step 45/100 loss=2.7291 tokens=511 step_time=1.402s
step 46/100 loss=1.2215 tokens=511 step_time=1.408s
