[val] step 0 loss=2.3893
step 1/100 loss=2.0131 tokens=511 step_time=1.412s
step 2/100 loss=1.3430 tokens=511 step_time=1.328s
step 3/100 loss=1.3391 tokens=511 step_time=1.330s
step 4/100 loss=2.9572 tokens=340 step_time=1.170s
step 5/100 loss=1.5040 tokens=511 step_time=1.331s
step 6/100 loss=1.4797 tokens=511 step_time=1.320s
step 7/100 loss=1.4324 tokens=511 step_time=1.318s
step 8/100 loss=1.5877 tokens=511 step_time=1.344s
step 9/100 loss=1.6467 tokens=511 step_time=1.319s
step 10/100 loss=1.3922 tokens=511 step_time=1.319s
step 11/100 loss=1.2920 tokens=511 step_time=1.336s
step 12/100 loss=2.6047 tokens=511 step_time=1.318s
step 13/100 loss=3.3287 tokens=511 step_time=1.322s
step 14/100 loss=1.4077 tokens=511 step_time=1.332s
step 15/100 loss=1.5036 tokens=511 step_time=1.323s
step 16/100 loss=1.1288 tokens=511 step_time=1.320s
step 17/100 loss=0.9770 tokens=511 step_time=1.319s
step 18/100 loss=1.3691 tokens=511 step_time=1.325s
step 19/100 loss=1.6077 tokens=511 step_time=1.318s
step 20/100 loss=1.8940 tokens=282 step_time=0.806s
step 21/100 loss=1.4445 tokens=511 step_time=1.341s
step 22/100 loss=0.7658 tokens=511 step_time=1.347s
step 23/100 loss=2.9199 tokens=511 step_time=1.336s
step 24/100 loss=0.8835 tokens=511 step_time=1.341s
step 25/100 loss=1.7878 tokens=511 step_time=1.345s
step 26/100 loss=1.1498 tokens=440 step_time=1.210s
step 27/100 loss=0.6358 tokens=511 step_time=1.362s
step 28/100 loss=1.5701 tokens=511 step_time=1.357s
step 29/100 loss=1.1642 tokens=511 step_time=1.357s
step 30/100 loss=1.3663 tokens=511 step_time=1.344s
step 31/100 loss=1.2478 tokens=511 step_time=1.365s
step 32/100 loss=1.0979 tokens=511 step_time=1.359s
step 33/100 loss=2.6197 tokens=511 step_time=1.375s
step 34/100 loss=1.9129 tokens=511 step_time=1.364s
step 35/100 loss=1.6162 tokens=511 step_time=1.361s
step 36/100 loss=0.6967 tokens=511 step_time=1.361s
step 37/100 loss=1.5796 tokens=198 step_time=0.663s
step 38/100 loss=1.4876 tokens=511 step_time=1.367s
step 39/100 loss=1.0569 tokens=511 step_time=1.370s
step 40/100 loss=2.0782 tokens=474 step_time=1.442s
step 41/100 loss=1.7082 tokens=511 step_time=1.426s
step 42/100 loss=1.1800 tokens=511 step_time=1.432s
step 43/100 loss=1.8455 tokens=511 step_time=1.423s
step 44/100 loss=1.5711 tokens=349 step_time=1.052s
step 45/100 loss=2.7276 tokens=511 step_time=1.458s
step 46/100 loss=1.2291 tokens=511 step_time=1.419s
step 47/100 loss=2.7326 tokens=511 step_time=1.450s
step 48/100 loss=1.0392 tokens=511 step_time=1.418s
step 49/100 loss=1.3528 tokens=511 step_time=1.415s
step 50/100 loss=1.0140 tokens=511 step_time=1.411s
[val] step 50 loss=1.5799
step 51/100 loss=0.9589 tokens=511 step_time=1.405s
step 52/100 loss=1.9821 tokens=511 step_time=1.409s
step 53/100 loss=0.5837 tokens=511 step_time=1.398s
step 54/100 loss=0.8578 tokens=511 step_time=1.406s
step 55/100 loss=2.9425 tokens=511 step_time=1.403s
step 56/100 loss=1.9768 tokens=511 step_time=1.429s
