[val] step 0 loss=2.3893
step 1/100 loss=2.0131 tokens=511 step_time=1.380s
step 2/100 loss=1.3436 tokens=511 step_time=1.377s
step 3/100 loss=1.3433 tokens=511 step_time=1.362s
step 4/100 loss=2.9615 tokens=340 step_time=1.007s
step 5/100 loss=1.5019 tokens=511 step_time=1.373s
step 6/100 loss=1.4797 tokens=511 step_time=1.370s
step 7/100 loss=1.4230 tokens=511 step_time=1.366s
step 8/100 loss=1.5890 tokens=511 step_time=1.379s
step 9/100 loss=1.6465 tokens=511 step_time=1.375s
step 10/100 loss=1.3889 tokens=511 step_time=1.371s
step 11/100 loss=1.2957 tokens=511 step_time=1.374s
step 12/100 loss=2.6155 tokens=511 step_time=1.367s
step 13/100 loss=3.3296 tokens=511 step_time=1.382s
step 14/100 loss=1.4134 tokens=511 step_time=1.371s
step 15/100 loss=1.4998 tokens=511 step_time=1.371s
step 16/100 loss=1.1262 tokens=511 step_time=1.377s
step 17/100 loss=0.9794 tokens=511 step_time=1.376s
step 18/100 loss=1.3647 tokens=511 step_time=1.366s
step 19/100 loss=1.6011 tokens=511 step_time=1.380s
step 20/100 loss=1.8911 tokens=282 step_time=0.847s
step 21/100 loss=1.4444 tokens=511 step_time=1.397s
step 22/100 loss=0.7686 tokens=511 step_time=1.390s
step 23/100 loss=2.9241 tokens=511 step_time=1.395s
step 24/100 loss=0.8909 tokens=511 step_time=1.389s
step 25/100 loss=1.7851 tokens=511 step_time=1.397s
step 26/100 loss=1.1499 tokens=440 step_time=1.233s
step 27/100 loss=0.6303 tokens=511 step_time=1.397s
step 28/100 loss=1.5694 tokens=511 step_time=1.399s
step 29/100 loss=1.1698 tokens=511 step_time=1.399s
step 30/100 loss=1.3606 tokens=511 step_time=1.390s
step 31/100 loss=1.2495 tokens=511 step_time=1.393s
step 32/100 loss=1.1049 tokens=511 step_time=1.409s
step 33/100 loss=2.6068 tokens=511 step_time=1.389s
step 34/100 loss=1.9250 tokens=511 step_time=1.399s
step 35/100 loss=1.6166 tokens=511 step_time=1.398s
step 36/100 loss=0.6943 tokens=511 step_time=1.396s
step 37/100 loss=1.5799 tokens=198 step_time=0.692s
step 38/100 loss=1.4860 tokens=511 step_time=1.393s
step 39/100 loss=1.0612 tokens=511 step_time=1.397s
step 40/100 loss=2.0748 tokens=474 step_time=1.452s
step 41/100 loss=1.7097 tokens=511 step_time=1.394s
step 42/100 loss=1.1852 tokens=511 step_time=1.393s
step 43/100 loss=1.8484 tokens=511 step_time=1.402s
