[val] step 0 loss=2.3438
step 1/100 loss=1.9787 tokens=511 step_time=1.642s
step 2/100 loss=1.4275 tokens=511 step_time=1.653s
step 3/100 loss=1.1937 tokens=511 step_time=1.633s
step 4/100 loss=2.9001 tokens=340 step_time=1.319s
step 5/100 loss=1.5535 tokens=511 step_time=1.611s
step 6/100 loss=1.4668 tokens=511 step_time=1.622s
step 7/100 loss=1.4087 tokens=511 step_time=1.633s
step 8/100 loss=1.7164 tokens=511 step_time=1.635s
step 9/100 loss=1.7494 tokens=511 step_time=1.638s
step 10/100 loss=1.4553 tokens=511 step_time=1.626s
step 11/100 loss=1.3322 tokens=511 step_time=1.651s
step 12/100 loss=2.6697 tokens=511 step_time=1.639s
step 13/100 loss=3.3988 tokens=511 step_time=1.639s
step 14/100 loss=1.4934 tokens=511 step_time=1.650s
step 15/100 loss=1.6033 tokens=511 step_time=1.638s
step 16/100 loss=1.2491 tokens=511 step_time=1.661s
step 17/100 loss=0.9993 tokens=511 step_time=1.665s
step 18/100 loss=1.4295 tokens=511 step_time=1.669s
step 19/100 loss=1.7187 tokens=511 step_time=1.677s
step 20/100 loss=1.9327 tokens=282 step_time=0.946s
step 21/100 loss=1.5088 tokens=511 step_time=1.691s
step 22/100 loss=0.8210 tokens=511 step_time=1.678s
step 23/100 loss=2.9814 tokens=511 step_time=1.660s
step 24/100 loss=0.9309 tokens=511 step_time=1.697s
step 25/100 loss=1.9682 tokens=511 step_time=1.671s
step 26/100 loss=1.2170 tokens=440 step_time=1.598s
step 27/100 loss=0.6700 tokens=511 step_time=1.782s
step 28/100 loss=1.6163 tokens=511 step_time=1.691s
step 29/100 loss=1.2589 tokens=511 step_time=1.690s
step 30/100 loss=1.3906 tokens=511 step_time=1.699s
step 31/100 loss=1.3312 tokens=511 step_time=1.682s
step 32/100 loss=1.1710 tokens=511 step_time=1.692s
step 33/100 loss=2.6911 tokens=511 step_time=1.685s
step 34/100 loss=1.9938 tokens=511 step_time=1.698s
step 35/100 loss=1.6703 tokens=511 step_time=1.683s
step 36/100 loss=0.7162 tokens=511 step_time=1.721s
step 37/100 loss=1.6134 tokens=198 step_time=0.718s
step 38/100 loss=1.5621 tokens=511 step_time=1.699s
step 39/100 loss=1.0979 tokens=511 step_time=1.713s
step 40/100 loss=2.1206 tokens=474 step_time=1.704s
step 41/100 loss=1.7499 tokens=511 step_time=1.741s
