[val] step 0 loss=2.2935
step 1/100 loss=1.9586 tokens=511 step_time=3.658s
step 2/100 loss=1.3817 tokens=511 step_time=3.598s
step 3/100 loss=1.4102 tokens=511 step_time=3.602s
step 4/100 loss=2.8458 tokens=340 step_time=2.629s
step 5/100 loss=1.4392 tokens=511 step_time=3.824s
step 6/100 loss=1.4820 tokens=511 step_time=3.672s
step 7/100 loss=1.3974 tokens=511 step_time=3.949s
step 8/100 loss=1.6382 tokens=511 step_time=3.751s
step 9/100 loss=1.6159 tokens=511 step_time=3.702s
step 10/100 loss=1.2984 tokens=511 step_time=3.739s
step 11/100 loss=1.2781 tokens=511 step_time=3.699s
step 12/100 loss=2.4201 tokens=511 step_time=3.678s
step 13/100 loss=3.2589 tokens=511 step_time=3.687s
step 14/100 loss=1.3338 tokens=511 step_time=3.712s
step 15/100 loss=1.3784 tokens=511 step_time=3.663s
step 16/100 loss=1.0711 tokens=511 step_time=3.657s
step 17/100 loss=0.9485 tokens=511 step_time=3.684s
step 18/100 loss=1.2500 tokens=511 step_time=3.669s
step 19/100 loss=1.5091 tokens=511 step_time=3.678s
step 20/100 loss=1.8618 tokens=282 step_time=2.207s
step 21/100 loss=1.3300 tokens=511 step_time=3.774s
step 22/100 loss=0.7235 tokens=511 step_time=3.709s
step 23/100 loss=2.8880 tokens=511 step_time=3.673s
step 24/100 loss=0.7993 tokens=511 step_time=3.655s
step 25/100 loss=1.7513 tokens=511 step_time=3.658s
step 26/100 loss=1.1969 tokens=440 step_time=3.376s
step 27/100 loss=0.6176 tokens=511 step_time=3.930s
step 28/100 loss=1.4507 tokens=511 step_time=3.701s
step 29/100 loss=1.1630 tokens=511 step_time=3.684s
step 30/100 loss=1.2710 tokens=511 step_time=3.700s
step 31/100 loss=1.1822 tokens=511 step_time=3.684s
step 32/100 loss=1.0320 tokens=511 step_time=3.672s
step 33/100 loss=2.5007 tokens=511 step_time=3.683s
step 34/100 loss=1.7977 tokens=511 step_time=3.680s
step 35/100 loss=1.4985 tokens=511 step_time=3.659s
step 36/100 loss=0.6883 tokens=511 step_time=3.711s
step 37/100 loss=1.4483 tokens=198 step_time=1.596s
step 38/100 loss=1.4197 tokens=511 step_time=3.819s
step 39/100 loss=1.0092 tokens=511 step_time=3.716s
step 40/100 loss=1.9960 tokens=474 step_time=3.612s
step 41/100 loss=1.6963 tokens=511 step_time=7.097s
step 42/100 loss=1.1580 tokens=511 step_time=3.802s
step 43/100 loss=1.7243 tokens=511 step_time=3.681s
step 44/100 loss=1.4516 tokens=349 step_time=2.651s
step 45/100 loss=2.6164 tokens=511 step_time=4.168s
step 46/100 loss=1.1419 tokens=511 step_time=3.709s
step 47/100 loss=2.6466 tokens=511 step_time=3.754s
step 48/100 loss=0.9548 tokens=511 step_time=3.677s
step 49/100 loss=1.2222 tokens=511 step_time=3.692s
step 50/100 loss=0.9444 tokens=511 step_time=3.672s
[val] step 50 loss=1.5089
step 51/100 loss=0.9431 tokens=511 step_time=3.743s
step 52/100 loss=1.9584 tokens=511 step_time=3.673s
step 53/100 loss=0.5926 tokens=511 step_time=3.672s
step 54/100 loss=0.7794 tokens=511 step_time=3.741s
step 55/100 loss=2.8540 tokens=511 step_time=3.727s
step 56/100 loss=1.9043 tokens=511 step_time=3.705s
step 57/100 loss=1.0862 tokens=511 step_time=3.704s
step 58/100 loss=1.0361 tokens=511 step_time=3.680s
step 59/100 loss=1.3852 tokens=511 step_time=3.744s
step 60/100 loss=1.6329 tokens=511 step_time=3.690s
step 61/100 loss=1.6141 tokens=511 step_time=3.708s
step 62/100 loss=1.6096 tokens=511 step_time=3.878s
step 63/100 loss=1.1852 tokens=511 step_time=3.767s
step 64/100 loss=1.7101 tokens=511 step_time=3.693s
step 65/100 loss=1.1188 tokens=511 step_time=3.674s
step 66/100 loss=1.2442 tokens=511 step_time=3.671s
step 67/100 loss=1.0324 tokens=511 step_time=3.672s
step 68/100 loss=0.9503 tokens=511 step_time=3.669s
step 69/100 loss=0.5346 tokens=511 step_time=3.661s
step 70/100 loss=1.3717 tokens=304 step_time=2.701s
step 71/100 loss=1.4874 tokens=511 step_time=5.799s
step 72/100 loss=1.7188 tokens=511 step_time=3.643s
step 73/100 loss=1.7846 tokens=511 step_time=3.641s
step 74/100 loss=2.5216 tokens=511 step_time=3.601s
step 75/100 loss=1.2798 tokens=511 step_time=3.650s
step 76/100 loss=1.4480 tokens=511 step_time=3.612s
step 77/100 loss=2.3262 tokens=511 step_time=3.610s
step 78/100 loss=2.0495 tokens=511 step_time=3.614s
step 79/100 loss=1.0913 tokens=511 step_time=3.624s
step 80/100 loss=2.0367 tokens=511 step_time=3.670s
step 81/100 loss=1.1026 tokens=511 step_time=3.621s
step 82/100 loss=2.5721 tokens=511 step_time=3.632s
step 83/100 loss=1.1434 tokens=511 step_time=3.616s
step 84/100 loss=1.6289 tokens=511 step_time=3.606s
step 85/100 loss=1.6123 tokens=511 step_time=3.626s
step 86/100 loss=0.9756 tokens=511 step_time=3.615s
step 87/100 loss=3.0864 tokens=511 step_time=3.594s
step 88/100 loss=0.7886 tokens=511 step_time=3.570s
step 89/100 loss=1.8919 tokens=511 step_time=3.607s
step 90/100 loss=1.5519 tokens=511 step_time=3.576s
step 91/100 loss=1.2069 tokens=511 step_time=3.597s
step 92/100 loss=1.5940 tokens=511 step_time=3.610s
step 93/100 loss=2.9785 tokens=511 step_time=3.605s
step 94/100 loss=1.2869 tokens=511 step_time=3.610s
step 95/100 loss=2.1264 tokens=511 step_time=3.634s
step 96/100 loss=1.2147 tokens=511 step_time=3.601s
step 97/100 loss=0.5163 tokens=511 step_time=3.601s
step 98/100 loss=1.4189 tokens=511 step_time=3.602s
step 99/100 loss=2.4090 tokens=511 step_time=3.605s
step 100/100 loss=2.1631 tokens=511 step_time=3.598s
[val] step 100 loss=1.4712
[train] done: 100 steps, final_loss=2.1631, tokens=49910, trainable=5.898M/634.574M
