[val] step 0 loss=2.2935
step 1/300 loss=1.9586 tokens=511 step_time=3.702s
step 2/300 loss=1.3817 tokens=511 step_time=3.704s
step 3/300 loss=1.4102 tokens=511 step_time=3.671s
step 4/300 loss=2.8458 tokens=340 step_time=2.659s
step 5/300 loss=1.4392 tokens=511 step_time=3.701s
step 6/300 loss=1.4820 tokens=511 step_time=3.658s
step 7/300 loss=1.3974 tokens=511 step_time=3.657s
step 8/300 loss=1.6382 tokens=511 step_time=3.646s
step 9/300 loss=1.6159 tokens=511 step_time=3.712s
step 10/300 loss=1.2984 tokens=511 step_time=4.108s
step 11/300 loss=1.2781 tokens=511 step_time=3.809s
step 12/300 loss=2.4201 tokens=511 step_time=3.750s
step 13/300 loss=3.2589 tokens=511 step_time=3.670s
step 14/300 loss=1.3338 tokens=511 step_time=3.698s
step 15/300 loss=1.3784 tokens=511 step_time=3.670s
step 16/300 loss=1.0711 tokens=511 step_time=3.693s
step 17/300 loss=0.9485 tokens=511 step_time=3.676s
step 18/300 loss=1.2500 tokens=511 step_time=3.668s
step 19/300 loss=1.5091 tokens=511 step_time=3.684s
step 20/300 loss=1.8618 tokens=282 step_time=2.088s
step 21/300 loss=1.3300 tokens=511 step_time=3.824s
step 22/300 loss=0.7235 tokens=511 step_time=3.720s
step 23/300 loss=2.8880 tokens=511 step_time=3.678s
step 24/300 loss=0.7993 tokens=511 step_time=3.721s
step 25/300 loss=1.7513 tokens=511 step_time=3.735s
step 26/300 loss=1.1969 tokens=440 step_time=3.553s
step 27/300 loss=0.6176 tokens=511 step_time=3.773s
step 28/300 loss=1.4507 tokens=511 step_time=3.687s
step 29/300 loss=1.1630 tokens=511 step_time=3.683s
step 30/300 loss=1.2710 tokens=511 step_time=3.771s
step 31/300 loss=1.1822 tokens=511 step_time=3.832s
step 32/300 loss=1.0320 tokens=511 step_time=3.771s
step 33/300 loss=2.5007 tokens=511 step_time=3.704s
step 34/300 loss=1.7977 tokens=511 step_time=3.697s
step 35/300 loss=1.4985 tokens=511 step_time=3.686s
step 36/300 loss=0.6883 tokens=511 step_time=3.692s
step 37/300 loss=1.4483 tokens=198 step_time=1.654s
