[val] step 0 loss=2.2935
step 1/100 loss=1.9586 tokens=511 step_time=3.692s
step 2/100 loss=1.3829 tokens=511 step_time=3.647s
step 3/100 loss=1.4129 tokens=511 step_time=3.676s
step 4/100 loss=2.8489 tokens=340 step_time=2.554s
step 5/100 loss=1.4385 tokens=511 step_time=3.738s
step 6/100 loss=1.4835 tokens=511 step_time=3.753s
step 7/100 loss=1.3941 tokens=511 step_time=3.719s
step 8/100 loss=1.6403 tokens=511 step_time=3.703s
step 9/100 loss=1.6101 tokens=511 step_time=3.680s
step 10/100 loss=1.3032 tokens=511 step_time=3.661s
step 11/100 loss=1.2780 tokens=511 step_time=3.675s
step 12/100 loss=2.4260 tokens=511 step_time=3.662s
step 13/100 loss=3.2614 tokens=511 step_time=3.653s
step 14/100 loss=1.3311 tokens=511 step_time=3.689s
step 15/100 loss=1.3795 tokens=511 step_time=3.697s
step 16/100 loss=1.0676 tokens=511 step_time=3.691s
step 17/100 loss=0.9466 tokens=511 step_time=3.693s
step 18/100 loss=1.2543 tokens=511 step_time=3.675s
step 19/100 loss=1.5123 tokens=511 step_time=3.722s
step 20/100 loss=1.8643 tokens=282 step_time=2.196s
step 21/100 loss=1.3347 tokens=511 step_time=3.713s
step 22/100 loss=0.7235 tokens=511 step_time=3.721s
step 23/100 loss=2.8953 tokens=511 step_time=3.859s
step 24/100 loss=0.7964 tokens=511 step_time=3.845s
step 25/100 loss=1.7541 tokens=511 step_time=3.715s
step 26/100 loss=1.2000 tokens=440 step_time=3.496s
step 27/100 loss=0.6210 tokens=511 step_time=4.757s
step 28/100 loss=1.4560 tokens=511 step_time=3.708s
step 29/100 loss=1.1598 tokens=511 step_time=3.718s
step 30/100 loss=1.2735 tokens=511 step_time=3.737s
step 31/100 loss=1.1819 tokens=511 step_time=3.752s
step 32/100 loss=1.0284 tokens=511 step_time=3.714s
step 33/100 loss=2.5022 tokens=511 step_time=3.720s
step 34/100 loss=1.7998 tokens=511 step_time=3.725s
step 35/100 loss=1.5037 tokens=511 step_time=3.696s
step 36/100 loss=0.6869 tokens=511 step_time=3.702s
step 37/100 loss=1.4550 tokens=198 step_time=1.710s
step 38/100 loss=1.4179 tokens=511 step_time=3.759s
step 39/100 loss=1.0050 tokens=511 step_time=3.686s
step 40/100 loss=1.9987 tokens=474 step_time=3.564s
step 41/100 loss=1.6917 tokens=511 step_time=4.368s
step 42/100 loss=1.1562 tokens=511 step_time=3.711s
step 43/100 loss=1.7293 tokens=511 step_time=3.697s
step 44/100 loss=1.4505 tokens=349 step_time=2.608s
step 45/100 loss=2.6133 tokens=511 step_time=3.730s
step 46/100 loss=1.1440 tokens=511 step_time=3.666s
step 47/100 loss=2.6492 tokens=511 step_time=3.689s
step 48/100 loss=0.9593 tokens=511 step_time=3.826s
step 49/100 loss=1.2157 tokens=511 step_time=3.709s
step 50/100 loss=0.9454 tokens=511 step_time=3.697s
[val] step 50 loss=1.5087
step 51/100 loss=0.9443 tokens=511 step_time=3.690s
step 52/100 loss=1.9591 tokens=511 step_time=3.688s
step 53/100 loss=0.5893 tokens=511 step_time=3.720s
