[val] step 0 loss=2.2935
step 1/300 loss=1.9586 tokens=511 step_time=3.698s
step 2/300 loss=1.3829 tokens=511 step_time=3.648s
step 3/300 loss=1.4129 tokens=511 step_time=3.696s
step 4/300 loss=2.8489 tokens=340 step_time=2.576s
step 5/300 loss=1.4385 tokens=511 step_time=3.713s
step 6/300 loss=1.4835 tokens=511 step_time=3.699s
step 7/300 loss=1.3941 tokens=511 step_time=3.700s
step 8/300 loss=1.6403 tokens=511 step_time=3.709s
step 9/300 loss=1.6101 tokens=511 step_time=3.697s
step 10/300 loss=1.3032 tokens=511 step_time=3.661s
step 11/300 loss=1.2780 tokens=511 step_time=3.879s
step 12/300 loss=2.4260 tokens=511 step_time=3.762s
step 13/300 loss=3.2614 tokens=511 step_time=3.759s
step 14/300 loss=1.3311 tokens=511 step_time=3.707s
step 15/300 loss=1.3795 tokens=511 step_time=3.659s
step 16/300 loss=1.0676 tokens=511 step_time=3.673s
step 17/300 loss=0.9466 tokens=511 step_time=3.639s
step 18/300 loss=1.2543 tokens=511 step_time=3.638s
step 19/300 loss=1.5123 tokens=511 step_time=3.636s
step 20/300 loss=1.8643 tokens=282 step_time=2.216s
step 21/300 loss=1.3347 tokens=511 step_time=3.805s
step 22/300 loss=0.7235 tokens=511 step_time=3.721s
step 23/300 loss=2.8953 tokens=511 step_time=3.691s
step 24/300 loss=0.7964 tokens=511 step_time=3.677s
step 25/300 loss=1.7541 tokens=511 step_time=3.662s
step 26/300 loss=1.2000 tokens=440 step_time=3.313s
step 27/300 loss=0.6210 tokens=511 step_time=3.777s
step 28/300 loss=1.4560 tokens=511 step_time=3.717s
step 29/300 loss=1.1598 tokens=511 step_time=3.702s
step 30/300 loss=1.2735 tokens=511 step_time=3.671s
step 31/300 loss=1.1819 tokens=511 step_time=3.685s
step 32/300 loss=1.0284 tokens=511 step_time=3.701s
step 33/300 loss=2.5022 tokens=511 step_time=3.660s
step 34/300 loss=1.7998 tokens=511 step_time=3.674s
step 35/300 loss=1.5037 tokens=511 step_time=3.683s
step 36/300 loss=0.6869 tokens=511 step_time=3.859s
step 37/300 loss=1.4550 tokens=198 step_time=1.689s
step 38/300 loss=1.4179 tokens=511 step_time=3.838s
step 39/300 loss=1.0050 tokens=511 step_time=3.697s
step 40/300 loss=1.9987 tokens=474 step_time=3.652s
step 41/300 loss=1.6917 tokens=511 step_time=3.791s
step 42/300 loss=1.1562 tokens=511 step_time=3.734s
step 43/300 loss=1.7293 tokens=511 step_time=3.704s
step 44/300 loss=1.4505 tokens=349 step_time=2.612s
step 45/300 loss=2.6133 tokens=511 step_time=3.723s
step 46/300 loss=1.1440 tokens=511 step_time=3.745s
step 47/300 loss=2.6492 tokens=511 step_time=3.719s
step 48/300 loss=0.9593 tokens=511 step_time=3.681s
step 49/300 loss=1.2157 tokens=511 step_time=3.699s
step 50/300 loss=0.9454 tokens=511 step_time=3.690s
[val] step 50 loss=1.5087
step 51/300 loss=0.9443 tokens=511 step_time=3.800s
step 52/300 loss=1.9591 tokens=511 step_time=3.721s
step 53/300 loss=0.5893 tokens=511 step_time=3.687s
step 54/300 loss=0.7744 tokens=511 step_time=3.722s
step 55/300 loss=2.8543 tokens=511 step_time=3.720s
step 56/300 loss=1.8980 tokens=511 step_time=3.686s
step 57/300 loss=1.0874 tokens=511 step_time=3.679s
step 58/300 loss=1.0309 tokens=511 step_time=3.674s
step 59/300 loss=1.3802 tokens=511 step_time=3.662s
step 60/300 loss=1.6242 tokens=511 step_time=3.647s
step 61/300 loss=1.6115 tokens=511 step_time=3.655s
step 62/300 loss=1.6119 tokens=511 step_time=3.657s
step 63/300 loss=1.1757 tokens=511 step_time=3.644s
step 64/300 loss=1.7155 tokens=511 step_time=3.808s
step 65/300 loss=1.1084 tokens=511 step_time=3.727s
step 66/300 loss=1.2458 tokens=511 step_time=3.680s
step 67/300 loss=1.0293 tokens=511 step_time=3.667s
step 68/300 loss=0.9485 tokens=511 step_time=3.685s
step 69/300 loss=0.5325 tokens=511 step_time=3.642s
step 70/300 loss=1.3494 tokens=304 step_time=2.923s
step 71/300 loss=1.4827 tokens=511 step_time=3.631s
step 72/300 loss=1.7143 tokens=511 step_time=3.662s
step 73/300 loss=1.7835 tokens=511 step_time=3.679s
step 74/300 loss=2.5127 tokens=511 step_time=3.641s
step 75/300 loss=1.2790 tokens=511 step_time=3.626s
step 76/300 loss=1.4438 tokens=511 step_time=3.637s
step 77/300 loss=2.3278 tokens=511 step_time=3.629s
step 78/300 loss=2.0508 tokens=511 step_time=3.617s
step 79/300 loss=1.0905 tokens=511 step_time=3.602s
step 80/300 loss=2.0362 tokens=511 step_time=3.593s
step 81/300 loss=1.0921 tokens=511 step_time=3.608s
step 82/300 loss=2.5736 tokens=511 step_time=3.611s
step 83/300 loss=1.1411 tokens=511 step_time=3.619s
step 84/300 loss=1.6338 tokens=511 step_time=3.602s
step 85/300 loss=1.6159 tokens=511 step_time=3.615s
step 86/300 loss=0.9746 tokens=511 step_time=3.655s
step 87/300 loss=3.0918 tokens=511 step_time=3.653s
step 88/300 loss=0.7816 tokens=511 step_time=3.618s
step 89/300 loss=1.8903 tokens=511 step_time=3.599s
step 90/300 loss=1.5498 tokens=511 step_time=3.608s
step 91/300 loss=1.1991 tokens=511 step_time=3.613s
step 92/300 loss=1.5899 tokens=511 step_time=3.594s
step 93/300 loss=2.9879 tokens=511 step_time=3.599s
step 94/300 loss=1.2902 tokens=511 step_time=3.620s
step 95/300 loss=2.1341 tokens=511 step_time=3.612s
step 96/300 loss=1.2164 tokens=511 step_time=3.605s
step 97/300 loss=0.5217 tokens=511 step_time=3.608s
step 98/300 loss=1.4034 tokens=511 step_time=3.623s
step 99/300 loss=2.4116 tokens=511 step_time=3.605s
step 100/300 loss=2.1658 tokens=511 step_time=3.626s
[val] step 100 loss=1.4721
step 101/300 loss=1.3534 tokens=511 step_time=3.868s
step 102/300 loss=0.8885 tokens=511 step_time=3.811s
step 103/300 loss=0.9046 tokens=511 step_time=3.668s
step 104/300 loss=0.6016 tokens=511 step_time=3.660s
step 105/300 loss=0.9291 tokens=511 step_time=3.684s
step 106/300 loss=1.1883 tokens=511 step_time=3.656s
step 107/300 loss=2.9489 tokens=511 step_time=3.625s
step 108/300 loss=1.1698 tokens=511 step_time=3.615s
step 109/300 loss=1.2984 tokens=511 step_time=3.611s
step 110/300 loss=1.1131 tokens=511 step_time=3.640s
step 111/300 loss=1.1072 tokens=511 step_time=3.598s
step 112/300 loss=0.9205 tokens=511 step_time=3.600s
step 113/300 loss=0.9535 tokens=511 step_time=3.592s
step 114/300 loss=1.0114 tokens=511 step_time=3.653s
step 115/300 loss=1.7096 tokens=511 step_time=3.608s
step 116/300 loss=1.2163 tokens=511 step_time=3.622s
step 117/300 loss=1.2275 tokens=511 step_time=3.616s
step 118/300 loss=1.3767 tokens=511 step_time=3.663s
step 119/300 loss=2.0853 tokens=511 step_time=3.748s
step 120/300 loss=2.7889 tokens=511 step_time=3.625s
step 121/300 loss=1.5037 tokens=511 step_time=3.616s
step 122/300 loss=2.7414 tokens=511 step_time=3.600s
step 123/300 loss=1.7388 tokens=511 step_time=3.643s
step 124/300 loss=1.0635 tokens=511 step_time=3.623s
step 125/300 loss=1.3977 tokens=511 step_time=3.605s
step 126/300 loss=0.9918 tokens=511 step_time=3.611s
step 127/300 loss=1.0016 tokens=511 step_time=3.638s
step 128/300 loss=1.6727 tokens=511 step_time=3.629s
step 129/300 loss=1.0220 tokens=511 step_time=3.618s
step 130/300 loss=1.1315 tokens=511 step_time=3.593s
step 131/300 loss=0.8071 tokens=511 step_time=3.594s
step 132/300 loss=0.6575 tokens=511 step_time=3.588s
step 133/300 loss=2.0310 tokens=511 step_time=3.614s
step 134/300 loss=0.9334 tokens=511 step_time=3.617s
step 135/300 loss=1.5100 tokens=511 step_time=3.602s
step 136/300 loss=1.1912 tokens=511 step_time=3.613s
step 137/300 loss=1.3589 tokens=511 step_time=3.600s
step 138/300 loss=1.4904 tokens=511 step_time=3.595s
step 139/300 loss=1.3951 tokens=511 step_time=3.610s
step 140/300 loss=1.3559 tokens=511 step_time=3.592s
step 141/300 loss=0.9850 tokens=511 step_time=3.590s
step 142/300 loss=1.2814 tokens=511 step_time=3.604s
step 143/300 loss=1.9016 tokens=511 step_time=3.605s
step 144/300 loss=1.3956 tokens=511 step_time=3.615s
step 145/300 loss=1.3738 tokens=511 step_time=3.632s
step 146/300 loss=1.5808 tokens=511 step_time=3.614s
step 147/300 loss=1.0432 tokens=511 step_time=3.606s
step 148/300 loss=1.4471 tokens=511 step_time=3.626s
step 149/300 loss=1.6741 tokens=511 step_time=3.621s
step 150/300 loss=1.5972 tokens=511 step_time=3.607s
[val] step 150 loss=1.4545
step 151/300 loss=1.5987 tokens=511 step_time=4.395s
step 152/300 loss=0.8521 tokens=511 step_time=3.610s
step 153/300 loss=1.2981 tokens=511 step_time=3.667s
step 154/300 loss=0.5880 tokens=511 step_time=3.659s
step 155/300 loss=2.3403 tokens=511 step_time=3.645s
step 156/300 loss=0.9541 tokens=511 step_time=3.640s
step 157/300 loss=2.1449 tokens=511 step_time=3.626s
step 158/300 loss=1.4744 tokens=511 step_time=3.669s
step 159/300 loss=1.2662 tokens=511 step_time=3.838s
step 160/300 loss=1.2087 tokens=511 step_time=3.666s
step 161/300 loss=1.2887 tokens=511 step_time=3.634s
step 162/300 loss=1.5691 tokens=511 step_time=3.633s
step 163/300 loss=2.6801 tokens=511 step_time=3.637s
step 164/300 loss=1.2560 tokens=511 step_time=3.618s
step 165/300 loss=1.7145 tokens=511 step_time=3.638s
step 166/300 loss=1.0133 tokens=511 step_time=3.628s
step 167/300 loss=1.0209 tokens=511 step_time=3.696s
step 168/300 loss=2.6749 tokens=511 step_time=3.668s
step 169/300 loss=1.1141 tokens=511 step_time=3.641s
step 170/300 loss=0.5454 tokens=511 step_time=3.628s
step 171/300 loss=0.8972 tokens=511 step_time=3.612s
step 172/300 loss=2.4912 tokens=511 step_time=3.618s
step 173/300 loss=1.3003 tokens=511 step_time=3.626s
step 174/300 loss=1.6172 tokens=511 step_time=3.637s
step 175/300 loss=1.3347 tokens=511 step_time=3.648s
step 176/300 loss=1.1672 tokens=511 step_time=3.627s
step 177/300 loss=0.9166 tokens=408 step_time=3.158s
step 178/300 loss=1.3927 tokens=511 step_time=3.696s
step 179/300 loss=1.9568 tokens=499 step_time=4.471s
step 180/300 loss=1.5747 tokens=511 step_time=6.072s
step 181/300 loss=1.3329 tokens=511 step_time=3.614s
step 182/300 loss=0.5248 tokens=511 step_time=3.647s
step 183/300 loss=1.3089 tokens=511 step_time=3.639s
step 184/300 loss=1.1141 tokens=495 step_time=3.783s
step 185/300 loss=0.8566 tokens=511 step_time=9.015s
step 186/300 loss=1.1955 tokens=511 step_time=3.709s
step 187/300 loss=1.9915 tokens=511 step_time=3.673s
step 188/300 loss=1.0543 tokens=511 step_time=3.622s
step 189/300 loss=1.5706 tokens=511 step_time=3.826s
step 190/300 loss=0.9561 tokens=511 step_time=3.688s
step 191/300 loss=1.0848 tokens=511 step_time=3.657s
step 192/300 loss=1.1617 tokens=511 step_time=3.665s
step 193/300 loss=0.5547 tokens=511 step_time=3.638s
step 194/300 loss=1.7365 tokens=268 step_time=2.074s
step 195/300 loss=3.0755 tokens=511 step_time=3.673s
step 196/300 loss=1.3634 tokens=511 step_time=3.663s
step 197/300 loss=2.6822 tokens=511 step_time=3.668s
step 198/300 loss=1.2571 tokens=511 step_time=3.701s
step 199/300 loss=1.2332 tokens=511 step_time=3.676s
step 200/300 loss=1.2433 tokens=511 step_time=3.704s
[val] step 200 loss=1.4508
step 201/300 loss=1.3882 tokens=511 step_time=3.836s
step 202/300 loss=2.1726 tokens=511 step_time=3.824s
step 203/300 loss=1.3127 tokens=511 step_time=3.731s
step 204/300 loss=1.2029 tokens=511 step_time=3.684s
step 205/300 loss=1.3619 tokens=511 step_time=3.675s
step 206/300 loss=2.3855 tokens=511 step_time=3.719s
step 207/300 loss=2.5470 tokens=511 step_time=3.671s
step 208/300 loss=3.0184 tokens=511 step_time=3.659s
step 209/300 loss=2.0283 tokens=511 step_time=3.691s
step 210/300 loss=1.2463 tokens=511 step_time=3.698s
step 211/300 loss=0.9737 tokens=511 step_time=3.692s
step 212/300 loss=1.1770 tokens=511 step_time=3.695s
step 213/300 loss=1.0561 tokens=511 step_time=3.666s
step 214/300 loss=1.1516 tokens=511 step_time=4.170s
step 215/300 loss=1.9730 tokens=452 step_time=3.747s
step 216/300 loss=1.0282 tokens=511 step_time=9.068s
step 217/300 loss=3.0911 tokens=511 step_time=3.711s
step 218/300 loss=1.3265 tokens=511 step_time=3.692s
step 219/300 loss=1.4028 tokens=511 step_time=3.678s
step 220/300 loss=2.6243 tokens=511 step_time=3.652s
step 221/300 loss=1.6855 tokens=511 step_time=3.663s
step 222/300 loss=0.9028 tokens=511 step_time=3.656s
step 223/300 loss=0.4308 tokens=511 step_time=3.668s
step 224/300 loss=1.3628 tokens=511 step_time=3.647s
step 225/300 loss=1.5701 tokens=503 step_time=3.856s
step 226/300 loss=1.4092 tokens=511 step_time=7.789s
step 227/300 loss=1.4599 tokens=511 step_time=3.652s
step 228/300 loss=1.5387 tokens=257 step_time=2.157s
step 229/300 loss=1.5863 tokens=242 step_time=1.794s
step 230/300 loss=1.6540 tokens=511 step_time=7.390s
step 231/300 loss=0.8663 tokens=511 step_time=3.737s
step 232/300 loss=1.0957 tokens=511 step_time=3.685s
step 233/300 loss=0.6997 tokens=511 step_time=3.675s
step 234/300 loss=1.8957 tokens=511 step_time=3.700s
step 235/300 loss=0.9612 tokens=511 step_time=3.731s
step 236/300 loss=2.1925 tokens=511 step_time=3.692s
step 237/300 loss=2.8303 tokens=511 step_time=3.662s
step 238/300 loss=1.0861 tokens=511 step_time=3.672s
step 239/300 loss=2.3897 tokens=511 step_time=3.696s
step 240/300 loss=0.8893 tokens=511 step_time=3.660s
step 241/300 loss=2.9896 tokens=511 step_time=3.661s
step 242/300 loss=2.4671 tokens=511 step_time=3.668s
step 243/300 loss=2.7820 tokens=511 step_time=3.709s
step 244/300 loss=1.5048 tokens=511 step_time=3.697s
step 245/300 loss=0.4794 tokens=511 step_time=3.670s
step 246/300 loss=2.3527 tokens=511 step_time=3.678s
step 247/300 loss=0.9850 tokens=511 step_time=3.682s
step 248/300 loss=1.4317 tokens=511 step_time=3.663s
step 249/300 loss=1.3572 tokens=511 step_time=3.655s
step 250/300 loss=1.2873 tokens=511 step_time=3.672s
[val] step 250 loss=1.4454
step 251/300 loss=1.2981 tokens=511 step_time=3.649s
