[val] step 0 loss=2.2935
step 1/100 loss=1.9586 tokens=511 step_time=3.749s
step 2/100 loss=1.3781 tokens=511 step_time=3.702s
step 3/100 loss=1.4093 tokens=511 step_time=3.663s
step 4/100 loss=2.8502 tokens=340 step_time=2.551s
step 5/100 loss=1.4366 tokens=511 step_time=3.764s
step 6/100 loss=1.4799 tokens=511 step_time=3.665s
step 7/100 loss=1.3949 tokens=511 step_time=3.652s
step 8/100 loss=1.6398 tokens=511 step_time=3.660s
step 9/100 loss=1.6091 tokens=511 step_time=3.643s
step 10/100 loss=1.2990 tokens=511 step_time=3.684s
step 11/100 loss=1.2711 tokens=511 step_time=3.708s
step 12/100 loss=2.4210 tokens=511 step_time=3.675s
step 13/100 loss=3.2609 tokens=511 step_time=3.700s
step 14/100 loss=1.3359 tokens=511 step_time=3.664s
step 15/100 loss=1.3802 tokens=511 step_time=3.683s
step 16/100 loss=1.0638 tokens=511 step_time=3.666s
step 17/100 loss=0.9468 tokens=511 step_time=3.657s
step 18/100 loss=1.2506 tokens=511 step_time=3.658s
step 19/100 loss=1.5065 tokens=511 step_time=3.655s
step 20/100 loss=1.8495 tokens=282 step_time=2.156s
step 21/100 loss=1.3353 tokens=511 step_time=3.792s
step 22/100 loss=0.7249 tokens=511 step_time=3.680s
step 23/100 loss=2.8906 tokens=511 step_time=3.721s
step 24/100 loss=0.7935 tokens=511 step_time=3.689s
step 25/100 loss=1.7446 tokens=511 step_time=3.686s
step 26/100 loss=1.1987 tokens=440 step_time=3.266s
step 27/100 loss=0.6176 tokens=511 step_time=3.722s
step 28/100 loss=1.4568 tokens=511 step_time=3.674s
step 29/100 loss=1.1614 tokens=511 step_time=3.726s
step 30/100 loss=1.2749 tokens=511 step_time=4.038s
step 31/100 loss=1.1836 tokens=511 step_time=3.818s
step 32/100 loss=1.0274 tokens=511 step_time=3.764s
step 33/100 loss=2.5068 tokens=511 step_time=3.674s
step 34/100 loss=1.7965 tokens=511 step_time=3.676s
step 35/100 loss=1.4997 tokens=511 step_time=3.690s
step 36/100 loss=0.6875 tokens=511 step_time=3.676s
step 37/100 loss=1.4649 tokens=198 step_time=1.689s
step 38/100 loss=1.4219 tokens=511 step_time=3.750s
step 39/100 loss=1.0040 tokens=511 step_time=3.704s
step 40/100 loss=1.9992 tokens=474 step_time=3.530s
step 41/100 loss=1.6889 tokens=511 step_time=4.318s
step 42/100 loss=1.1605 tokens=511 step_time=3.678s
step 43/100 loss=1.7269 tokens=511 step_time=3.694s
step 44/100 loss=1.4526 tokens=349 step_time=2.624s
step 45/100 loss=2.6041 tokens=511 step_time=3.789s
step 46/100 loss=1.1390 tokens=511 step_time=3.729s
step 47/100 loss=2.6476 tokens=511 step_time=3.662s
step 48/100 loss=0.9520 tokens=511 step_time=3.666s
step 49/100 loss=1.2152 tokens=511 step_time=3.673s
step 50/100 loss=0.9357 tokens=511 step_time=3.682s
[val] step 50 loss=1.5078
step 51/100 loss=0.9385 tokens=511 step_time=3.667s
step 52/100 loss=1.9559 tokens=511 step_time=3.665s
step 53/100 loss=0.5870 tokens=511 step_time=3.671s
step 54/100 loss=0.7748 tokens=511 step_time=3.708s
step 55/100 loss=2.8549 tokens=511 step_time=4.101s
step 56/100 loss=1.8941 tokens=511 step_time=4.769s
step 57/100 loss=1.0821 tokens=511 step_time=3.766s
step 58/100 loss=1.0255 tokens=511 step_time=3.676s
step 59/100 loss=1.3852 tokens=511 step_time=3.711s
step 60/100 loss=1.6325 tokens=511 step_time=3.640s
step 61/100 loss=1.6110 tokens=511 step_time=3.648s
step 62/100 loss=1.6128 tokens=511 step_time=3.644s
step 63/100 loss=1.1800 tokens=511 step_time=3.658s
step 64/100 loss=1.7153 tokens=511 step_time=3.640s
step 65/100 loss=1.1191 tokens=511 step_time=3.631s
step 66/100 loss=1.2511 tokens=511 step_time=3.607s
step 67/100 loss=1.0286 tokens=511 step_time=3.612s
step 68/100 loss=0.9492 tokens=511 step_time=3.612s
step 69/100 loss=0.5314 tokens=511 step_time=3.620s
step 70/100 loss=1.3679 tokens=304 step_time=3.373s
step 71/100 loss=1.4801 tokens=511 step_time=3.610s
step 72/100 loss=1.7175 tokens=511 step_time=3.628s
step 73/100 loss=1.7833 tokens=511 step_time=3.722s
step 74/100 loss=2.5229 tokens=511 step_time=3.624s
step 75/100 loss=1.2855 tokens=511 step_time=3.624s
step 76/100 loss=1.4450 tokens=511 step_time=3.650s
step 77/100 loss=2.3227 tokens=511 step_time=3.620s
step 78/100 loss=2.0572 tokens=511 step_time=3.625s
step 79/100 loss=1.0893 tokens=511 step_time=3.613s
step 80/100 loss=2.0360 tokens=511 step_time=3.605s
step 81/100 loss=1.0948 tokens=511 step_time=3.618s
step 82/100 loss=2.5742 tokens=511 step_time=3.684s
step 83/100 loss=1.1442 tokens=511 step_time=3.620s
step 84/100 loss=1.6380 tokens=511 step_time=3.615s
step 85/100 loss=1.6198 tokens=511 step_time=3.607s
step 86/100 loss=0.9705 tokens=511 step_time=3.621s
step 87/100 loss=3.0971 tokens=511 step_time=3.636s
step 88/100 loss=0.7829 tokens=511 step_time=3.600s
step 89/100 loss=1.8874 tokens=511 step_time=3.611s
step 90/100 loss=1.5431 tokens=511 step_time=3.589s
step 91/100 loss=1.2018 tokens=511 step_time=3.709s
step 92/100 loss=1.5922 tokens=511 step_time=3.665s
step 93/100 loss=2.9910 tokens=511 step_time=3.651s
step 94/100 loss=1.2871 tokens=511 step_time=3.631s
step 95/100 loss=2.1408 tokens=511 step_time=3.629s
step 96/100 loss=1.2116 tokens=511 step_time=3.618s
step 97/100 loss=0.5161 tokens=511 step_time=3.606s
step 98/100 loss=1.4014 tokens=511 step_time=3.598s
step 99/100 loss=2.4111 tokens=511 step_time=3.607s
step 100/100 loss=2.1702 tokens=511 step_time=3.611s
[val] step 100 loss=1.4720
[train] done: 100 steps, final_loss=2.1702, tokens=49910, trainable=5.898M/634.574M
