[val] step 0 loss=2.2935
step 1/300 loss=1.9586 tokens=511 step_time=3.729s
step 2/300 loss=1.3781 tokens=511 step_time=3.656s
step 3/300 loss=1.4093 tokens=511 step_time=3.702s
step 4/300 loss=2.8502 tokens=340 step_time=2.706s
step 5/300 loss=1.4366 tokens=511 step_time=3.697s
step 6/300 loss=1.4799 tokens=511 step_time=3.663s
step 7/300 loss=1.3949 tokens=511 step_time=3.652s
step 8/300 loss=1.6398 tokens=511 step_time=3.683s
step 9/300 loss=1.6091 tokens=511 step_time=3.673s
step 10/300 loss=1.2990 tokens=511 step_time=3.699s
step 11/300 loss=1.2711 tokens=511 step_time=3.691s
step 12/300 loss=2.4210 tokens=511 step_time=3.692s
step 13/300 loss=3.2609 tokens=511 step_time=3.715s
step 14/300 loss=1.3359 tokens=511 step_time=3.690s
step 15/300 loss=1.3802 tokens=511 step_time=3.687s
step 16/300 loss=1.0638 tokens=511 step_time=3.689s
step 17/300 loss=0.9468 tokens=511 step_time=3.674s
step 18/300 loss=1.2506 tokens=511 step_time=3.658s
step 19/300 loss=1.5065 tokens=511 step_time=3.667s
step 20/300 loss=1.8495 tokens=282 step_time=2.165s
step 21/300 loss=1.3353 tokens=511 step_time=3.754s
step 22/300 loss=0.7249 tokens=511 step_time=3.726s
step 23/300 loss=2.8906 tokens=511 step_time=3.683s
step 24/300 loss=0.7935 tokens=511 step_time=3.703s
step 25/300 loss=1.7446 tokens=511 step_time=3.713s
step 26/300 loss=1.1987 tokens=440 step_time=3.301s
step 27/300 loss=0.6176 tokens=511 step_time=5.342s
step 28/300 loss=1.4568 tokens=511 step_time=3.784s
step 29/300 loss=1.1614 tokens=511 step_time=3.691s
step 30/300 loss=1.2749 tokens=511 step_time=3.687s
step 31/300 loss=1.1836 tokens=511 step_time=3.669s
step 32/300 loss=1.0274 tokens=511 step_time=3.659s
step 33/300 loss=2.5068 tokens=511 step_time=3.697s
step 34/300 loss=1.7965 tokens=511 step_time=3.682s
step 35/300 loss=1.4997 tokens=511 step_time=3.671s
step 36/300 loss=0.6875 tokens=511 step_time=3.683s
