[val] step 0 loss=2.2198
step 1/100 loss=1.9320 tokens=511 step_time=3.013s
step 2/100 loss=1.3440 tokens=511 step_time=3.010s
step 3/100 loss=1.3630 tokens=511 step_time=3.036s
step 4/100 loss=2.7687 tokens=340 step_time=2.151s
step 5/100 loss=1.4076 tokens=511 step_time=3.024s
step 6/100 loss=1.4639 tokens=511 step_time=3.019s
step 7/100 loss=1.3414 tokens=511 step_time=3.004s
step 8/100 loss=1.5580 tokens=511 step_time=3.003s
step 9/100 loss=1.5085 tokens=511 step_time=3.015s
step 10/100 loss=1.2565 tokens=511 step_time=3.009s
step 11/100 loss=1.2639 tokens=511 step_time=3.016s
step 12/100 loss=2.3826 tokens=511 step_time=3.011s
step 13/100 loss=3.1789 tokens=511 step_time=3.013s
step 14/100 loss=1.3028 tokens=511 step_time=3.008s
step 15/100 loss=1.3271 tokens=511 step_time=3.001s
step 16/100 loss=1.0201 tokens=511 step_time=3.013s
step 17/100 loss=0.9070 tokens=511 step_time=3.028s
step 18/100 loss=1.2386 tokens=511 step_time=3.027s
step 19/100 loss=1.4590 tokens=511 step_time=3.018s
step 20/100 loss=1.7515 tokens=282 step_time=1.800s
step 21/100 loss=1.2656 tokens=511 step_time=3.023s
step 22/100 loss=0.6869 tokens=511 step_time=3.026s
step 23/100 loss=2.8298 tokens=511 step_time=3.017s
step 24/100 loss=0.7726 tokens=511 step_time=3.031s
step 25/100 loss=1.7022 tokens=511 step_time=3.023s
step 26/100 loss=1.1317 tokens=440 step_time=2.617s
step 27/100 loss=0.6068 tokens=511 step_time=3.035s
step 28/100 loss=1.4146 tokens=511 step_time=3.011s
step 29/100 loss=1.1325 tokens=511 step_time=3.022s
step 30/100 loss=1.2377 tokens=511 step_time=3.040s
step 31/100 loss=1.1403 tokens=511 step_time=3.327s
step 32/100 loss=1.0054 tokens=511 step_time=3.165s
step 33/100 loss=2.4303 tokens=511 step_time=3.017s
step 34/100 loss=1.7277 tokens=511 step_time=3.010s
step 35/100 loss=1.4608 tokens=511 step_time=3.011s
step 36/100 loss=0.6652 tokens=511 step_time=3.008s
step 37/100 loss=1.3920 tokens=198 step_time=1.399s
step 38/100 loss=1.3626 tokens=511 step_time=3.002s
step 39/100 loss=0.9983 tokens=511 step_time=3.019s
step 40/100 loss=1.9216 tokens=474 step_time=2.947s
step 41/100 loss=1.6613 tokens=511 step_time=3.026s
step 42/100 loss=1.1072 tokens=511 step_time=3.018s
step 43/100 loss=1.6708 tokens=511 step_time=3.016s
step 44/100 loss=1.3862 tokens=349 step_time=2.172s
step 45/100 loss=2.5058 tokens=511 step_time=3.011s
step 46/100 loss=1.1145 tokens=511 step_time=3.014s
step 47/100 loss=2.5448 tokens=511 step_time=3.016s
step 48/100 loss=0.8933 tokens=511 step_time=3.011s
step 49/100 loss=1.1605 tokens=511 step_time=3.012s
step 50/100 loss=0.9033 tokens=511 step_time=3.011s
[val] step 50 loss=1.4530
step 51/100 loss=0.8736 tokens=511 step_time=3.042s
step 52/100 loss=1.9056 tokens=511 step_time=3.033s
step 53/100 loss=0.5411 tokens=511 step_time=3.030s
step 54/100 loss=0.7143 tokens=511 step_time=3.054s
step 55/100 loss=2.7599 tokens=511 step_time=3.041s
step 56/100 loss=1.8400 tokens=511 step_time=3.029s
step 57/100 loss=1.0266 tokens=511 step_time=3.036s
step 58/100 loss=0.9931 tokens=511 step_time=3.025s
step 59/100 loss=1.3253 tokens=511 step_time=3.036s
step 60/100 loss=1.5700 tokens=511 step_time=3.033s
step 61/100 loss=1.5430 tokens=511 step_time=3.030s
step 62/100 loss=1.5629 tokens=511 step_time=3.030s
step 63/100 loss=1.1388 tokens=511 step_time=3.034s
step 64/100 loss=1.6638 tokens=511 step_time=3.030s
step 65/100 loss=1.0598 tokens=511 step_time=3.023s
step 66/100 loss=1.2336 tokens=511 step_time=3.027s
step 67/100 loss=0.9818 tokens=511 step_time=3.031s
step 68/100 loss=0.9109 tokens=511 step_time=3.030s
step 69/100 loss=0.5105 tokens=511 step_time=3.028s
step 70/100 loss=1.2845 tokens=304 step_time=1.825s
step 71/100 loss=1.4116 tokens=511 step_time=3.036s
step 72/100 loss=1.6535 tokens=511 step_time=3.027s
step 73/100 loss=1.7431 tokens=511 step_time=3.026s
step 74/100 loss=2.4317 tokens=511 step_time=3.032s
step 75/100 loss=1.2242 tokens=511 step_time=3.040s
step 76/100 loss=1.4063 tokens=511 step_time=3.079s
step 77/100 loss=2.2856 tokens=511 step_time=3.030s
step 78/100 loss=2.0072 tokens=511 step_time=3.030s
step 79/100 loss=1.0734 tokens=511 step_time=3.045s
step 80/100 loss=1.9858 tokens=511 step_time=3.047s
step 81/100 loss=1.0824 tokens=511 step_time=3.032s
step 82/100 loss=2.5178 tokens=511 step_time=3.039s
step 83/100 loss=1.1083 tokens=511 step_time=3.043s
step 84/100 loss=1.5743 tokens=511 step_time=3.039s
step 85/100 loss=1.5760 tokens=511 step_time=3.033s
step 86/100 loss=0.9335 tokens=511 step_time=3.025s
step 87/100 loss=2.9821 tokens=511 step_time=3.028s
