[val] step 0 loss=2.2198
step 1/300 loss=1.9320 tokens=511 step_time=3.053s
step 2/300 loss=1.3440 tokens=511 step_time=3.028s
step 3/300 loss=1.3630 tokens=511 step_time=3.045s
step 4/300 loss=2.7687 tokens=340 step_time=2.161s
step 5/300 loss=1.4076 tokens=511 step_time=3.033s
step 6/300 loss=1.4639 tokens=511 step_time=3.035s
step 7/300 loss=1.3414 tokens=511 step_time=3.045s
step 8/300 loss=1.5580 tokens=511 step_time=3.044s
step 9/300 loss=1.5085 tokens=511 step_time=3.050s
step 10/300 loss=1.2565 tokens=511 step_time=3.054s
step 11/300 loss=1.2639 tokens=511 step_time=3.051s
step 12/300 loss=2.3826 tokens=511 step_time=3.048s
step 13/300 loss=3.1789 tokens=511 step_time=3.042s
step 14/300 loss=1.3028 tokens=511 step_time=3.047s
step 15/300 loss=1.3271 tokens=511 step_time=3.042s
step 16/300 loss=1.0201 tokens=511 step_time=3.062s
step 17/300 loss=0.9070 tokens=511 step_time=3.058s
step 18/300 loss=1.2386 tokens=511 step_time=3.061s
step 19/300 loss=1.4590 tokens=511 step_time=3.068s
step 20/300 loss=1.7515 tokens=282 step_time=1.811s
step 21/300 loss=1.2656 tokens=511 step_time=3.050s
step 22/300 loss=0.6869 tokens=511 step_time=3.060s
step 23/300 loss=2.8298 tokens=511 step_time=3.071s
step 24/300 loss=0.7726 tokens=511 step_time=3.061s
step 25/300 loss=1.7022 tokens=511 step_time=3.059s
step 26/300 loss=1.1317 tokens=440 step_time=2.655s
step 27/300 loss=0.6068 tokens=511 step_time=3.085s
step 28/300 loss=1.4146 tokens=511 step_time=3.077s
step 29/300 loss=1.1325 tokens=511 step_time=3.074s
step 30/300 loss=1.2377 tokens=511 step_time=3.070s
step 31/300 loss=1.1403 tokens=511 step_time=3.069s
step 32/300 loss=1.0054 tokens=511 step_time=3.074s
step 33/300 loss=2.4303 tokens=511 step_time=3.065s
step 34/300 loss=1.7277 tokens=511 step_time=3.067s
step 35/300 loss=1.4608 tokens=511 step_time=3.078s
step 36/300 loss=0.6652 tokens=511 step_time=3.078s
step 37/300 loss=1.3920 tokens=198 step_time=1.422s
step 38/300 loss=1.3626 tokens=511 step_time=3.069s
step 39/300 loss=0.9983 tokens=511 step_time=3.078s
step 40/300 loss=1.9216 tokens=474 step_time=2.999s
step 41/300 loss=1.6613 tokens=511 step_time=3.080s
step 42/300 loss=1.1072 tokens=511 step_time=3.084s
step 43/300 loss=1.6708 tokens=511 step_time=3.088s
step 44/300 loss=1.3862 tokens=349 step_time=2.208s
step 45/300 loss=2.5058 tokens=511 step_time=3.081s
step 46/300 loss=1.1145 tokens=511 step_time=3.087s
step 47/300 loss=2.5448 tokens=511 step_time=3.084s
step 48/300 loss=0.8933 tokens=511 step_time=3.074s
step 49/300 loss=1.1605 tokens=511 step_time=3.089s
step 50/300 loss=0.9033 tokens=511 step_time=3.082s
[val] step 50 loss=1.4530
step 51/300 loss=0.8736 tokens=511 step_time=3.112s
step 52/300 loss=1.9056 tokens=511 step_time=3.087s
step 53/300 loss=0.5411 tokens=511 step_time=3.094s
step 54/300 loss=0.7143 tokens=511 step_time=3.088s
step 55/300 loss=2.7599 tokens=511 step_time=3.080s
step 56/300 loss=1.8400 tokens=511 step_time=3.090s
step 57/300 loss=1.0266 tokens=511 step_time=3.093s
step 58/300 loss=0.9931 tokens=511 step_time=3.086s
step 59/300 loss=1.3253 tokens=511 step_time=3.116s
step 60/300 loss=1.5700 tokens=511 step_time=3.175s
step 61/300 loss=1.5430 tokens=511 step_time=3.091s
step 62/300 loss=1.5629 tokens=511 step_time=3.114s
step 63/300 loss=1.1388 tokens=511 step_time=3.127s
step 64/300 loss=1.6638 tokens=511 step_time=3.113s
step 65/300 loss=1.0598 tokens=511 step_time=3.113s
step 66/300 loss=1.2336 tokens=511 step_time=3.101s
step 67/300 loss=0.9818 tokens=511 step_time=3.104s
step 68/300 loss=0.9109 tokens=511 step_time=3.130s
step 69/300 loss=0.5105 tokens=511 step_time=3.136s
step 70/300 loss=1.2845 tokens=304 step_time=1.873s
step 71/300 loss=1.4116 tokens=511 step_time=3.105s
step 72/300 loss=1.6535 tokens=511 step_time=3.104s
step 73/300 loss=1.7431 tokens=511 step_time=3.104s
step 74/300 loss=2.4317 tokens=511 step_time=3.096s
step 75/300 loss=1.2242 tokens=511 step_time=3.095s
step 76/300 loss=1.4063 tokens=511 step_time=3.104s
step 77/300 loss=2.2856 tokens=511 step_time=3.109s
step 78/300 loss=2.0072 tokens=511 step_time=3.112s
step 79/300 loss=1.0734 tokens=511 step_time=3.094s
step 80/300 loss=1.9858 tokens=511 step_time=3.101s
step 81/300 loss=1.0824 tokens=511 step_time=3.093s
step 82/300 loss=2.5178 tokens=511 step_time=3.094s
step 83/300 loss=1.1083 tokens=511 step_time=3.097s
step 84/300 loss=1.5743 tokens=511 step_time=3.102s
step 85/300 loss=1.5760 tokens=511 step_time=3.100s
step 86/300 loss=0.9335 tokens=511 step_time=3.103s
step 87/300 loss=2.9821 tokens=511 step_time=3.109s
step 88/300 loss=0.7244 tokens=511 step_time=3.096s
step 89/300 loss=1.8676 tokens=511 step_time=3.088s
step 90/300 loss=1.5069 tokens=511 step_time=3.105s
step 91/300 loss=1.1619 tokens=511 step_time=3.105s
step 92/300 loss=1.5487 tokens=511 step_time=3.096s
step 93/300 loss=2.9500 tokens=511 step_time=3.094s
step 94/300 loss=1.2647 tokens=511 step_time=3.097s
step 95/300 loss=2.0764 tokens=511 step_time=3.102s
step 96/300 loss=1.2016 tokens=511 step_time=3.110s
step 97/300 loss=0.5001 tokens=511 step_time=3.116s
step 98/300 loss=1.3744 tokens=511 step_time=3.101s
