[val] step 0 loss=1.9786
step 1/100 loss=1.7635 tokens=511 step_time=10.229s
step 2/100 loss=1.3047 tokens=511 step_time=10.029s
step 3/100 loss=1.2427 tokens=511 step_time=9.809s
step 4/100 loss=2.4798 tokens=340 step_time=7.240s
step 5/100 loss=1.3056 tokens=511 step_time=17.485s
step 6/100 loss=1.3458 tokens=511 step_time=17.847s
step 7/100 loss=1.2596 tokens=511 step_time=13.697s
step 8/100 loss=1.5081 tokens=511 step_time=10.617s
step 9/100 loss=1.3685 tokens=511 step_time=10.001s
step 10/100 loss=1.1746 tokens=511 step_time=9.879s
step 11/100 loss=1.2236 tokens=511 step_time=9.937s
step 12/100 loss=2.2209 tokens=511 step_time=9.957s
step 13/100 loss=3.1620 tokens=511 step_time=9.925s
step 14/100 loss=1.1916 tokens=511 step_time=9.822s
step 15/100 loss=1.2889 tokens=511 step_time=9.864s
step 16/100 loss=0.9454 tokens=511 step_time=9.833s
step 17/100 loss=0.8660 tokens=511 step_time=9.926s
step 18/100 loss=1.1659 tokens=511 step_time=9.864s
step 19/100 loss=1.3477 tokens=511 step_time=9.973s
step 20/100 loss=1.6184 tokens=282 step_time=7.119s
step 21/100 loss=1.1539 tokens=511 step_time=24.393s
step 22/100 loss=0.7129 tokens=511 step_time=12.871s
step 23/100 loss=2.8020 tokens=511 step_time=10.454s
step 24/100 loss=0.7309 tokens=511 step_time=10.052s
step 25/100 loss=1.4753 tokens=511 step_time=10.065s
step 26/100 loss=1.1154 tokens=440 step_time=13.654s
step 27/100 loss=0.5900 tokens=511 step_time=27.619s
step 28/100 loss=1.3531 tokens=511 step_time=10.856s
step 29/100 loss=1.0759 tokens=511 step_time=9.998s
step 30/100 loss=1.2486 tokens=511 step_time=10.057s
step 31/100 loss=1.1153 tokens=511 step_time=10.002s
step 32/100 loss=1.0050 tokens=511 step_time=10.375s
step 33/100 loss=2.3213 tokens=511 step_time=10.113s
step 34/100 loss=1.5476 tokens=511 step_time=10.081s
step 35/100 loss=1.4176 tokens=511 step_time=10.013s
step 36/100 loss=0.6482 tokens=511 step_time=10.063s
step 37/100 loss=1.2706 tokens=198 step_time=7.602s
step 38/100 loss=1.2464 tokens=511 step_time=23.923s
step 39/100 loss=0.9781 tokens=511 step_time=11.798s
step 40/100 loss=1.9123 tokens=474 step_time=12.042s
