[val] step 0 loss=1.9786
step 1/100 loss=1.7635 tokens=511 step_time=9.983s
step 2/100 loss=1.3048 tokens=511 step_time=10.127s
step 3/100 loss=1.2277 tokens=511 step_time=10.189s
step 4/100 loss=2.4809 tokens=340 step_time=11.895s
step 5/100 loss=1.2998 tokens=511 step_time=19.254s
step 6/100 loss=1.3388 tokens=511 step_time=13.463s
step 7/100 loss=1.2485 tokens=511 step_time=16.489s
step 8/100 loss=1.5069 tokens=511 step_time=10.881s
step 9/100 loss=1.3778 tokens=511 step_time=10.365s
step 10/100 loss=1.1676 tokens=511 step_time=10.232s
step 11/100 loss=1.2197 tokens=511 step_time=10.036s
step 12/100 loss=2.2219 tokens=511 step_time=10.063s
step 13/100 loss=3.1603 tokens=511 step_time=10.054s
step 14/100 loss=1.1941 tokens=511 step_time=10.021s
step 15/100 loss=1.2828 tokens=511 step_time=10.034s
step 16/100 loss=0.9408 tokens=511 step_time=9.992s
step 17/100 loss=0.8707 tokens=511 step_time=10.040s
step 18/100 loss=1.1599 tokens=511 step_time=9.990s
step 19/100 loss=1.3460 tokens=511 step_time=10.009s
step 20/100 loss=1.5828 tokens=282 step_time=10.426s
step 21/100 loss=1.1425 tokens=511 step_time=33.310s
step 22/100 loss=0.7116 tokens=511 step_time=25.411s
step 23/100 loss=2.8093 tokens=511 step_time=13.650s
step 24/100 loss=0.7266 tokens=511 step_time=11.579s
step 25/100 loss=1.4789 tokens=511 step_time=10.750s
step 26/100 loss=1.1084 tokens=440 step_time=18.434s
step 27/100 loss=0.5905 tokens=511 step_time=23.890s
step 28/100 loss=1.3514 tokens=511 step_time=11.626s
step 29/100 loss=1.0794 tokens=511 step_time=10.028s
step 30/100 loss=1.2443 tokens=511 step_time=10.046s
step 31/100 loss=1.1177 tokens=511 step_time=9.993s
step 32/100 loss=1.0155 tokens=511 step_time=10.015s
step 33/100 loss=2.3258 tokens=511 step_time=10.031s
step 34/100 loss=1.5469 tokens=511 step_time=9.947s
step 35/100 loss=1.4212 tokens=511 step_time=10.066s
step 36/100 loss=0.6494 tokens=511 step_time=9.970s
step 37/100 loss=1.2689 tokens=198 step_time=5.998s
step 38/100 loss=1.2528 tokens=511 step_time=29.658s
step 39/100 loss=0.9799 tokens=511 step_time=16.361s
step 40/100 loss=1.9125 tokens=474 step_time=12.215s
step 41/100 loss=1.5595 tokens=511 step_time=16.325s
step 42/100 loss=1.1055 tokens=511 step_time=10.547s
step 43/100 loss=1.5844 tokens=511 step_time=10.011s
