[val] step 0 loss=1.9786
step 1/100 loss=1.7635 tokens=511 step_time=10.146s
step 2/100 loss=1.3079 tokens=511 step_time=10.035s
step 3/100 loss=1.2350 tokens=511 step_time=10.006s
step 4/100 loss=2.4873 tokens=340 step_time=7.098s
step 5/100 loss=1.3039 tokens=511 step_time=27.558s
step 6/100 loss=1.3394 tokens=511 step_time=10.995s
step 7/100 loss=1.2612 tokens=511 step_time=10.408s
step 8/100 loss=1.5027 tokens=511 step_time=10.626s
step 9/100 loss=1.3621 tokens=511 step_time=10.763s
step 10/100 loss=1.1788 tokens=511 step_time=11.459s
step 11/100 loss=1.2127 tokens=511 step_time=10.866s
step 12/100 loss=2.2282 tokens=511 step_time=10.284s
step 13/100 loss=3.1585 tokens=511 step_time=10.050s
step 14/100 loss=1.1941 tokens=511 step_time=9.996s
step 15/100 loss=1.2852 tokens=511 step_time=10.040s
step 16/100 loss=0.9460 tokens=511 step_time=10.066s
step 17/100 loss=0.8688 tokens=511 step_time=10.275s
step 18/100 loss=1.1630 tokens=511 step_time=10.179s
step 19/100 loss=1.3457 tokens=511 step_time=10.166s
step 20/100 loss=1.6069 tokens=282 step_time=11.527s
step 21/100 loss=1.1342 tokens=511 step_time=28.418s
step 22/100 loss=0.6994 tokens=511 step_time=11.040s
step 23/100 loss=2.7949 tokens=511 step_time=10.134s
step 24/100 loss=0.7271 tokens=511 step_time=10.016s
step 25/100 loss=1.4825 tokens=511 step_time=10.016s
step 26/100 loss=1.1071 tokens=440 step_time=13.838s
step 27/100 loss=0.5870 tokens=511 step_time=30.552s
step 28/100 loss=1.3585 tokens=511 step_time=15.533s
step 29/100 loss=1.0723 tokens=511 step_time=13.158s
step 30/100 loss=1.2450 tokens=511 step_time=10.844s
step 31/100 loss=1.1167 tokens=511 step_time=10.038s
step 32/100 loss=1.0012 tokens=511 step_time=10.035s
step 33/100 loss=2.3344 tokens=511 step_time=10.010s
step 34/100 loss=1.5453 tokens=511 step_time=9.986s
step 35/100 loss=1.4192 tokens=511 step_time=10.055s
step 36/100 loss=0.6529 tokens=511 step_time=9.982s
step 37/100 loss=1.2641 tokens=198 step_time=8.912s
step 38/100 loss=1.2432 tokens=511 step_time=30.270s
step 39/100 loss=0.9752 tokens=511 step_time=10.755s
step 40/100 loss=1.9128 tokens=474 step_time=20.264s
step 41/100 loss=1.5508 tokens=511 step_time=32.782s
step 42/100 loss=1.1073 tokens=511 step_time=18.539s
step 43/100 loss=1.5832 tokens=511 step_time=10.013s
step 44/100 loss=1.2260 tokens=349 step_time=10.892s
step 45/100 loss=2.4586 tokens=511 step_time=31.084s
step 46/100 loss=1.0398 tokens=511 step_time=14.670s
step 47/100 loss=2.4860 tokens=511 step_time=10.660s
step 48/100 loss=0.8838 tokens=511 step_time=10.084s
step 49/100 loss=1.1674 tokens=511 step_time=10.066s
step 50/100 loss=0.8895 tokens=511 step_time=10.024s
[val] step 50 loss=1.4055
step 51/100 loss=0.8115 tokens=511 step_time=10.665s
step 52/100 loss=1.8429 tokens=511 step_time=9.890s
step 53/100 loss=0.5515 tokens=511 step_time=9.987s
step 54/100 loss=0.7658 tokens=511 step_time=9.823s
step 55/100 loss=2.6275 tokens=511 step_time=9.818s
step 56/100 loss=1.8164 tokens=511 step_time=9.904s
step 57/100 loss=0.9627 tokens=511 step_time=9.883s
step 58/100 loss=0.9567 tokens=511 step_time=9.882s
step 59/100 loss=1.2844 tokens=511 step_time=9.884s
step 60/100 loss=1.5632 tokens=511 step_time=9.880s
step 61/100 loss=1.5362 tokens=511 step_time=9.868s
step 62/100 loss=1.5826 tokens=511 step_time=9.834s
step 63/100 loss=1.0802 tokens=511 step_time=9.750s
step 64/100 loss=1.5694 tokens=511 step_time=9.917s
step 65/100 loss=0.9599 tokens=511 step_time=9.791s
step 66/100 loss=1.2477 tokens=511 step_time=9.836s
step 67/100 loss=0.9384 tokens=511 step_time=9.917s
step 68/100 loss=0.8540 tokens=511 step_time=9.910s
step 69/100 loss=0.5255 tokens=511 step_time=10.305s
step 70/100 loss=1.3460 tokens=304 step_time=14.823s
step 71/100 loss=1.2996 tokens=511 step_time=28.066s
step 72/100 loss=1.6056 tokens=511 step_time=10.931s
step 73/100 loss=1.7685 tokens=511 step_time=9.925s
step 74/100 loss=2.3110 tokens=511 step_time=9.918s
step 75/100 loss=1.1913 tokens=511 step_time=9.966s
step 76/100 loss=1.3736 tokens=511 step_time=9.972s
step 77/100 loss=2.2687 tokens=511 step_time=9.981s
step 78/100 loss=1.9845 tokens=511 step_time=10.011s
step 79/100 loss=1.0606 tokens=511 step_time=10.016s
step 80/100 loss=1.9363 tokens=511 step_time=9.971s
step 81/100 loss=1.0546 tokens=511 step_time=10.034s
step 82/100 loss=2.5403 tokens=511 step_time=9.982s
step 83/100 loss=1.0733 tokens=511 step_time=9.937s
step 84/100 loss=1.5330 tokens=511 step_time=9.972s
step 85/100 loss=1.4706 tokens=511 step_time=9.955s
step 86/100 loss=0.8809 tokens=511 step_time=9.968s
step 87/100 loss=2.8313 tokens=511 step_time=10.062s
step 88/100 loss=0.7350 tokens=511 step_time=9.932s
step 89/100 loss=1.8541 tokens=511 step_time=10.004s
step 90/100 loss=1.4684 tokens=511 step_time=10.002s
step 91/100 loss=1.1397 tokens=511 step_time=9.932s
step 92/100 loss=1.4710 tokens=511 step_time=10.042s
step 93/100 loss=2.8704 tokens=511 step_time=9.919s
step 94/100 loss=1.1676 tokens=511 step_time=9.882s
step 95/100 loss=2.0465 tokens=511 step_time=10.034s
step 96/100 loss=1.1761 tokens=511 step_time=9.978s
step 97/100 loss=0.5033 tokens=511 step_time=9.978s
step 98/100 loss=1.3452 tokens=511 step_time=10.049s
step 99/100 loss=2.1600 tokens=511 step_time=10.112s
step 100/100 loss=2.0385 tokens=511 step_time=10.100s
[val] step 100 loss=1.3845
[train] done: 100 steps, final_loss=2.0385, tokens=49910, trainable=7.668M/1287.730M
