[val] step 0 loss=1.8165
step 1/100 loss=1.6502 tokens=511 step_time=102.904s
step 2/100 loss=1.1746 tokens=511 step_time=53.089s
step 3/100 loss=0.9401 tokens=511 step_time=54.842s
step 4/100 loss=2.3417 tokens=340 step_time=17.564s
step 5/100 loss=1.2134 tokens=511 step_time=34.409s
step 6/100 loss=1.2278 tokens=511 step_time=40.583s
step 7/100 loss=1.1730 tokens=511 step_time=23.123s
step 8/100 loss=1.4489 tokens=511 step_time=27.101s
step 9/100 loss=1.2001 tokens=511 step_time=43.312s
step 10/100 loss=1.1402 tokens=511 step_time=46.046s
step 11/100 loss=1.1888 tokens=511 step_time=57.336s
step 12/100 loss=2.0938 tokens=511 step_time=54.447s
step 13/100 loss=3.0094 tokens=511 step_time=50.516s
step 14/100 loss=1.1270 tokens=511 step_time=62.715s
step 15/100 loss=1.1844 tokens=511 step_time=74.054s
step 16/100 loss=0.9248 tokens=511 step_time=47.637s
step 17/100 loss=0.8620 tokens=511 step_time=56.611s
step 18/100 loss=1.1282 tokens=511 step_time=45.397s
step 19/100 loss=1.3244 tokens=511 step_time=54.337s
step 20/100 loss=1.4856 tokens=282 step_time=19.874s
step 21/100 loss=1.0557 tokens=511 step_time=53.336s
step 22/100 loss=0.6421 tokens=511 step_time=53.842s
step 23/100 loss=2.6642 tokens=511 step_time=66.923s
step 24/100 loss=0.6971 tokens=511 step_time=49.567s
step 25/100 loss=1.3691 tokens=511 step_time=50.124s
step 26/100 loss=1.0213 tokens=440 step_time=46.600s
step 27/100 loss=0.5820 tokens=511 step_time=50.440s
step 28/100 loss=1.2953 tokens=511 step_time=65.297s
step 29/100 loss=1.0416 tokens=511 step_time=59.723s
step 30/100 loss=1.1622 tokens=511 step_time=80.713s
step 31/100 loss=1.0592 tokens=511 step_time=84.577s
step 32/100 loss=0.9221 tokens=511 step_time=93.279s
step 33/100 loss=2.1498 tokens=511 step_time=105.074s
step 34/100 loss=1.4161 tokens=511 step_time=99.612s
step 35/100 loss=1.3733 tokens=511 step_time=86.066s
step 36/100 loss=0.5936 tokens=511 step_time=92.413s
step 37/100 loss=1.0659 tokens=198 step_time=22.512s
step 38/100 loss=1.2030 tokens=511 step_time=45.933s
step 39/100 loss=0.8953 tokens=511 step_time=96.531s
step 40/100 loss=1.8287 tokens=474 step_time=76.429s
step 41/100 loss=1.4781 tokens=511 step_time=71.988s
step 42/100 loss=1.0447 tokens=511 step_time=52.780s
step 43/100 loss=1.5105 tokens=511 step_time=75.831s
step 44/100 loss=1.1638 tokens=349 step_time=18.361s
step 45/100 loss=2.3028 tokens=511 step_time=47.621s
step 46/100 loss=0.9508 tokens=511 step_time=27.133s
step 47/100 loss=2.2998 tokens=511 step_time=22.200s
step 48/100 loss=0.8515 tokens=511 step_time=37.999s
step 49/100 loss=1.0282 tokens=511 step_time=61.615s
step 50/100 loss=0.8489 tokens=511 step_time=71.468s
[val] step 50 loss=1.3188
step 51/100 loss=0.7790 tokens=511 step_time=74.500s
step 52/100 loss=1.7697 tokens=511 step_time=54.702s
step 53/100 loss=0.4840 tokens=511 step_time=21.440s
step 54/100 loss=0.6687 tokens=511 step_time=27.618s
step 55/100 loss=2.4416 tokens=511 step_time=25.745s
step 56/100 loss=1.7044 tokens=511 step_time=24.916s
step 57/100 loss=0.9610 tokens=511 step_time=27.253s
step 58/100 loss=0.9275 tokens=511 step_time=22.100s
step 59/100 loss=1.2550 tokens=511 step_time=22.144s
step 60/100 loss=1.5344 tokens=511 step_time=29.962s
step 61/100 loss=1.4697 tokens=511 step_time=23.802s
step 62/100 loss=1.5370 tokens=511 step_time=28.430s
step 63/100 loss=0.9879 tokens=511 step_time=20.271s
step 64/100 loss=1.4936 tokens=511 step_time=27.862s
step 65/100 loss=0.9069 tokens=511 step_time=29.370s
step 66/100 loss=1.1918 tokens=511 step_time=30.768s
step 67/100 loss=0.8833 tokens=511 step_time=21.136s
step 68/100 loss=0.8294 tokens=511 step_time=25.860s
step 69/100 loss=0.5010 tokens=511 step_time=28.131s
step 70/100 loss=1.2458 tokens=304 step_time=9.440s
